File Name,File Key,Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14538_Raw02_result.csv,14538,0.4,3.661,0.0238,-0.0037,102.061815,124.249166,272.7776923,95.61579131,87.69101899,60.47902052,131.8276698,1.969892154,230.5,2,1,0.814672203,0.61796191,-0.168406287,0.879912875,0.966431374,1.337954326,0.558755325
SCPT_14538_Raw02_result.csv,14538,0.42,3.922,0.0306,-0.0042,106.3840317,129.5109952,281.4034356,101.4218855,98.27757678,63.22096157,137.9677454,1.987748669,230.5,2,1,0.773195375,0.57648508,-0.199538491,0.820961961,0.852454971,1.293614946,0.513230934
SCPT_14538_Raw02_result.csv,14538,0.44,4.085,0.0306,-0.0042,107.5096498,130.8813128,287.1351873,103.198586,99.20854248,64.42051646,139.6432312,1.963204689,230.5,2,1,0.762670253,0.565959959,-0.219702278,0.803595711,0.843026738,1.274818701,0.501160041
SCPT_14538_Raw02_result.csv,14538,0.46,4.394,0.0361,-0.0052,111.093965,135.2448269,296.5443451,108.1117062,107.3895566,66.82045762,144.3678828,1.959964009,230.5,2,1,0.729874488,0.533164194,-0.251945907,0.757085853,0.763787923,1.238241577,0.467886079
SCPT_14538_Raw02_result.csv,14538,0.48,4.394,0.0361,-0.0052,111.6843409,135.9635454,297.7964415,109.3653681,108.6365814,67.61574419,145.9307751,1.960012881,230.5,2,1,0.724574355,0.527864061,-0.256159308,0.745556585,0.752242666,1.226410004,0.457118496
SCPT_14538_Raw02_result.csv,14538,0.5,4.364,0.0375,-0.0052,112.6679002,137.160922,298.2207191,111.1669901,111.8119173,68.53611495,148.1693509,1.97384359,230.5,2,1,0.715806307,0.519096013,-0.257583018,0.729217376,0.723432713,1.212890031,0.44189498
SCPT_14538_Raw02_result.csv,14538,0.52,4.364,0.0407,-0.0055,114.3186408,139.1705193,299.3793438,113.8604635,117.33213,69.76000312,151.248481,1.99492126,230.5,2,1,0.701261218,0.504550924,-0.261460615,0.705277168,0.675242231,1.195190038,0.421326809
SCPT_14538_Raw02_result.csv,14538,0.54,4.23,0.0422,-0.0058,114.9245739,139.9081769,296.9387346,115.3028244,120.8761505,70.39101614,153.3843019,2.023415377,230.5,2,1,0.695974828,0.499264534,-0.253274974,0.692688939,0.645484391,1.186185219,0.407304313
SCPT_14538_Raw02_result.csv,14538,0.56,4.23,0.0445,-0.0062,116.1736014,141.4287322,298.0076052,117.4786567,125.1605724,71.42018788,155.8737725,2.037458033,230.5,2,1,0.685165226,0.488454932,-0.256868145,0.67399419,0.61065337,1.17167029,0.391204333
SCPT_14538_Raw02_result.csv,14538,0.58,4.111,0.0459,-0.0066,116.6995564,142.0690251,295.7994637,118.8295763,128.553318,72.00948332,157.8650161,2.063195626,230.5,2,1,0.680648124,0.483937831,-0.249430875,0.662560528,0.583907118,1.163453039,0.378510523
SCPT_14538_Raw02_result.csv,14538,0.6,4.111,0.0469,-0.0074,117.4922462,143.0340389,296.7894956,120.3601578,131.0815592,72.8215055,159.6716094,2.069043262,230.5,2,1,0.673878521,0.477168226,-0.252772256,0.6497623,0.564431144,1.152239546,0.367131598
SCPT_14538_Raw02_result.csv,14538,0.62,4.125,0.0458,-0.0071,117.6934332,143.2789622,298.1432352,120.9852806,130.7125144,73.37964335,160.509781,2.060656685,230.5,2,1,0.672167642,0.475457348,-0.257323164,0.644581972,0.567250497,1.144604304,0.361895981
SCPT_14538_Raw02_result.csv,14538,0.64,4.286,0.0433,-0.0066,117.9286316,143.5652907,303.4925227,121.4044437,127.9392825,74.09345784,160.6733695,2.022427079,230.5,2,1,0.670171238,0.473460943,-0.275106111,0.641123381,0.588695067,1.134923622,0.360877319
SCPT_14538_Raw02_result.csv,14538,0.66,4.449,0.0433,-0.0066,118.9062769,144.7554675,308.7914107,122.9323715,128.5778213,75.13275585,161.9738628,1.99969762,230.5,2,1,0.661915269,0.465204975,-0.29241514,0.628616483,0.583716528,1.120994236,0.352815881
SCPT_14538_Raw02_result.csv,14538,0.68,4.819,0.0395,-0.0042,119.099671,144.9909038,319.3172349,123.1889449,123.3595032,76.05340401,161.3600479,1.927195267,230.5,2,1,0.660290148,0.463579854,-0.325934213,0.626531548,0.62514798,1.108815085,0.356612672
SCPT_14538_Raw02_result.csv,14538,0.7,5.077,0.0395,-0.0042,120.1866838,146.3142238,326.6799977,124.8939764,123.7721584,77.24672371,162.6105336,1.895521712,230.5,2,1,0.65120463,0.454494336,-0.348730229,0.612785674,0.621808419,1.093246359,0.348892885
SCPT_14538_Raw02_result.csv,14538,0.72,5.776,0.0408,-0.004,122.6235795,149.2808794,344.1421554,128.4034961,125.2019344,79.52714014,164.62157,1.825391367,230.5,2,1,0.631131529,0.434421234,-0.400803952,0.585073243,0.610322953,1.064152514,0.336601538
SCPT_14538_Raw02_result.csv,14538,0.74,5.776,0.0408,-0.0033,123.0434919,149.7920771,345.0801032,129.34146,126.1174648,80.13520444,165.7666813,1.825414392,230.5,2,1,0.627712977,0.431002683,-0.403525711,0.577794978,0.603037129,1.056535599,0.329669597
SCPT_14538_Raw02_result.csv,14538,0.76,6.887,0.0436,-0.0022,126.3744586,153.847167,370.0503252,134.3895447,129.0111511,83.26025031,168.5544646,1.735426081,230.5,2,1,0.601001469,0.404291175,-0.473388148,0.53950823,0.580352019,1.018279614,0.312991933
SCPT_14538_Raw02_result.csv,14538,0.78,6.887,0.0505,-0.0009,129.3363981,157.4530064,371.0085119,138.6584508,139.1240004,84.89256169,172.9374264,1.773770766,230.5,2,1,0.577834115,0.381123821,-0.475974143,0.508237142,0.504885238,0.998864386,0.28732103
SCPT_14538_Raw02_result.csv,14538,0.8,8.013,0.055,-0.0014,132.8018526,161.6718205,394.0879978,144.1172053,143.9637227,87.99812998,176.1881745,1.704165656,230.5,2,1,0.551392675,0.354682381,-0.536323367,0.469623968,0.47068952,0.962935298,0.268698265
SCPT_14538_Raw02_result.csv,14538,0.82,8.013,0.063,-0.0013,135.8609754,165.39597,395.0529281,148.5496234,154.8959221,89.60863053,180.4500537,1.741398717,230.5,2,1,0.528618739,0.331908445,-0.538768889,0.439331796,0.397497441,0.944799224,0.244796834
SCPT_14538_Raw02_result.csv,14538,0.84,8.922,0.068,-0.0013,138.863097,169.0507268,412.590035,153.4201562,160.3851881,92.20028507,183.5109544,1.696955782,230.5,2,1,0.506762328,0.310052034,-0.582203586,0.407070586,0.362672515,0.91628764,0.2279765
SCPT_14538_Raw02_result.csv,14538,0.86,8.922,0.0785,-0.0022,142.3488998,173.2943127,413.5491046,158.496942,173.7483576,93.91806441,188.0850771,1.738165348,230.5,2,1,0.481969778,0.285259484,-0.584525399,0.374515563,0.282642831,0.897828115,0.203356464
SCPT_14538_Raw02_result.csv,14538,0.88,9.146,0.0833,-0.0018,144.3242606,175.6990999,418.4378133,161.718745,179.939975,95.32676023,190.6824979,1.74032462,230.5,2,1,0.468188285,0.27147799,-0.596277422,0.354392178,0.247627539,0.882940291,0.189641132
SCPT_14538_Raw02_result.csv,14538,0.9,9.454,0.0912,-0.002,147.1380472,179.1245792,424.7090347,166.1387225,189.3762779,97.11033635,194.0894792,1.746901933,230.5,2,1,0.44887962,0.252169325,-0.611153448,0.327427745,0.196514938,0.864403042,0.171931577
SCPT_14538_Raw02_result.csv,14538,0.92,9.629,0.0964,-0.0017,149.0346021,181.4334286,428.6279652,169.2775511,195.9559367,98.41582189,196.6104472,1.752339266,230.5,2,1,0.436072355,0.239362061,-0.620338466,0.30871118,0.162361041,0.85104928,0.159026517
SCPT_14538_Raw02_result.csv,14538,0.94,9.936,0.1029,-0.0012,151.342605,184.2431713,434.7242102,173.0523049,203.6313984,99.9945454,199.413459,1.752914553,230.5,2,1,0.420704688,0.223994394,-0.634460968,0.286656973,0.123939374,0.835135224,0.14487051
SCPT_14538_Raw02_result.csv,14538,0.96,10.079,0.1029,-0.0012,151.900907,184.9228432,438.0157409,174.3434252,204.5423723,100.7886931,200.4996714,1.744147157,230.5,2,1,0.417022482,0.220312188,-0.642003985,0.2792238,0.119475709,0.827224685,0.139438255
SCPT_14538_Raw02_result.csv,14538,0.98,10.217,0.1174,-0.0024,155.708551,189.5582359,441.1928603,180.2143931,220.9956002,102.6842163,205.0528445,1.776648724,230.5,2,1,0.392264865,0.195554572,-0.649231242,0.246103648,0.04210807,0.808592445,0.116983138
SCPT_14538_Raw02_result.csv,14538,1,10.217,0.1174,-0.0031,156.1008108,190.0357697,442.073845,181.2308294,222.2444381,103.2625496,206.1036111,1.776680482,230.5,2,1,0.389748841,0.193038546,-0.651226076,0.240479343,0.036473014,0.802976092,0.111871854
SCPT_14538_Raw02_result.csv,14538,1.02,10.027,0.1199,-0.0029,156.7774778,190.8595382,439.7769879,182.6136723,226.5383923,103.7335616,207.6781269,1.794858267,230.5,2,1,0.385423401,0.188713107,-0.64601689,0.232878021,0.017336429,0.798425158,0.104261448
SCPT_14538_Raw02_result.csv,14538,1.04,10.027,0.1254,-0.0033,158.2860508,192.6960618,440.6218812,185.2540439,233.5931965,104.6840251,209.9213137,1.80902813,230.5,2,1,0.375847018,0.179136724,-0.647936233,0.218522769,-0.013330264,0.789304334,0.093518099
SCPT_14538_Raw02_result.csv,14538,1.06,9.546,0.1284,-0.0037,158.5678041,193.0390659,433.2390135,186.0989953,239.1297719,104.7027375,211.507743,1.846785463,230.5,2,1,0.374068574,0.17735828,-0.631038707,0.213972098,-0.036755521,0.789125599,0.085989255
SCPT_14538_Raw02_result.csv,14538,1.08,9.546,0.1339,-0.0039,159.9854122,194.7648496,434.0407789,188.6561731,246.1784817,105.6152669,213.672248,1.860166567,230.5,2,1,0.365168225,0.168457931,-0.632887628,0.200324694,-0.065805946,0.780447929,0.075807573
SCPT_14538_Raw02_result.csv,14538,1.1,9.365,0.1349,-0.0039,160.2474275,195.0838248,431.6615666,189.4984336,248.9468517,105.9285681,214.8437953,1.874341196,230.5,2,1,0.36353182,0.166821525,-0.627391008,0.195870104,-0.076988564,0.777485881,0.070339632
SCPT_14538_Raw02_result.csv,14538,1.12,9.365,0.1334,-0.0048,160.3284903,195.18251,432.4290902,190.0142876,248.6021819,106.3617533,215.5119371,1.870807598,230.5,2,1,0.363026087,0.166315793,-0.629167497,0.193151595,-0.075603093,0.773404812,0.067234562
SCPT_14538_Raw02_result.csv,14538,1.14,9.336,0.1331,-0.0043,160.5792245,195.4877515,432.6762846,190.7917949,249.5753104,106.8187058,216.4108447,1.872015955,230.5,2,1,0.361463431,0.164753137,-0.629738975,0.189068108,-0.079509852,0.769117803,0.063072203
SCPT_14538_Raw02_result.csv,14538,1.16,9.351,0.1436,-0.005,162.8618174,198.2665603,433.6853268,194.7257973,261.8895939,108.0399869,219.5240233,1.895417142,230.5,2,1,0.347348767,0.150638473,-0.632068355,0.168658461,-0.127672155,0.757749455,0.04878919
SCPT_14538_Raw02_result.csv,14538,1.18,8.97,0.1308,-0.0086,160.2147593,195.0440548,427.5575401,191.0802467,250.4419821,107.0733956,217.7487016,1.891177814,230.5,2,1,0.363735702,0.167025407,-0.617838014,0.187557383,-0.082976423,0.766736323,0.05690921
SCPT_14538_Raw02_result.csv,14538,1.2,8.889,0.1194,-0.0047,158.1855741,192.5737424,426.8021133,188.2987935,239.1849871,106.6243476,216.0850319,1.867928402,230.5,2,1,0.376481999,0.179771705,-0.616069608,0.202220834,-0.036986395,0.770938975,0.064578866
SCPT_14538_Raw02_result.csv,14538,1.22,8.808,0.1194,-0.0047,158.3745132,192.8037552,426.0086333,188.9542078,240.4780085,106.9743231,216.9758743,1.873590613,230.5,2,1,0.375288298,0.178578003,-0.61420875,0.198746164,-0.042377782,0.767662028,0.060464693
SCPT_14538_Raw02_result.csv,14538,1.24,8.93,0.1192,-0.0051,158.8621211,193.3973648,428.9418356,190.0182938,240.9964934,107.6570787,217.8450298,1.864628615,230.5,2,1,0.372214199,0.175503905,-0.621070466,0.193130512,-0.044531521,0.761299884,0.056466925
SCPT_14538_Raw02_result.csv,14538,1.26,8.93,0.1192,-0.0041,159.1800341,193.7843894,429.6255083,190.845137,242.0462177,108.1370142,218.7286726,1.864641494,230.5,2,1,0.370215011,0.173504716,-0.622663056,0.188788564,-0.048877828,0.756851789,0.052418839
SCPT_14538_Raw02_result.csv,14538,1.28,8.835,0.1166,-0.0036,158.796178,193.3170862,428.5431153,190.5964185,240.3511873,108.2460152,218.9558826,1.864341765,230.5,2,1,0.372629382,0.175919088,-0.62014049,0.190092662,-0.041850272,0.755844307,0.051380602
SCPT_14538_Raw02_result.csv,14538,1.3,8.835,0.1152,-0.0038,158.8102108,193.3341697,429.2006551,190.9389383,239.7408825,108.6046385,219.4715214,1.860599743,230.5,2,1,0.372541016,0.175830722,-0.621673675,0.18829718,-0.039307821,0.752536744,0.049028381
SCPT_14538_Raw02_result.csv,14538,1.32,8.846,0.1156,-0.0042,159.2159471,193.8281095,430.052767,191.8842602,241.1684728,109.1175069,220.4222371,1.860947552,230.5,2,1,0.369989424,0.17327913,-0.623657053,0.183358484,-0.045244884,0.747825516,0.044705896
SCPT_14538_Raw02_result.csv,14538,1.34,8.805,0.1106,-0.0045,158.3725963,192.8014215,429.9286477,190.8913361,236.3783771,109.1002286,219.9867042,1.850087554,230.5,2,1,0.375300401,0.178590107,-0.623368397,0.188546517,-0.025182951,0.747983874,0.046683753
