Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.011424034930883302,22440,0.012969254594418026
1.0,0.01980053617087999,22746,0.01907702653624631
1.5,0.022178675404739365,22111,0.02195343533999058
2.0,0.026037271101629334,21498,0.023308058218031592
2.5,0.02765490540591864,20845,0.02394600757325657
3.0,0.020331251058029052,20240,0.02424644497648463
3.5,0.018383494159742542,19629,0.024387933689529243
4.0,0.02069266598343203,19011,0.024454566724244377
4.5,0.023840086407906698,18339,0.024485947045824855
5.0,0.0259290443268428,17753,0.024500725369920467
5.5,0.027225312863403225,17128,0.024507685109402894
6.0,0.025944638921869326,16503,0.02451096274584867
6.5,0.020802627366333128,15880,0.024512506323837155
7.0,0.02548492566749316,15255,0.024513233260166415
7.5,0.028833704837867825,14630,0.024513575605309156
8.0,0.027719039047671097,14005,0.024513736830153808
8.5,0.029050275844249237,13292,0.024513812757769794
9.0,0.02641134021249492,12747,0.02451384851530383
