Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.009119805586421354,21288,0.015424051192074325
1.0,0.024695974987234477,21547,0.024526647937556396
1.5,0.032694045511027815,20911,0.029898600252745627
2.0,0.03351427997354272,20298,0.03306889027915925
2.5,0.04106313868759001,19639,0.03493985604018419
3.0,0.04439248364447395,19034,0.03604401775717623
3.5,0.03714218423294374,18411,0.036695645447360654
4.0,0.030469484913007376,17786,0.03708020745497294
4.5,0.03304699385325046,17113,0.03730715904086539
5.0,0.03475188746202544,16528,0.03744109588673038
5.5,0.03877437344211628,15903,0.0375201395233268
6.0,0.04355064064513832,15278,0.03756678760172551
6.5,0.03838134916420465,14655,0.037594317246261
7.0,0.03157724391034492,14030,0.03761056403185789
7.5,0.026779330372900766,13405,0.03762015217026959
8.0,0.024680112158559076,12780,0.037625810667924635
