Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.005683866184610722,23664,0.006301109537748998
1.0,0.010156860398573352,24022,0.009322956590012046
1.5,0.010763012599289756,23386,0.010772155267255328
2.0,0.011654941917701457,22773,0.011467152985472358
2.5,0.012069049724433536,22120,0.011800455682964258
3.0,0.010838422918533932,21515,0.011960298924522479
3.5,0.009274658769096117,20892,0.012036955555459168
4.0,0.011342858007603537,20266,0.01207371806733818
4.5,0.012383733248282701,19589,0.01209134840489855
5.0,0.013050449022331592,19003,0.012099803452897323
5.5,0.011389611163493794,18378,0.01210385827240471
6.0,0.01264717769413421,17753,0.012105802857608703
6.5,0.012430408983143997,17130,0.012106735429726576
7.0,0.013829574337996394,16505,0.012107182666881959
7.5,0.014785206337090056,15880,0.012107397150104565
8.0,0.014598080661163346,15255,0.012107500010638907
8.5,0.011548412461960911,14542,0.012107549339856345
9.0,0.014133900576448272,13997,0.012107572996856658
