Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.013201671979057673,23688,0.01971936324960968
1.0,0.032660893770762256,24047,0.02764442312629099
1.5,0.035760450210312586,23411,0.03082944351736407
2.0,0.037196724973654144,22798,0.03210947862743309
2.5,0.035176129968911896,22145,0.0326239148576066
3.0,0.03071518866439144,21540,0.03283066280759124
3.5,0.02232224885693485,20917,0.03291375321280713
4.0,0.026423605740328183,20292,0.03294714660529036
4.5,0.028720957239001955,19613,0.032960567151966505
5.0,0.03269403205684035,19028,0.03296596076608274
5.5,0.03750477657308766,18403,0.03296812841796286
6.0,0.03261487374124045,17778,0.03296899958052142
6.5,0.028916273223108118,17155,0.032969349694029225
7.0,0.024642031031793597,16530,0.032969490401945495
7.5,0.03322055503321615,15905,0.03296954695137092
8.0,0.04032560377227125,15280,0.03296956967814849
8.5,0.044125238870281004,14567,0.03296957881186498
9.0,0.03932878719232293,14022,0.032969582482635124
