File Key_1,nugget,sill,effective_range,smoothness,nugget_normalized,sill_normalized,maxlag,bin_interval_used,WLS_option,Check
14538,0,0.03906485158307418,8.499999999999998,,0.0,0.917668608931435,9,0.5,exp,
36413,0,0.057166253306480244,1.9814931563704221,,0.0,0.6919577295540336,14,0.5,exp,
57279,0,0.032087621299698776,3.6499955888154068,,0.0,0.916742361136609,9,0.5,exp,
57280,0,0.08088432907364385,7.499999999999999,,0.0,0.9751229385525556,8,0.5,exp,
57339,0,0.03653494074322802,1.9355562963304804,,0.0,0.7750020156645441,8,0.5,exp,
57341,0,0.010000000000000002,8.388928037539122,,0.0,0.8200304714081704,9,0.5,exp,
57342,0,0.01581673569367771,2.390035471464366,,0.0,0.7881062408447763,9,0.5,exp,
57343,0,0.014777488031328204,3.7691180828227258,,0.0,0.8649426675321711,9,0.5,exp,
57345,0,0.03575846949472669,4.6541373507437935,,0.0,0.8309958242036958,9,0.5,exp,
57346,0,0.010592517973726442,2.6292022571328624,,0.0,0.8931209691001623,9,0.5,exp,
57347,0,0.016825342722883843,2.313296539458597,,0.0,0.8359798865023862,9,0.5,exp,
57348,0,0.0190755951552499,2.974588316079156,,0.0,0.9261554351646673,9,0.5,exp,
57349,0,0.020051733901622317,1.6545342647861911,,0.0,0.7417057905025327,9,0.5,exp,
57350,0,0.015425346591692313,5.170672786802741,,0.0,0.8083554133167462,9,0.5,exp,
57351,0,0.024513880344993435,1.9919803505383242,,0.0,0.8438432900404345,9,0.5,exp,
57353,0,0.02405343874092565,1.9915544991955447,,0.0,0.9005858624467226,8,0.5,exp,
57354,0,0.02394031163251551,2.0964346952204096,,0.0,0.8422034983076753,9,0.5,exp,
57355,0,0.03296958494917107,1.645510549748903,,0.0,0.7471820163080538,9,0.5,exp,
57356,0,0.02580270772319602,4.980851422430203,,0.0,0.5468482689932769,9,0.5,exp,
57357,0,0.015660400562765225,1.8766938987300708,,0.0,0.749772406974441,9,0.5,exp,
57358,0,0.020630934852240174,1.469014556955139,,0.0,0.6958299766291981,9,0.5,exp,
57359,0,0.037633958638106854,2.844311882415896,,0.0,0.847755195215161,8,0.5,exp,
57360,0,0.018125534857723388,1.9787227491921744,,0.0,0.7014115024768474,9,0.5,exp,
57362,0,0.012107594796830578,2.0412121165811574,,0.0,0.8188992781560009,9,0.5,exp,
57363,0,0.03354914945654926,3.8933913961634317,,0.0,0.7861824953619808,9,0.5,exp,
57364,0,0.024065499772003656,1.6011254552921395,,0.0,0.743789096586702,7,0.5,exp,
57365,0,0.07588546591760201,4.173018970534867,,0.0,0.8188214581000935,9,0.5,exp,
57366,0,0.03434479599324956,8.499999999999998,,0.0,0.7745593700023305,9,0.5,exp,
61758,0,0.027833269537947264,4.115941523843078,,0.0,0.759600065035178,7,0.5,exp,
182797,0,0.012429642642763186,1.8121153476571517,,0.0,0.864568415114392,14,0.5,exp,
