Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.0038121794944447115,23688,0.003884248708691187
1.0,0.008164402493068577,24047,0.006790406718331577
1.5,0.01051193407187842,23411,0.008964766552216372
2.0,0.010377444964713383,22798,0.010591601938154846
2.5,0.009568133230249003,22145,0.011808784729934565
3.0,0.009960981885557902,21540,0.012719469339705344
3.5,0.012668350524498887,20917,0.0134008349193655
4.0,0.013859173321095911,20292,0.013910626177683212
4.5,0.015005353073762466,19613,0.014292047157573009
5.0,0.016638158588393386,19028,0.014577422713796114
5.5,0.016408965516481282,18403,0.014790937995816458
6.0,0.014463004712890772,17778,0.014950688102866923
6.5,0.014802383832514284,17155,0.01507021161641198
7.0,0.01691354745729357,16530,0.015159637974578002
7.5,0.019082381756312976,15905,0.015226545926809703
8.0,0.017956049391755942,15280,0.01527660582149454
8.5,0.012629198376412664,14567,0.01531406015946589
9.0,0.009189253803947778,14022,0.015342083139572096
