Lag (m),Fitted_Semivariance
0.0,0.0
0.02,0.002832369695335962
0.04,0.0030685467638425327
0.06,0.0033047238323491036
0.08,0.0035409009008556752
0.1,0.003777077969362245
0.12,0.004013255037868816
0.14,0.004249432106375388
0.16,0.0044856091748819585
0.18,0.0047217862433885285
0.2,0.0049579633118951
0.22,0.00519414038040167
0.24,0.005430317448908242
0.26,0.005666494517414813
0.28,0.005902671585921384
0.3,0.006138848654427954
0.32,0.006375025722934526
0.34,0.006611202791441097
0.36,0.006847379859947667
0.38,0.007083556928454238
0.4,0.007319733996960809
0.42,0.00755591106546738
0.44,0.007792088133973951
0.46,0.008028265202480522
0.48,0.008264442270987092
0.5,0.008500619339493663
0.52,0.008736796408000234
0.54,0.008972973476506805
0.56,0.009209150545013377
0.58,0.009445327613519947
0.6,0.009681504682026517
0.62,0.009917681750533088
0.64,0.010153858819039659
0.66,0.01039003588754623
0.68,0.010626212956052802
0.7000000000000001,0.010862390024559373
0.72,0.011098567093065942
0.74,0.011334744161572513
0.76,0.011570921230079086
0.78,0.011807098298585656
0.8,0.012043275367092227
0.8200000000000001,0.012279452435598798
0.84,0.012515629504105369
0.86,0.012751806572611938
0.88,0.01298798364111851
0.9,0.013224160709625081
0.92,0.013460337778131652
0.9400000000000001,0.013696514846638225
0.96,0.013932691915144794
0.98,0.014168868983651365
1.0,0.014405046052157935
1.02,0.014569091768889441
1.04,0.014733137485620948
1.06,0.014897183202352454
1.08,0.01506122891908396
1.1,0.015225274635815467
1.12,0.015389320352546972
1.1400000000000001,0.015553366069278478
1.16,0.015717411786009983
1.18,0.01588145750274149
1.2,0.016045503219472994
1.22,0.0162095489362045
1.24,0.016373594652936006
1.26,0.016537640369667515
1.28,0.01670168608639902
1.3,0.016865731803130526
1.32,0.01702977751986203
1.34,0.017193823236593537
1.36,0.017357868953325042
1.3800000000000001,0.01752191467005655
1.4000000000000001,0.017685960386788057
1.42,0.01785000610351956
1.44,0.018014051820251065
1.46,0.018178097536982574
1.48,0.01834214325371408
1.5,0.018506188970445585
1.52,0.018620133128310363
1.54,0.018734077286175144
1.56,0.018848021444039922
1.58,0.0189619656019047
1.6,0.019075909759769482
1.62,0.01918985391763426
1.6400000000000001,0.019303798075499038
1.6600000000000001,0.01941774223336382
1.68,0.019531686391228598
