Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.66,1.4248,0.0564,0.0071,102.16200717523844,124.37113916985552,199.97580487746035,114.181688761329,164.06683722239475,65.18501431717974,166.22962820671634,2.7709206820457,569
0.67,1.4326,0.0578,0.0088,102.7035232316324,125.03037610807424,200.70961460224115,115.20386141046392,166.6850892032158,65.64303026586659,167.40276388722145,2.7744894904312667,569
0.68,1.4326,0.0599,0.0088,103.24126879638432,125.68502288255485,201.00421007572749,116.39278585618172,170.4095774691814,66.10947668395634,168.81277998822742,2.7848070071708952,569
0.69,1.4287,0.0599,0.0027,103.35971554022288,125.8292189185322,201.02014608982768,116.78014046728596,171.10862299074694,66.35227331286299,169.43402427272397,2.787094607179023,569
0.7,1.4277,0.0617,0.0026,103.82166948142851,126.39159762956518,201.2518078989057,117.835937684568,174.3928957080037,66.77539549401068,170.70684836519365,2.796146607122352,569
0.71,1.4272,0.0621,0.0026,104.06334776500536,126.6858146704413,201.5076653612776,118.3991033438919,175.6212876682727,67.0718157034398,171.46410363744312,2.798307494095148,569
0.72,1.4267,0.0622,0.0053,104.26297972103916,126.92884487778684,201.7890333605665,118.85831495144603,176.40056499007724,67.33870531178941,172.1074574138156,2.798832751853611,569
0.73,1.4287,0.0628,0.0081,104.57485295215366,127.30851663740448,202.20309659002817,119.5120621030912,177.87762830621134,67.66494591111267,172.92658159062242,2.8005787996492404,569
0.74,1.4209,0.0628,0.0136,104.65889710263798,127.41083125538538,202.11280590503844,119.86465422924388,178.58207358707418,67.86784160437708,173.5158308770012,2.8035617856751327,569
0.75,1.4132,0.0638,0.0155,104.88699082223738,127.68851056620204,201.98342158766707,120.55557829193678,180.76105415335456,68.15760057721116,174.45702014575156,2.8114080674693187,569
0.76,1.4093,0.0639,0.0165,105.02416901585872,127.8555101062628,202.0464541297796,120.96329385610213,181.57141921141496,68.3907033186559,175.07467602523266,2.813560198686649,569
0.77,1.4093,0.064,0.0165,105.21269381654372,128.08501855927062,202.30809900044505,121.40263725464112,182.3310676071772,68.64859916867734,175.69035931541217,2.814092461678783,569
0.78,1.3977,0.0639,0.0159,105.19779257461455,128.06687791692207,201.9230395956027,121.65374475263478,182.9358019473301,68.80441469804825,176.21824220361717,2.8188768656458096,569
