Depth,qc,fs_corrected,u
3.009999,0.343,0.0052,-0.0005
3.019999,0.3778,0.006,-0.0003
3.029999,0.4473,0.0059,-0.0001
3.039999,0.4473,0.0069,-0.0001
3.049999,0.7061,0.0069,0.0004
3.059999,0.9301,0.0094,0.0004
3.069999,1.2236,0.0107,0.0007
3.079999,1.6215,0.0128,0.001
3.089999,2.1777,0.015,0.001
3.099999,2.9927,0.0176,0.001
3.109999,2.9927,0.0176,0.001
3.119999,4.2827,0.0218,0.001
3.129999,6.1097,0.0218,0.001
3.139999,7.056,0.0231,0.001
3.149999,7.5156,0.0249,0.0016
3.159999,7.5156,0.0249,0.0016
3.169999,8.0873,0.0259,0.001
3.179999,8.1916,0.0261,0.0004
3.189999,8.1684,0.0261,0.0004
3.199999,7.9791,0.026,0.0002
3.209999,7.701,0.026,0.0001
3.219999,7.701,0.0255,0.0001
3.229999,7.1178,0.0248,0.0002
3.239999,7.1178,0.0235,0.0002
3.249999,7.0249,0.0228,0.0002
3.259999,7.0104,0.0228,0.0002
3.269999,7.0081,0.0227,0.0003
3.279999,7.0533,0.0227,0.0004
3.289999,7.0985,0.0229,0.0004
3.299999,7.1951,0.0232,-0.0001
3.309999,7.3109,0.0237,-0.0011
3.319999,7.4616,0.0239,-0.0013
3.329999,7.5852,0.0243,-0.0014
3.339999,7.7513,0.0247,-0.0014
3.349999,7.7899,0.0247,-0.0013
3.359999,7.8285,0.0248,-0.0013
3.369999,7.8285,0.0247,-0.0012
3.379999,7.7242,0.0246,-0.0009
3.389999,7.5968,0.0246,0.0012
3.399999,7.5968,0.0235,0.0012
3.409999,7.2453,0.0233,0.0028
3.419999,7.1371,0.0229,0.0028
3.429999,7.0058,0.0228,0.0026
3.439999,6.8938,0.0219,0.0026
3.449998,6.7779,0.0219,0.0026
3.459998,6.747,0.0207,0.0026
3.469998,6.7161,0.0204,0.0026
3.479998,6.7354,0.0201,0.0024
3.489998,6.6891,0.0201,0.0025
3.499998,6.6891,0.02,0.0026
3.509999,6.5346,0.0199,0.0028
3.519999,6.4341,0.0199,0.0026
3.529999,6.2912,0.0187,0.0025
3.539999,6.1985,0.0187,0.0025
3.549999,6.0981,0.0173,0.0025
3.559999,6.0479,0.0159,0.0026
3.569999,5.9397,0.0159,0.0028
3.579998,5.8818,0.0158,0.0028
3.589998,5.7737,0.0148,0.0028
3.599998,5.7737,0.0148,0.0029
3.609998,5.6269,0.0139,0.003
3.619998,5.6153,0.0138,0.003
3.629998,5.6153,0.0138,0.0031
3.639998,5.4492,0.0138,0.0032
3.649998,5.4492,0.0138,0.0034
3.659998,5.3901,0.0132,0.0038
3.669998,5.3612,0.0127,0.0036
3.679998,5.3608,0.0111,0.0036
3.689998,5.3604,0.0109,0.0037
3.699998,5.3411,0.0109,0.0038
3.709998,5.3411,0.0109,0.0038
3.719998,5.2638,0.0109,0.0039
3.729998,5.2329,0.0109,0.0041
3.739998,5.0398,0.0109,0.0044
3.749998,4.9355,0.0104,0.0042
3.759998,4.7694,0.0097,0.0043
3.769998,4.6419,0.0095,0.0044
3.779998,4.472,0.0095,0.0046
3.789998,4.2634,0.0082,0.0048
3.799998,4.0626,0.0082,0.0044
3.809998,3.6937,0.0065,0.0044
3.819998,3.6136,0.0055,0.0044
3.829998,3.574,0.0051,0.0044
3.839998,3.5648,0.0049,0.0046
3.849998,3.5556,0.0048,0.0049
3.859998,3.5566,0.0049,0.0052
3.869998,3.545,0.005,0.0049
3.879998,3.5594,0.0057,0.0047
3.889998,3.5737,0.0069,0.0046
3.899998,3.6102,0.0069,0.0047
3.909998,3.6908,0.0074,0.0047
3.919998,3.8656,0.008,0.0048
3.929998,4.1746,0.0087,0.0051
3.939998,4.4643,0.0095,0.0054
3.949998,4.7308,0.011,0.0056
3.959998,4.893,0.0118,0.0054
3.969998,4.8969,0.0118,0.0053
3.979998,4.8969,0.0122,0.0053
3.989998,4.8544,0.0124,0.0053
3.999998,4.8737,0.0124,0.0054
4.009998,4.8273,0.0125,0.0058
4.019998,4.8389,0.0122,0.0062
4.029998,4.7926,0.0118,0.0066
4.039998,4.8003,0.0115,0.0065
4.049998,4.7346,0.0115,0.0066
4.059998,4.7501,0.0115,0.0068
4.069998,4.7153,0.0115,0.0072
4.079998,4.7153,0.0115,0.0072
4.089998,4.7037,0.0115,0.0072
4.099998,4.7076,0.0115,0.0072
4.109998,4.6574,0.0115,0.0072
4.119998,4.6458,0.0115,0.0072
4.129998,4.6439,0.0114,0.0072
4.139998,4.6632,0.0114,0.0072
4.149998,4.6825,0.0113,0.0073
4.159998,4.7231,0.0113,0.0074
4.169998,4.7385,0.0113,0.0076
4.179998,4.7385,0.0113,0.0076
4.189998,4.7308,0.0113,0.0074
4.199998,4.6844,0.0115,0.0074
4.209998,4.6419,0.0114,0.0074
4.219998,4.6265,0.0116,0.0074
4.229998,4.5801,0.0121,0.0082
4.239998,4.5531,0.0122,0.0084
4.249998,4.5183,0.0122,0.0088
4.259998,4.5106,0.0122,0.0094
4.269998,4.4759,0.012,0.009
4.279998,4.4759,0.0116,0.0094
4.289998,4.472,0.0115,0.0098
4.299998,4.4727,0.0114,0.0096
4.309998,4.4734,0.0114,0.0098
4.319998,4.4788,0.0114,0.0098
4.329998,4.4932,0.0114,0.0099
4.339998,4.5261,0.0115,0.01
4.349998,4.6188,0.0117,0.0102
4.359998,4.7501,0.0117,0.0104
4.369998,4.8467,0.0117,0.0106
4.379998,4.8467,0.0135,0.0106
4.389998,5.0475,0.0135,0.0106
4.399998,5.1132,0.0137,0.0106
4.409998,5.1016,0.0158,0.0112
4.419998,5.1209,0.0158,0.011
4.429998,5.1054,0.0159,0.0111
4.439998,5.117,0.0159,0.0112
4.449998,5.0514,0.0159,0.0114
4.459998,4.9818,0.0158,0.0113
4.469998,4.9818,0.015,0.0112
4.479998,4.8621,0.015,0.0114
4.489998,4.7231,0.0138,0.0111
4.499998,4.7231,0.013,0.0108
4.509998,4.6806,0.0122,0.011
4.519998,4.611,0.0113,0.0098
4.529998,4.6105,0.0102,0.0096
4.539998,4.6108,0.0093,0.0095
4.549998,4.611,0.009,0.01
4.559998,4.6574,0.0088,0.0104
4.569998,4.7926,0.0088,0.01
4.579998,4.8776,0.0088,0.0096
4.589998,4.8776,0.009,0.0095
4.599998,5.0823,0.0093,0.0096
4.609998,5.1595,0.0099,0.0098
4.619998,5.2175,0.0109,0.0118
4.629997,5.314,0.0122,0.0114
4.639997,5.2986,0.015,0.0106
4.649997,5.2599,0.015,0.009
4.659997,5.1093,0.0214,0.0086
4.669997,4.8467,0.0211,0.0084
4.679997,4.4527,0.0208,0.0085
4.689997,4.4527,0.019,0.0085
4.699997,3.572,0.0188,0.0092
4.709997,3.0969,0.0185,0.0102
4.719997,2.7107,0.0185,0.0096
4.729997,2.282,0.0184,0.0108
4.739997,1.9305,0.0184,0.0106
4.749997,1.606,0.0179,0.0122
4.759997,1.606,0.0179,0.0122
4.769997,1.2468,0.0135,0.014
4.779997,1.1464,0.0121,0.0174
4.789997,1.1464,0.0121,0.0174
4.799997,1.0653,0.0086,0.0259
4.809997,0.9919,0.0066,0.0305
4.819997,0.9262,0.0066,0.0783
4.829997,0.8606,0.004,0.0578
4.839997,0.8258,0.0039,0.0638
4.849997,0.7949,0.004,0.071
4.859997,0.7914,0.004,0.0775
4.869997,0.79,0.0043,0.0775
4.879997,0.7905,0.0046,0.0861
4.889997,0.791,0.0048,0.0867
4.899997,0.791,0.005,0.0867
4.909997,0.8142,0.0053,0.0807
4.919997,0.7795,0.0053,0.0808
4.929997,0.7795,0.0052,0.0809
4.939997,0.7138,0.0052,0.0823
4.949997,0.6964,0.005,0.0851
4.959997,0.6977,0.004,0.0851
4.969997,0.6991,0.004,0.0859
4.979997,0.7041,0.0032,0.0868
4.989997,0.737,0.0031,0.0887
4.999997,0.8219,0.0032,0.0897
5.009997,0.9031,0.0033,0.0889
5.019997,1.0344,0.0038,0.0811
5.029997,1.1541,0.0051,0.067
5.039997,1.243,0.0051,0.0612
5.049997,1.3202,0.0055,0.0596
5.059997,1.3472,0.0064,0.0597
5.069997,1.3279,0.007,0.0598
5.079997,1.3279,0.0084,0.0601
5.089997,1.1696,0.0085,0.062
5.099997,1.0769,0.0085,0.0662
5.109997,0.9649,0.0084,0.066
5.119997,0.8606,0.008,0.0712
5.129997,0.7524,0.0071,0.0746
5.139997,0.7388,0.0071,0.0742
5.149997,0.7402,0.0065,0.0768
5.159997,0.7416,0.0047,0.0793
5.169997,0.7486,0.0027,0.0783
5.179997,0.8219,0.0026,0.072
5.189997,0.8953,0.0026,0.06
5.199997,0.8876,0.0026,0.0437
5.209997,0.8297,0.0027,0.0323
5.219997,0.7215,0.0027,0.0305
5.229997,0.6018,0.003,0.0303
5.239997,0.4975,0.0031,0.0302
5.249997,0.4975,0.0032,0.0313
5.259997,0.4677,0.0032,0.0325
5.269997,0.4568,0.0035,0.0393
5.279997,0.4733,0.0038,0.0578
5.289997,0.4898,0.0048,0.0478
5.299997,0.5593,0.0071,0.0482
5.309997,0.5593,0.0073,0.0486
5.319997,0.6288,0.0072,0.0544
5.329997,0.6288,0.0072,0.0544
5.339997,0.7486,0.007,0.0748
5.349997,0.8683,0.0061,0.0861
5.359997,1.0305,0.0061,0.0891
5.369997,1.1194,0.0053,0.0865
5.379997,1.1425,0.0049,0.0873
5.389997,1.2212,0.0042,0.0877
5.399997,1.2999,0.0034,0.0877
5.409997,1.6717,0.0031,-0.0043
5.419997,1.8918,0.0031,-0.0111
5.429997,1.9884,0.0031,-0.011
5.439997,2.0039,0.0031,-0.0108
5.449997,1.9459,0.0031,-0.0101
5.459997,1.83,0.0031,-0.0053
