Depth,qc,fs_corrected,u
1.99,0.835,0.025,0.041
2.0,0.835,0.025,0.041
2.01,0.835,0.025,0.042
2.02,0.835,0.025,0.042
2.03,0.835,0.025,0.043
2.04,0.835,0.025,0.043
2.05,0.835,0.024,0.043
2.06,0.835,0.024,0.043
2.07,0.835,0.025,0.043
2.08,0.835,0.024,0.044
2.09,0.835,0.023,0.044
2.1,0.843,0.023,0.044
2.11,0.843,0.022,0.045
2.12,0.852,0.022,0.045
2.13,0.843,0.023,0.046
2.14,0.835,0.022,0.046
2.15,0.835,0.022,0.046
2.16,0.835,0.021,0.047
2.17,0.826,0.021,0.047
2.18,0.826,0.022,0.047
2.19,0.818,0.021,0.048
2.2,0.818,0.02,0.048
2.21,0.801,0.021,0.048
2.22,0.801,0.02,0.048
2.23,0.801,0.021,0.048
2.24,0.801,0.021,0.049
2.25,0.801,0.02,0.049
2.26,0.809,0.021,0.05
2.27,0.809,0.021,0.05
2.28,0.809,0.022,0.051
2.29,0.818,0.022,0.051
2.3,0.818,0.022,0.052
2.31,0.809,0.022,0.052
2.32,0.818,0.021,0.053
2.33,0.818,0.022,0.053
2.34,0.818,0.021,0.053
2.35,0.818,0.022,0.053
2.36,0.809,0.021,0.054
2.37,0.809,0.02,0.055
2.38,0.809,0.02,0.055
2.39,0.801,0.02,0.056
2.4,0.801,0.019,0.056
2.41,0.792,0.02,0.056
2.42,0.792,0.019,0.057
2.43,0.792,0.019,0.057
2.44,0.784,0.019,0.058
2.45,0.784,0.019,0.058
2.46,0.775,0.019,0.058
2.47,0.775,0.019,0.059
2.48,0.767,0.019,0.059
2.49,0.767,0.018,0.059
2.5,0.758,0.019,0.06
2.51,0.75,0.02,0.061
2.52,0.75,0.019,0.061
2.53,0.75,0.02,0.062
2.54,0.75,0.02,0.063
2.55,0.741,0.02,0.063
2.56,0.75,0.019,0.063
2.57,0.758,0.019,0.063
2.58,0.758,0.019,0.064
2.59,0.758,0.019,0.064
2.6,0.758,0.019,0.065
2.61,0.758,0.019,0.065
2.62,0.758,0.019,0.066
2.63,0.758,0.019,0.067
2.64,0.764,0.019,0.0723
2.65,0.769,0.018,0.0777
2.66,0.775,0.018,0.083
2.67,0.775,0.018,0.083
2.68,0.775,0.018,0.084
2.69,0.767,0.018,0.084
2.7,0.775,0.018,0.085
2.71,0.775,0.018,0.086
2.72,0.775,0.018,0.086
2.73,0.775,0.018,0.087
2.74,0.775,0.017,0.088
2.75,0.775,0.017,0.088
2.76,0.775,0.017,0.088
2.77,0.775,0.017,0.089
2.78,0.767,0.017,0.09
2.79,0.767,0.017,0.09
2.8,0.767,0.016,0.091
2.81,0.767,0.017,0.092
2.82,0.767,0.016,0.092
2.83,0.767,0.015,0.093
2.84,0.767,0.016,0.093
2.85,0.758,0.015,0.093
2.86,0.767,0.015,0.094
2.87,0.767,0.015,0.095
2.88,0.767,0.015,0.095
2.89,0.767,0.015,0.096
2.9,0.767,0.015,0.097
2.91,0.767,0.016,0.097
2.92,0.775,0.016,0.098
2.93,0.775,0.016,0.099
2.94,0.775,0.017,0.099
2.95,0.775,0.017,0.1
2.96,0.775,0.017,0.101
2.97,0.775,0.017,0.102
2.98,0.775,0.017,0.103
2.99,0.775,0.017,0.104
3.0,0.775,0.017,0.104
3.01,0.775,0.016,0.105
3.02,0.767,0.017,0.105
3.03,0.767,0.017,0.106
3.04,0.775,0.016,0.108
3.05,0.775,0.016,0.108
3.06,0.784,0.015,0.109
3.07,0.784,0.015,0.109
3.08,0.784,0.015,0.11
3.09,0.775,0.015,0.111
3.1,0.775,0.015,0.112
3.11,0.775,0.015,0.112
3.12,0.767,0.015,0.114
3.13,0.767,0.015,0.114
3.14,0.767,0.015,0.114
3.15,0.767,0.015,0.115
3.16,0.767,0.015,0.116
