Depth,qc,fs_corrected,u
2.01,0.2627,0.0002,-0.0005
2.02,0.4475,0.0004,-0.0001
2.03,0.4003,0.0008,0.0003
2.04,0.376,0.0015,-0.0003
2.05,0.3661,0.003,-0.0005
2.06,0.3664,0.0031,-0.0006
2.07,0.3667,0.0032,-0.0006
2.08,0.42,0.0031,-0.0007
2.09,0.42,0.0031,-0.0007
2.1,0.5065,0.0024,-0.0007
2.11,0.5183,0.0021,-0.0008
2.12,0.4868,0.0019,-0.0009
2.13,0.4829,0.0017,-0.0009
2.14,0.4632,0.0015,-0.0009
2.15,0.4593,0.0015,-0.0009
2.16,0.4436,0.0012,-0.0009
2.17,0.416,0.0011,-0.0009
2.18,0.3885,0.0011,-0.0009
2.19,0.3728,0.001,-0.0009
2.2,0.3531,0.001,-0.0009
2.21,0.3295,0.0009,-0.0009
2.22,0.3099,0.0009,-0.0009
2.23,0.2745,0.0009,-0.0009
2.24,0.2627,0.0009,-0.0009
2.25,0.2548,0.0008,-0.0009
2.26,0.2469,0.0008,-0.0009
2.27,0.2391,0.0008,-0.0009
2.28,0.2351,0.0008,-0.0009
2.29,0.2312,0.0008,-0.0009
2.3,0.2273,0.0008,-0.0009
2.31,0.2194,0.0008,-0.0009
2.32,0.2155,0.0008,-0.0009
2.33,0.2155,0.0008,-0.0009
2.34,0.2116,0.0008,-0.0009
2.35,0.2076,0.0007,-0.0009
2.36,0.1998,0.0007,-0.0009
2.37,0.1958,0.0007,-0.0009
2.38,0.1939,0.0006,-0.0009
2.39,0.1919,0.0005,-0.0009
2.4,0.1919,0.0004,-0.0009
2.41,0.1801,0.0004,-0.0009
2.42,0.1762,0.0004,-0.0009
2.43,0.1722,0.0004,-0.0009
2.44,0.1683,0.0004,-0.0009
2.45,0.1683,0.0004,-0.0009
2.46,0.1644,0.0004,-0.001
2.47,0.1644,0.0004,-0.0009
2.48,0.1565,0.0004,-0.0011
2.49,0.1467,0.0005,-0.0014
2.5,0.1368,0.0005,-0.0016
2.51,0.1329,0.0005,-0.0016
2.52,0.1309,0.0005,-0.0016
2.53,0.13,0.0005,-0.0017
2.54,0.129,0.0005,-0.0017
2.55,0.129,0.0005,-0.0017
2.56,0.125,0.0005,-0.0017
2.57,0.1211,0.0005,-0.0017
2.58,0.1172,0.0004,-0.0017
2.59,0.1132,0.0004,-0.0017
2.6,0.1093,0.0004,-0.0017
2.61,0.1093,0.0004,-0.0017
2.62,0.1054,0.0004,-0.0017
2.63,0.1015,0.0004,-0.0017
2.64,0.0995,0.0004,-0.0017
2.65,0.0985,0.0004,-0.0017
2.66,0.098,0.0004,-0.0017
2.67,0.0978,0.0004,-0.0017
2.68,0.0976,0.0004,-0.0017
2.69,0.0976,0.0004,-0.0017
2.7,0.0975,0.0004,-0.0017
2.71,0.0975,0.0004,-0.0017
2.72,0.0975,0.0004,-0.0017
2.73,0.0975,0.0004,-0.0017
2.74,0.0975,0.0004,-0.0017
2.75,0.0936,0.0004,-0.0018
2.76,0.0936,0.0004,-0.0018
2.77,0.0916,0.0004,-0.0018
2.78,0.0906,0.0004,-0.0017
2.79,0.0905,0.0004,-0.0017
2.8,0.0906,0.0004,-0.0017
2.81,0.0906,0.0004,-0.0017
2.82,0.0907,0.0005,-0.0017
2.83,0.0917,0.0005,-0.0017
2.84,0.0936,0.0006,-0.0017
