Depth,qc,fs_corrected,u
1.51,0.086,0.003,0.021
1.52,0.102,0.003,0.021
1.53,0.094,0.004,0.021
1.54,0.119,0.003,0.021
1.55,0.143,0.005,0.021
1.56,0.151,0.003,0.021
1.57,0.175,0.005,0.024
1.58,0.208,0.005,0.026
1.59,0.216,0.006,0.027
1.6,0.257,0.006,0.028
1.61,0.248,0.006,0.029
1.62,0.257,0.006,0.03
1.63,0.265,0.006,0.038
1.64,0.273,0.008,0.042
1.65,0.289,0.008,0.046
1.66,0.297,0.007,0.045
1.67,0.313,0.009,0.048
1.68,0.33,0.008,0.045
1.69,0.346,0.009,0.047
1.7,0.37,0.01,0.052
1.71,0.37,0.01,0.053
1.72,0.403,0.011,0.055
1.73,0.419,0.011,0.057
1.74,0.427,0.012,0.059
1.75,0.459,0.013,0.057
1.76,0.484,0.013,0.057
1.77,0.484,0.015,0.056
1.78,0.484,0.016,0.057
1.79,0.5,0.014,0.056
1.8,0.516,0.015,0.056
1.81,0.541,0.016,0.058
1.82,0.549,0.016,0.06
1.83,0.549,0.016,0.059
1.84,0.565,0.016,0.06
1.85,0.565,0.017,0.058
1.86,0.573,0.017,0.059
1.87,0.581,0.016,0.062
1.88,0.581,0.015,0.07
1.89,0.597,0.016,0.071
1.9,0.606,0.016,0.074
1.91,0.597,0.014,0.08
1.92,0.614,0.015,0.084
1.93,0.622,0.015,0.085
1.94,0.622,0.015,0.079
1.95,0.646,0.015,0.08
1.96,0.654,0.015,0.079
1.97,0.646,0.014,0.084
1.98,0.654,0.015,0.086
1.99,0.662,0.015,0.089
2.0,0.671,0.014,0.089
2.01,0.662,0.015,0.085
2.02,0.662,0.015,0.1
2.03,0.662,0.015,0.115
2.04,0.679,0.016,0.12
2.05,0.671,0.017,0.125
2.06,0.662,0.017,0.121
2.07,0.671,0.017,0.112
2.08,0.662,0.019,0.098
2.09,0.67,0.018,0.099
2.1,0.679,0.019,0.1
2.11,0.679,0.019,0.103
2.12,0.703,0.02,0.106
2.13,0.719,0.021,0.107
2.14,0.727,0.02,0.081
2.15,0.736,0.02,0.078
2.16,0.736,0.02,0.079
2.17,0.76,0.02,0.078
2.18,0.768,0.02,0.07
2.19,0.76,0.02,0.057
2.2,0.736,0.022,0.056
2.21,0.711,0.022,0.062
2.22,0.719,0.02,0.062
2.23,0.727,0.02,0.064
2.24,0.727,0.02,0.062
2.25,0.711,0.02,0.055
2.26,0.687,0.02,0.062
2.27,0.662,0.019,0.066
2.28,0.646,0.018,0.065
2.29,0.638,0.019,0.064
2.3,0.63,0.018,0.064
2.31,0.63,0.017,0.059
2.32,0.622,0.018,0.057
2.33,0.606,0.016,0.056
2.34,0.581,0.015,0.058
2.35,0.581,0.016,0.059
2.36,0.557,0.015,0.059
2.37,0.524,0.014,0.063
2.38,0.516,0.013,0.064
2.39,0.516,0.012,0.065
2.4,0.516,0.011,0.066
2.41,0.508,0.012,0.067
2.42,0.5,0.01,0.069
2.43,0.484,0.01,0.071
2.44,0.476,0.01,0.073
2.45,0.476,0.011,0.074
2.46,0.484,0.01,0.075
2.47,0.451,0.01,0.08
2.48,0.411,0.008,0.08
2.49,0.403,0.008,0.079
2.5,0.395,0.007,0.08
2.51,0.386,0.007,0.081
2.52,0.386,0.007,0.082
2.53,0.378,0.007,0.083
2.54,0.378,0.006,0.085
2.55,0.37,0.006,0.085
2.56,0.362,0.006,0.087
2.57,0.362,0.007,0.088
2.58,0.362,0.006,0.088
2.59,0.37,0.006,0.089
2.6,0.362,0.006,0.09
2.61,0.354,0.007,0.09
2.62,0.354,0.006,0.092
2.63,0.346,0.006,0.093
2.64,0.338,0.006,0.094
2.65,0.338,0.007,0.094
2.66,0.338,0.006,0.096
2.67,0.338,0.006,0.097
2.68,0.338,0.006,0.097
2.69,0.338,0.006,0.098
2.7,0.346,0.005,0.098
2.71,0.346,0.006,0.099
2.72,0.346,0.006,0.099
2.73,0.346,0.006,0.101
2.74,0.346,0.006,0.101
2.75,0.338,0.005,0.102
2.76,0.346,0.006,0.103
2.77,0.33,0.005,0.103
2.78,0.338,0.005,0.104
2.79,0.33,0.005,0.106
2.8,0.321,0.005,0.107
2.81,0.321,0.004,0.108
2.82,0.321,0.004,0.11
2.83,0.321,0.005,0.111
2.84,0.321,0.006,0.112
2.85,0.313,0.005,0.113
2.86,0.321,0.006,0.115
2.87,0.33,0.006,0.115
2.88,0.338,0.006,0.117
2.89,0.338,0.006,0.118
2.9,0.346,0.006,0.119
2.91,0.354,0.006,0.12
2.92,0.362,0.006,0.121
2.93,0.386,0.006,0.121
2.94,0.395,0.006,0.122
2.95,0.419,0.006,0.12
2.96,0.427,0.006,0.119
2.97,0.427,0.007,0.116
2.98,0.419,0.007,0.118
2.99,0.419,0.007,0.117
3.0,0.419,0.007,0.118
3.01,0.427,0.006,0.12
3.02,0.411,0.005,0.121
3.03,0.411,0.006,0.121
3.04,0.403,0.006,0.125
3.05,0.395,0.006,0.126
3.06,0.378,0.006,0.135
3.07,0.395,0.007,0.136
3.08,0.386,0.008,0.139
3.09,0.378,0.008,0.14
3.1,0.362,0.008,0.141
3.11,0.37,0.008,0.142
3.12,0.37,0.008,0.142
3.13,0.37,0.008,0.142
3.14,0.419,0.008,0.142
3.15,0.427,0.008,0.14
3.16,0.435,0.008,0.139
3.17,0.427,0.007,0.131
3.18,0.435,0.007,0.099
3.19,0.403,0.007,0.094
3.2,0.362,0.007,0.094
3.21,0.346,0.007,0.097
3.22,0.321,0.006,0.098
3.23,0.297,0.006,0.097
3.24,0.289,0.005,0.105
3.25,0.281,0.004,0.112
3.26,0.289,0.003,0.116
3.27,0.289,0.003,0.117
3.28,0.281,0.004,0.121
3.29,0.281,0.004,0.122
3.3,0.281,0.003,0.125
3.31,0.289,0.003,0.126
3.32,0.281,0.003,0.125
3.33,0.281,0.004,0.126
3.34,0.281,0.004,0.128
3.35,0.289,0.004,0.127
3.36,0.297,0.003,0.126
3.37,0.289,0.003,0.128
3.38,0.289,0.003,0.13
3.39,0.281,0.003,0.131
3.4,0.289,0.005,0.133
3.41,0.289,0.003,0.135
3.42,0.289,0.003,0.135
3.43,0.289,0.005,0.135
3.44,0.289,0.005,0.137
3.45,0.297,0.004,0.139
3.46,0.297,0.004,0.14
3.47,0.297,0.004,0.143
3.48,0.305,0.005,0.145
3.49,0.313,0.005,0.146
3.5,0.33,0.005,0.149
3.51,0.346,0.005,0.151
3.52,0.354,0.005,0.152
3.53,0.362,0.005,0.153
3.54,0.354,0.006,0.153
3.55,0.354,0.006,0.152
3.56,0.354,0.007,0.142
3.57,0.338,0.007,0.122
3.58,0.33,0.008,0.124
3.59,0.321,0.007,0.13
3.6,0.313,0.008,0.134
3.61,0.313,0.008,0.14
3.62,0.321,0.008,0.143
3.63,0.338,0.009,0.149
3.64,0.395,0.009,0.154
3.65,0.427,0.01,0.158
3.66,0.484,0.011,0.16
3.67,0.524,0.0127,0.149
3.68,0.541,0.0143,0.147
3.69,0.549,0.016,0.152
3.7,0.557,0.017,0.146
3.71,0.557,0.018,0.155
3.72,0.565,0.018,0.181
3.73,0.589,0.018,0.195
