File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_114319.csv,1,0.06,0.56,0.31000000000000005,152.0,0.5099999999999998,4.29518830006833,0.022681558475892358,0.00033166247903554,98.31001251987462,119.68175437202132,278.613985951557,88.36865301160115,77.82796419237752,55.10241123210944,118.43795669972418,1.8635336499126864,1.8635336499126867
SCPT_114319.csv,2,0.57,1.06,0.815,152.0,0.4999999999999999,2.094289661929625,0.012037031508257521,0.0003342800599262368,97.11511052228829,118.22709107061199,236.10028338176215,98.05744549306752,84.78298324150059,63.98578349988373,143.26909095416784,2.161338186337527,2.161338186337527
SCPT_114319.csv,3,1.07,1.86,1.465,152.0,0.7999999999999998,3.6180777200368217,0.021367655234737732,0.0003733476532280372,118.42286671150447,144.16696817052735,308.4289384864456,124.53941279357753,111.63820522121297,85.5414620845501,179.93728431923796,1.956682050831069,1.956682050831069
SCPT_114319.csv,4,1.87,2.45,2.16,297.0,0.5899999999999999,6.078954793517005,0.03209658754416346,0.0005665918227007997,136.9948170328324,166.77629899649182,391.14856361298837,149.21114809436577,134.72965255427806,106.4942292513006,210.60716091017002,1.7370089344278314,1.7370089344278314
SCPT_114319.csv,5,2.46,3.8,3.13,176.0,1.3499999999999996,10.860686795456164,0.048418489982939815,0.0014453283191921155,158.56021529031497,193.02982730994856,506.2481474744343,180.5093145882404,163.34506118444358,132.63233084167382,244.7853947222731,1.5088132076950818,1.5088132076950818
SCPT_114319.csv,6,3.81,4.61,4.21,200.0,0.81,19.803977822614886,0.03942618824381396,0.002599999999999999,166.5092212352611,202.70687802553513,656.015827722749,190.05431762509085,143.34874373660358,154.6550208628876,258.4527737280289,1.1781485443709587,1.1781485443709587
SCPT_114319.csv,7,4.62,5.11,4.865,200.0,0.5,14.783718766639058,0.02605503338207922,,162.57383213918303,197.9159695607443,595.1287977374183,179.04268529012137,129.925631551338,149.19063205547795,253.55118809345063,1.2772414083681791,1.2772414083681791
SCPT_114319.csv,8,5.12,5.61,5.365,237.0,0.5,8.39846653063649,0.017749046298774145,,154.51434617758827,188.10442143358577,484.0296355475968,163.04854055026595,120.23071142092918,136.88656594174287,246.22545840760037,1.5233461647564137,1.5233461647564137
SCPT_114319.csv,9,5.62,6.46,6.04,190.0,0.8499999999999996,12.679970458454699,0.015083015348523356,,161.29096873163232,196.35422280372583,573.3581625951277,172.4584000152052,117.95288157127253,148.08459248413317,249.13678010666428,1.314094487988929,1.314094487988929
SCPT_114319.csv,10,6.47,7.3,6.885,190.0,0.8399999999999999,5.427521470163313,0.02526288521222527,,160.8024090148336,195.7594544528408,419.82647781564873,167.4675297978116,143.98105349738356,141.86291321005763,273.67811824674885,1.859082947190358,1.859082947190358
