Depth,Qc,Fs,u
1.79,5.141,0.1985,0.0493
1.8,5.167,0.1972,0.0509
1.81,4.79,0.1976,0.0568
1.82,4.824,0.1954,0.0685
1.83,4.816,0.2053,0.0826
1.84,5.038,0.2099,0.0977
1.85,5.073,0.2188,0.1027
1.86,5.218,0.2196,0.1144
1.87,5.167,0.2345,0.1152
1.88,5.158,0.2448,0.1311
1.89,5.492,0.252,0.1436
1.9,5.638,0.2598,0.1436
1.91,5.552,0.2706,0.1386
1.92,5.861,0.264,0.0493
1.93,5.792,0.2465,0.015
1.94,5.998,0.2241,0.0225
1.95,5.647,0.186,0.0209
1.96,5.33,0.1669,0.0234
1.97,5.158,0.1591,0.025
1.98,4.662,0.1467,0.0242
1.99,4.739,0.1389,0.025
2,4.67,0.1591,0.0259
2.01,4.37,0.1582,0.0267
2.02,4.439,0.1982,0.0292
2.03,4.927,0.2212,0.0317
2.04,5.287,0.2442,0.0351
2.05,7.479,0.2498,0.0376
2.06,8.002,0.2937,0.0442
2.07,9.424,0.3328,0.0609
2.08,10.777,0.3627,0.0768
2.09,10.982,0.3739,0.081
2.1,11.411,0.3809,0.0902
2.11,11.573,0.3856,0.0751
2.12,12.104,0.418,0.1143
2.13,12.635,0.448,0.1536
2.14,12.738,0.4613,0.0526
2.15,12.104,0.4817,0.0509
2.16,11.222,0.4943,0.0518
2.17,11.145,0.4927,0.0626
2.18,11.256,0.4846,0.0668
2.19,11.034,0.4659,0.0584
2.2,10.725,0.4442,0.0543
2.21,9.741,0.4112,0.0493
2.22,8.876,0.3844,0.0392
2.23,8.49,0.3705,0.0217
2.24,7.668,0.3521,0.0175
2.25,6.709,0.3486,0.0159
2.26,6.529,0.3421,0.0142
2.27,6.015,0.3309,0.0092
2.28,5.364,0.3058,0.0067
2.29,4.987,0.2703,0.005
2.3,4.627,0.2569,0.0033
2.31,4.208,0.2265,0.0008
2.32,3.959,0.2124,0
2.33,3.634,0.1849,-0.0025
2.34,3.086,0.1566,-0.0033
2.35,2.7,0.1459,-0.0033
2.36,2.529,0.126,-0.0017
2.37,2.221,0.1023,-0.0017
2.38,2.041,0.0977,-0.0008
2.39,1.964,0.0841,0
