File Name,,Depth,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,1.73,3.3455,0.0431,-0.0015,7,2,129.2711182,157.3735352,304.6771595,145.1096624,160.6945746,94.22771116,206.133452,2.174913951,82.5,-0.449113597,-0.645823891,-1.306454429,-0.564691456,-0.666707218,-0.132916019,-0.915725491
SCPT_140250_Raw01_result.csv,140250,1.74,3.6337,0.0542,-0.0011,7,2,134.3018046,163.4978491,314.6310139,152.6588119,178.5882371,97.34255041,212.8066551,2.18641764,82.5,-0.487291247,-0.684001541,-1.338602274,-0.61540715,-0.772284511,-0.165437912,-0.947585738
SCPT_140250_Raw01_result.csv,140250,1.75,3.7839,0.0655,-0.0017,7,2,138.1848959,168.2250907,319.7149198,158.9250543,196.074709,99.62165174,218.492485,2.214901459,82.5,-0.51579432,-0.712504615,-1.35463143,-0.655634441,-0.865697462,-0.188581235,-0.973953327
SCPT_140250_Raw01_result.csv,140250,1.76,3.8895,0.0693,-0.0018,7,2,139.7524112,170.1333702,323.276355,161.3598652,201.6821198,100.6458581,220.4626355,2.214177076,82.5,-0.527074072,-0.723784366,-1.365709252,-0.670838765,-0.8938945,-0.198809706,-0.982929934
SCPT_140250_Raw01_result.csv,140250,1.77,3.8895,0.0737,-0.0019,7,2,140.8819591,171.508472,323.4571305,163.4951928,208.6097554,101.3208667,222.5527572,2.232092185,82.5,-0.535124077,-0.731834371,-1.366268294,-0.683985295,-0.927667014,-0.205494086,-0.992365891
SCPT_140250_Raw01_result.csv,140250,1.78,4.125,0.0833,-0.0009,7,2,144.2815219,175.6470701,330.9939114,168.6879889,221.6384031,103.38777,226.5447506,2.231859485,82.5,-0.558968111,-0.755678405,-1.389301687,-0.715252495,-0.988248946,-0.225688383,-1.010144207
SCPT_140250_Raw01_result.csv,140250,1.79,4.3117,0.0872,-0.0021,7,2,146.1066906,177.8690147,336.818696,171.3078131,226.5487043,104.6075963,228.2943243,2.218223936,82.5,-0.571538819,-0.768249114,-1.406746498,-0.730663722,-1.010161658,-0.237417878,-1.017837399
SCPT_140250_Raw01_result.csv,140250,1.8,4.3117,0.0912,-0.0021,7,2,147.018554,178.9791092,337.004514,173.088162,232.4865074,105.1604753,229.953184,2.231717352,82.5,-0.577760503,-0.774470797,-1.407298032,-0.741002778,-1.036033897,-0.242689226,-1.025077447
SCPT_140250_Raw01_result.csv,140250,1.81,4.4416,0.0927,-0.0023,7,2,148.0397865,180.2223488,341.0336833,174.5194921,234.2856279,105.9170228,230.8152993,2.218330759,82.5,-0.584682772,-0.781393066,-1.419182957,-0.749238145,-1.04374271,-0.24985769,-1.028819527
SCPT_140250_Raw01_result.csv,140250,1.82,4.6446,0.0991,-0.0023,7,2,150.3250556,183.0044156,347.0955671,177.9768076,242.2967656,107.3574877,233.2291391,2.211000139,82.5,-0.600001694,-0.796711988,-1.436801858,-0.768854954,-1.077364986,-0.263365979,-1.039223107
SCPT_140250_Raw01_result.csv,140250,1.83,4.738,0.1032,-0.0023,7,2,151.6223548,184.5837363,349.9355136,180.1003264,247.6833443,108.1932904,234.821385,2.211117375,82.5,-0.608594628,-0.805304922,-1.444950597,-0.780715771,-1.0993528,-0.27112106,-1.046026868
SCPT_140250_Raw01_result.csv,140250,1.84,4.8841,0.1111,-0.0023,7,2,153.8088695,187.2455803,354.2102867,183.6594583,257.6423546,109.50058,237.4643931,2.215108844,82.5,-0.622912431,-0.819622725,-1.457092474,-0.800284979,-1.138774108,-0.283131553,-1.057219395
SCPT_140250_Raw01_result.csv,140250,1.85,4.7826,0.1126,-0.0019,7,2,153.7185582,187.1356361,351.5705604,184.0384799,260.5573614,109.456328,238.1681633,2.232250409,82.5,-0.622325093,-0.819035387,-1.449612138,-0.802346572,-1.150024741,-0.282727345,-1.060178699
SCPT_140250_Raw01_result.csv,140250,1.86,4.7623,0.1136,-0.0009,7,2,153.9024993,187.3595643,351.1924536,184.5968654,262.4093769,109.6337918,238.7599929,2.237622004,82.5,-0.623520987,-0.820231281,-1.448536081,-0.805376048,-1.157107498,-0.284347353,-1.06266054
SCPT_140250_Raw01_result.csv,140250,1.87,4.742,0.1134,-0.0017,7,2,153.8771069,187.3286518,350.8016946,184.7672325,262.7245622,109.7137694,239.02179,2.239758042,82.5,-0.623355983,-0.820066277,-1.447422798,-0.806298537,-1.158307898,-0.285076585,-1.063756426
SCPT_140250_Raw01_result.csv,140250,1.88,4.5796,0.1131,-0.0021,7,2,153.1550136,186.4495818,346.3431858,184.2724377,263.691469,109.3025435,239.2004287,2.260500443,82.5,-0.618652276,-0.81536257,-1.434631857,-0.803617009,-1.161981448,-0.281321372,-1.064503521
SCPT_140250_Raw01_result.csv,140250,1.89,4.401,0.1125,-0.0021,7,2,152.2631706,185.3638598,341.2987143,183.5789483,264.3942878,108.7905722,239.2856749,2.283460351,82.5,-0.612812116,-0.80952241,-1.419959796,-0.799846518,-1.16464321,-0.276626385,-1.064859837
SCPT_140250_Raw01_result.csv,140250,1.9,4.2021,0.1114,-0.0021,7,2,151.1317781,183.9865124,335.4967858,182.5916006,264.6029931,108.1389016,239.2176075,2.309033043,82.5,-0.605353865,-0.80206416,-1.402814083,-0.794453675,-1.16543227,-0.270618234,-1.064575336
SCPT_140250_Raw01_result.csv,140250,1.91,3.9463,0.1091,-0.0021,7,2,149.4121581,181.893062,327.7128707,180.879604,263.6279787,107.1361233,238.7757521,2.341454265,82.5,-0.593910356,-0.79062065,-1.379339537,-0.785033345,-1.161740644,-0.261301913,-1.062726542
SCPT_140250_Raw01_result.csv,140250,1.92,3.8124,0.1083,-0.0021,7,2,148.5817477,180.8821277,323.5866696,180.2252581,263.8920983,106.6945669,238.801766,2.360570933,82.5,-0.588337003,-0.785047298,-1.366668697,-0.781409209,-1.162742008,-0.257171944,-1.062835484
SCPT_140250_Raw01_result.csv,140250,1.93,3.6622,0.1048,-0.0021,7,2,147.1716576,179.1654963,318.8195292,178.5673356,260.6237703,105.9428368,238.0260078,2.375367715,82.5,-0.578801351,-0.775511645,-1.35182691,-0.772167467,-1.150279581,-0.25010138,-1.059581651
SCPT_140250_Raw01_result.csv,140250,1.94,3.5363,0.1043,-0.0017,7,2,146.3726632,178.1928074,314.7504259,177.9974112,261.263868,105.5201432,238.1276448,2.395578048,82.5,-0.573357564,-0.770067858,-1.338981733,-0.768970713,-1.152732592,-0.246103573,-1.060008559
SCPT_140250_Raw01_result.csv,140250,1.95,3.2927,0.1032,-0.0017,7,2,144.6146364,176.0526009,306.4399836,176.5045127,262.0001178,104.4985758,237.9834514,2.436571314,82.5,-0.561274232,-0.757984526,-1.312223631,-0.76054815,-1.15554666,-0.236375149,-1.059402846
SCPT_140250_Raw01_result.csv,140250,1.96,3.1872,0.1021,-0.0016,7,2,143.7621564,175.0147991,302.8051364,175.7809032,261.7262149,104.065096,237.9025608,2.453503104,82.5,-0.555361949,-0.752072243,-1.300291191,-0.756440058,-1.154500683,-0.232218333,-1.059062888
SCPT_140250_Raw01_result.csv,140250,1.97,3.0816,0.1002,-0.0016,7,2,142.7517337,173.7847193,299.0829635,174.7627594,260.3314809,103.5464555,237.56883,2.468685382,82.5,-0.5483087,-0.745018995,-1.287922711,-0.7506311,-1.149157452,-0.227222064,-1.057659099
SCPT_140250_Raw01_result.csv,140250,1.98,2.9599,0.0949,-0.0015,7,2,141.02655,171.6844957,294.6626295,172.4355964,254.1577729,102.6284418,236.1283358,2.477167919,82.5,-0.536149877,-0.732860171,-1.27303278,-0.737225519,-1.125156934,-0.218316812,-1.05157716
SCPT_140250_Raw01_result.csv,140250,1.99,2.8299,0.0859,-0.0015,7,2,138.5243441,168.6383319,289.7941767,168.6000495,242.3262567,101.2687496,233.3091659,2.475039455,82.5,-0.518247786,-0.714958081,-1.256372642,-0.714731046,-1.077486693,-0.204979577,-1.039566173
SCPT_140250_Raw01_result.csv,140250,2,2.7406,0.0835,-0.0014,7,2,137.4442808,167.3234723,286.4087346,167.3546174,239.8111588,100.7056677,232.691031,2.48650486,139.1,0.011974494,-0.1847358,-0.722226834,-0.18492192,-0.544658676,0.322991018,-0.514518428
SCPT_140250_Raw01_result.csv,140250,2.01,2.4646,0.0773,-0.0014,7,2,133.96245,163.0847218,275.1623421,163.2342376,232.9493669,98.68172054,230.4786046,2.529555503,139.1,0.037633562,-0.159076732,-0.682168159,-0.159993111,-0.515628022,0.343293372,-0.504964937
SCPT_140250_Raw01_result.csv,140250,2.02,2.3225,0.0722,-0.0013,7,2,131.7330795,160.3707055,269.1228537,160.3373647,226.3872485,97.42304851,228.629128,2.546418053,139.1,0.054415349,-0.142294946,-0.659974882,-0.142087026,-0.487053923,0.356130279,-0.496908063
SCPT_140250_Raw01_result.csv,140250,2.03,2.1885,0.0706,-0.0013,7,2,130.1587093,158.4540808,263.2102014,158.8421315,225.3871334,96.54585102,228.1486738,2.576868125,139.1,0.066438553,-0.130271742,-0.637759859,-0.132717726,-0.482626418,0.365175063,-0.494804396
SCPT_140250_Raw01_result.csv,140250,2.04,2.083,0.0683,-0.0009,7,2,128.6766639,156.6498517,258.4177972,157.2269945,222.9290759,95.72892519,227.3679153,2.597983296,139.1,0.077890322,-0.118819972,-0.619384545,-0.122497487,-0.471660577,0.373672598,-0.491376379
SCPT_140250_Raw01_result.csv,140250,2.05,1.9693,0.0585,-0.0011,7,2,125.5043794,152.7879401,253.0559279,152.0959153,207.2695049,93.87290204,223.0188915,2.588352088,139.1,0.102852445,-0.093857849,-0.598417424,-0.089318245,-0.398826803,0.393251337,-0.472063384
SCPT_140250_Raw01_result.csv,140250,2.06,1.7907,0.0553,-0.0009,7,2,122.7948046,149.4893273,244.1490768,149.1564371,203.5712121,92.28994437,221.5107452,2.631621082,139.1,0.124678392,-0.072031902,-0.56258591,-0.06980257,-0.380822781,0.410257908,-0.465278001
SCPT_140250_Raw01_result.csv,140250,2.07,1.6892,0.0493,-0.0009,7,2,120.2408356,146.3801477,238.8811005,145.3713261,193.5088808,90.77159104,218.4012865,2.635758271,139.1,0.145696404,-0.05101389,-0.540772842,-0.04409824,-0.330130308,0.426846736,-0.451141035
SCPT_140250_Raw01_result.csv,140250,2.08,1.6202,0.045,-0.001,7,2,118.3776672,144.1119426,235.2162826,142.5766427,185.9511073,89.66727076,216.022115,2.636526519,139.1,0.161313016,-0.035397278,-0.525312344,-0.0246866,-0.290290676,0.439087271,-0.440187688
SCPT_140250_Raw01_result.csv,140250,2.09,1.5633,0.0415,-0.001,7,2,116.7940934,142.1841137,232.1356487,140.2040981,179.5789987,88.727568,213.9631247,2.63670251,139.1,0.1747806,-0.021929694,-0.512128795,-0.007906106,-0.255422116,0.449622457,-0.430610587
SCPT_140250_Raw01_result.csv,140250,2.1,1.4416,0.0386,-0.001,7,2,114.3926469,139.2606136,225.1644894,137.3646477,174.9331071,87.2881282,212.0865062,2.667671641,139.1,0.195556298,-0.001153997,-0.4816381,0.012554047,-0.229210557,0.465978634,-0.421801141
SCPT_140250_Raw01_result.csv,140250,2.11,1.2914,0.0344,-0.0009,7,2,111.01108,135.1439234,215.9984154,133.1685857,167.4504288,85.21095819,209.0151008,2.705569247,139.1,0.225563083,0.028852789,-0.440077973,0.043577212,-0.185494261,0.490063056,-0.407213403
SCPT_140250_Raw01_result.csv,140250,2.12,1.2508,0.0339,-0.0009,7,2,110.2804396,134.2544482,213.4782764,132.5215172,166.9991622,84.8283112,208.8179747,2.721725128,139.1,0.232166526,0.035456232,-0.428341979,0.048448073,-0.182795697,0.494563753,-0.406269839
SCPT_140250_Raw01_result.csv,140250,2.13,1.2183,0.0318,-0.0009,7,2,109.1900363,132.9270007,211.4403003,130.8786699,162.636436,84.170017,207.2955132,2.721367866,139.1,0.242103283,0.045392988,-0.418749592,0.060922389,-0.156324157,0.502354334,-0.398952276
SCPT_140250_Raw01_result.csv,140250,2.14,1.2102,0.0305,-0.0008,7,2,108.7220719,132.3573049,211.0011918,130.0432338,159.7970561,83.90757467,206.4080173,2.714672216,139.1,0.246398272,0.049687978,-0.416670683,0.067326136,-0.138711512,0.505477207,-0.394661777
SCPT_140250_Raw01_result.csv,140250,2.15,1.1817,0.0298,-0.0007,7,2,108.0890143,131.586626,209.1865949,129.3493836,158.6215437,83.56736466,205.992474,2.723588353,139.1,0.252238005,0.055527711,-0.408033553,0.072675955,-0.131328037,0.50954003,-0.392646535
SCPT_140250_Raw01_result.csv,140250,2.16,1.1533,0.0283,-0.0006,7,2,107.1851783,130.486304,207.34799,128.0521062,155.4053222,83.02596461,204.8175487,2.725473722,139.1,0.260635122,0.063924828,-0.399205394,0.082755838,-0.110843587,0.516039713,-0.386926477
SCPT_140250_Raw01_result.csv,140250,2.17,1.0681,0.0296,-0.0004,7,2,106.1258355,129.1966693,201.4516424,127.9978619,159.9670909,82.52603064,206.1406868,2.785287708,139.1,0.270567581,0.073857287,-0.370356266,0.083179539,-0.139775013,0.522079332,-0.393365782
SCPT_140250_Raw01_result.csv,140250,2.18,1.0437,0.0276,-0.0006,7,2,105.0970084,127.9441841,199.7691099,126.3447699,155.3733588,81.880235,204.4771998,2.781720989,139.1,0.280309286,0.083598992,-0.36196915,0.096178659,-0.110637888,0.529935468,-0.385263378
SCPT_140250_Raw01_result.csv,140250,2.19,1.0397,0.0271,-0.0006,7,2,104.9211767,127.7301281,199.5666655,126.0685709,154.3199559,81.81491743,204.222338,2.779510429,139.1,0.281983729,0.085273435,-0.360955245,0.098367126,-0.103834984,0.530733507,-0.384016194
SCPT_140250_Raw01_result.csv,140250,2.2,1.0397,0.0259,-0.0006,7,2,104.5832025,127.3186813,199.6566956,125.2996664,151.3408128,81.61123821,203.257595,2.767979511,139.1,0.285210149,0.088499854,-0.361406271,0.1044849,-0.084341233,0.533226123,-0.379281016
SCPT_140250_Raw01_result.csv,140250,2.21,1.0398,0.0257,-0.0006,7,2,104.579078,127.3136602,199.7536972,125.2993217,150.9970541,81.66276818,203.286124,2.766038385,139.1,0.285249586,0.088539292,-0.361891995,0.10448765,-0.082067229,0.532594915,-0.379421365
SCPT_140250_Raw01_result.csv,140250,2.22,1.0407,0.0256,-0.0007,7,2,104.6234511,127.3676796,199.9076691,125.3876825,150.9088753,81.7490561,203.4166335,2.764612731,139.1,0.284825374,0.08811508,-0.362662507,0.103782701,-0.081483081,0.531538835,-0.380063159
SCPT_140250_Raw01_result.csv,140250,2.23,1.0559,0.0257,-0.0007,7,2,105.0054975,127.8327796,201.107627,125.8392505,151.1791099,82.04888922,203.7731694,2.756619911,139.1,0.281180393,0.084470098,-0.368647124,0.100187796,-0.083272194,0.527877819,-0.381814362
