Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.06,1.28,1.22,1.9293797961119896,0.10971561420696932,0.003391226212241628,112.58059980001359,137.05464323479956,219.42831202400816,129.43122532213653,220.61963943515445,68.09653897112973,172.75807769438902,2.7849458741613886
2,1.3,3.8,2.5,12.758044733660396,0.04953533218023982,,156.79158887400615,190.87671689009434,525.1876722748433,183.86152264546172,163.2405368000305,127.18197426226632,231.25621961012592,1.4316752254056557
3,3.82,4.8,0.98,18.54939145116356,0.025996651680027693,,160.8009589671248,195.75768917736974,641.2300080118782,184.7152228936892,129.9247324628372,148.93896164185782,246.1274492625623,1.1581525273537834
4,4.82,5.82,1.0,12.73397405862629,0.06059128548577272,0.036958562819089144,186.4344033724977,226.9636214969536,567.5443069098588,208.71693999721828,196.62709242044977,160.50580566718483,289.0258970700056,1.5580254765359078
5,5.84,6.82,0.9800000000000004,21.759669160601884,0.04226705106625758,0.021675671656296257,183.49341029453234,223.38328209769142,708.2935196685171,209.86681680038802,157.7170679089458,176.62916353188058,289.3872200800811,1.186272875063542
6,6.84,7.9,1.0600000000000005,15.06041170937935,0.0808112528490495,0.029485611021994488,207.96199641956048,253.17112607598673,624.8379791771555,228.8283580408998,220.91474111784402,184.41417040410872,326.3006394802194,1.56371792522257
7,7.92,8.96,1.040000000000001,12.231504187989279,0.10180454530529222,0.06605904893430929,217.70585771939182,265.03321809317225,585.3571839232761,234.78538093831185,249.51599061323256,189.45382761029848,347.4635109890625,1.7658515618994604
8,8.98,11.3,2.3200000000000003,16.57681087115471,0.03606881774391807,0.058831666378775335,199.8896340315099,243.3439022992293,669.2189207776322,212.41710831964932,160.31355269543403,191.01941323425189,318.63541375453303,1.3755129954521597
9,11.32,12.66,1.3399999999999999,20.699778392941628,0.1934134544578058,0.1101980683391539,268.524405328176,326.8992760516932,740.9586461371007,287.8944207498074,332.7727508359711,237.65241910430015,414.40355935569465,1.6883383058818195
10,12.68,15.78,3.0999999999999996,24.377053378246377,0.21418713074999723,0.11614983650359961,286.40443619097715,348.66627014553757,802.0214402847625,303.5518178853004,346.56536730193284,257.2451694697358,438.9009484630491,1.6500160946492295
11,15.8,20.0,4.199999999999999,18.426127565763803,0.15990935077721583,0.13876065881687072,284.994600054277,346.949947892164,737.5810823316737,281.05160656564425,301.9419861190095,257.02433014641446,446.83158916920416,1.795365886941409
