File Name,Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SCPT_14556.csv,0.0,4.0,2.0,145.73,1.8460738893486799,0.036347329137409214,113.03921227245759,137.61295407081812,238.78201636981404,128.4838479518533,154.0810026631803,81.82274489075951,193.3099842874995,2.4835963409954593
SCPT_14556.csv,4.0,6.0,5.0,144.01,0.7690649672401367,0.017257785933868158,107.00813998341101,130.27077911023966,192.1545902253267,125.33333082365394,146.63203665513092,94.69351717246339,236.26477304591714,2.9078421710303983
SCPT_14556.csv,6.0,8.0,7.0,274.08,1.4088598499505771,0.022839359673168975,130.22916906421094,158.53985799121352,252.6092110924385,143.8152941970717,157.87676091337883,116.24542212352031,268.26618130219117,2.6235633117678487
SCPT_14556.csv,8.0,10.0,9.0,263.18,2.713115365420996,0.05092004983867677,165.7305908817014,201.75898020381047,330.58296527400637,177.5018206215444,213.20017280596136,146.4887718481367,318.9603942342393,2.503905808417798
SCPT_14556.csv,10.0,12.0,11.0,200.0,2.380424844683358,0.035206296983292265,164.91182788946722,200.76222525674262,322.2330037085196,165.19518453235483,181.47814781950535,147.4537810019296,319.6156795421896,2.551411363082985
SCPT_14556.csv,12.0,14.0,13.0,352.99,1.6247437110680094,0.03150925768457149,160.41486998907953,195.2876678127925,286.08505742631854,153.6891654210814,173.19287097297612,144.87888829915238,327.7562122699464,2.821484853086673
SCPT_14556.csv,14.0,16.0,15.0,265.76,2.0406945304523716,0.030531413385652968,171.6605106541094,208.9780129702206,314.6959116044275,157.04547316225992,166.52931069990228,155.39714652489963,339.05130825189144,2.7185056267925836
SCPT_14556.csv,16.0,18.0,17.0,369.31,4.599207686151445,0.0839634773073065,219.57088941634447,267.3036914633753,431.63014175124863,205.39446858774713,244.3678893013841,196.72867505858542,401.5788100922868,2.481284153597815
SCPT_14556.csv,18.0,20.0,19.0,293.2,7.837715043709765,0.13922333595555758,256.4935537937067,312.25302200973056,534.3256460230186,240.31376429990257,295.65474506462664,228.49847489898522,442.86903892761467,2.3038099995472887
SCPT_148995.csv,0.0,1.0,0.5,398.0,7.636720740218988,0.06414176754549919,123.04907010223825,149.79886795055097,363.3469558768578,127.49481362029077,137.30646053902308,74.18697536635587,153.0095763592671,1.7447092178464516
SCPT_148995.csv,1.0,2.0,1.5,394.4,9.923929113385634,0.04411399744105775,141.08949920639344,171.76112946865294,454.0844071871293,168.49898849287115,152.1783513195018,105.45325470040899,199.8911476048891,1.528688663385727
SCPT_148995.csv,2.0,3.0,2.5,456.5,10.087313090260244,0.0337800977268539,147.6331535906254,179.72731741467447,481.3076581106514,171.99173199503824,141.93709294250647,119.62115689185089,220.50988049482615,1.4853671616520432
SCPT_148995.csv,3.0,4.0,3.5,95.7,6.19953523681384,0.01740173627827585,140.07443079215352,170.52539400783894,413.3776586187041,155.01242960466914,120.30458065371873,116.02476347656396,219.69253487815897,1.6527885461991985
SCPT_148995.csv,4.0,5.0,4.5,95.7,9.67854956212639,0.025723475948515113,158.38991140455016,192.8225008403218,502.51115790135566,173.65356361901968,134.65361718742994,137.1010682821702,247.23548833734918,1.506552364024715
SCPT_148995.csv,5.0,6.0,5.5,175.0,6.15823981680526,0.017271114204009896,152.41219514453678,185.54528104552293,431.42791442004875,160.44109131657603,123.29303006290789,131.44412530580524,246.21427247575747,1.7087894414048108
SCPT_148995.csv,6.0,7.0,6.5,133.4,1.9118789787732926,0.005188301860556271,123.54838181615679,150.4067256892344,284.0438952437379,124.7712608616054,94.72392602617737,105.31076538625982,217.80591027603913,2.171665813095195
SCPT_148995.csv,7.0,8.0,7.5,111.4,0.4383755955414179,0.002311447714006494,96.268210141115,117.19608191092267,170.60480344868148,93.05829394522215,75.08930429938422,82.89778580547282,201.11755140989186,2.934432588631479
SCPT_148995.csv,8.0,9.0,8.5,134.4,0.5401006963546222,0.0021765766934710765,102.02705062300664,124.20684423670379,185.37903219712356,95.29900809472254,73.98560027248105,88.01710311774262,206.3029893037817,2.8379441910132432
SCPT_148995.csv,9.0,10.0,9.5,182.3,2.7191973599762016,0.009430042147568197,144.8444154276757,176.33233182499657,334.34966114852745,139.9813287473224,109.7669296720735,129.40458998604473,259.8464559759293,2.129677921128009
SCPT_148995.csv,10.0,11.0,10.5,138.2,1.020161214712666,0.0051596002826699875,124.66621794864004,151.7675696766051,238.58807074640129,114.2977329619608,94.6309005389984,109.90075714830459,244.64196754484183,2.6424315010578137
SCPT_148995.csv,11.0,12.0,11.5,136.6,0.5653940454097991,0.002264552223182296,111.77014986534932,136.0680085317298,196.39489996879755,96.2902388101384,74.91796731123665,96.69484917867217,223.94891649511,2.916717597365799
SCPT_148995.csv,12.0,13.0,12.5,137.2,0.6275759002623307,0.002180360266920931,115.63419375452895,140.77206196203545,205.43382155911266,97.4700088631749,74.13840794007395,100.14748706863298,227.78026731822646,2.8711956584577765
SCPT_148995.csv,13.0,14.0,13.5,200.4,3.8625945973598506,0.011939358189650766,165.92363573619056,201.99399133101466,398.29576531667806,152.7257890530498,117.85924773797943,153.06583691846512,293.64241191967903,2.0100907994128936
SCPT_148995.csv,14.0,15.0,14.5,326.5,7.120941767110985,0.02075422766597172,190.68994913916146,232.14428590854467,502.45326141852024,179.82604184648824,140.7566949439405,178.52447934260033,322.74446381507715,1.7961343831411798
SCPT_148995.csv,15.0,16.0,15.5,338.8,8.454995828513155,0.01850763225102505,194.98065759385213,237.36775707077675,540.0650938534128,182.79252922769453,134.93896475282625,184.65649006744755,323.798926164312,1.6931765471132985
SCPT_148995.csv,16.0,17.0,16.5,299.0,7.869105207933097,0.01480510339228479,195.64075265766883,238.17135106151017,528.8431558834905,180.6105459457918,133.10956284595034,182.5495119770309,319.3863847464351,1.7378275853104845
SCPT_148995.csv,17.0,18.0,17.5,305.9,5.886025464948594,0.04996399120015189,212.87834934238296,259.1562513733365,480.0516564637324,197.36433285670267,192.7072278780311,196.86766532632163,378.89958873311997,2.1245890603619006
SCPT_148995.csv,18.0,19.0,18.5,250.5,5.993934125811451,0.06565298791329864,224.23964434257266,272.98739311269674,488.73148889937136,206.7053451679069,215.88331394007727,205.05334879498957,398.2073481001791,2.2010926002195523
SCPT_148995.csv,19.0,20.0,19.5,220.4,2.4524283485895144,0.022458739217779005,185.14815215718238,225.39775045222189,354.8465845756207,156.88326911893597,147.04774514716613,167.367104567692,348.7075888541155,2.561581173974639
SCPT_148995.csv,20.0,21.0,20.5,175.8,3.05687978931329,0.03591562690241623,199.13704997871622,242.42771301756744,378.8632328961366,170.27282050189706,172.08615999526072,182.14303912805542,375.9877437486089,2.5729430985817126
SCPT_148995.csv,21.0,22.0,21.5,294.9,5.0262944914222745,0.03084486544096638,207.5197546985047,252.6327448503534,457.50055395091175,182.3668956662133,165.19275219819292,195.78464431147177,374.46758497352,2.1712284565222477
SCPT_148995.csv,22.0,23.0,22.5,325.4,14.74452582350576,0.025520985473174926,228.47138891042852,278.1390821518262,692.0284901813867,215.96620829275065,156.16849695351843,227.89936375196734,372.5400771988615,1.5075037598861472
SCPT_148995.csv,23.0,24.0,23.5,354.7,6.33168132973948,0.07391048508100997,238.64333291713146,290.52231833389925,505.9517051781376,211.4561486572418,224.78745113871148,223.0803051549267,429.80481651221766,2.2530339679995337
SCPT_148995.csv,24.0,25.0,24.5,340.7,7.8241526710802844,0.04938134012534764,240.59584542977092,292.89929008841636,548.1611615931781,213.63411701608678,206.36186648435506,225.0057723951167,412.822469743946,2.0737818223170517
SCPT_148995.csv,25.0,26.0,25.5,321.5,11.684430368243179,0.023495554331132998,233.24241847773592,283.94729205985226,641.2585216176317,206.87634749554482,150.54944477331168,226.6375554762616,379.764414655193,1.6762124702022028
SCPT_148995.csv,26.0,27.0,26.5,297.3,10.287638358642244,0.023703428378245094,233.99177482978217,284.8595519666917,613.1791066093241,202.245898093505,149.9699924585179,225.0779824227171,383.55733630657335,1.7681046310319108
SDMT_156438.csv,0.0,2.0,1.0,617.0,0.17570451459537023,0.0026424669543997203,54.7316483879254,66.62983282008312,91.81734763490593,57.465599805932335,58.513960293245816,39.6629565151068,115.97011447806317,3.3615025941629226
SDMT_156438.csv,2.0,2.5,2.25,749.0,0.9421976499023854,0.02508848026139749,102.66010479113694,124.97751887616677,192.940364564527,123.90049371784978,152.15423306833446,80.6563240026817,203.2029265511126,2.818298175720311
SDMT_156438.csv,2.5,3.0,2.75,151.0,1.9807463420673792,0.012449948129959056,111.9282872520142,136.26052361114776,260.7779654030752,129.04800969866977,114.79638218759507,89.57928713595562,196.30305959142277,2.1913554794294043
SDMT_156438.csv,3.0,3.5,3.25,133.0,4.371970591142357,0.016838284668593186,133.1909831709384,162.14554472983812,358.9809005647112,151.08819779966245,123.47166426629936,107.85894134970187,214.26338535488964,1.8383818030309118
SDMT_156438.csv,3.5,4.0,3.75,124.0,2.3608131013184224,0.011880694506410843,122.05878152143437,148.59329924348538,287.69947447663725,137.31007465221305,115.96865877853787,99.7884822303607,211.37395620275507,2.1398781059669414
SDMT_156438.csv,4.0,4.5,4.25,148.0,1.8426862514641482,0.005574619305418873,114.29687769351078,139.14402501818685,265.14140551019676,122.65890869031612,92.67554390539453,93.63944902503988,197.3883761978152,2.177784695780598
