File Name,Depth,qc,fs,Measure Vs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
SCPT_14552_Raw02_result.csv,0.04,0.906,0.0008,172.19,0.906,0.0008,0.0019,50.67568996758975,61.69214430837013,127.4206544536378,31.63306007442412,20.85669970954498,19.677658986542724,46.877601214531865,2.2885410398509984
SCPT_14552_Raw02_result.csv,0.06,1.165,0.0036,172.19,1.165,0.0036,-0.003,58.79367671192696,71.57491077973718,145.95916334054945,39.76210259323791,29.65812461098188,25.874258424004456,63.27645768754473,2.2869401602418518
SCPT_14552_Raw02_result.csv,0.08,1.513,0.0061,172.19,1.513,0.0061,-0.0026,65.74342508170078,80.03547401250529,165.955138352836,46.88013480570434,36.87534487490007,30.405771072020286,73.02393111730545,2.219600559784172
SCPT_14552_Raw02_result.csv,0.1,1.513,0.0102,172.19,1.513,0.0102,-0.0024,70.15278079461845,85.40338531518769,169.6637971394166,52.8057783469197,46.20597896158716,33.76202156220981,82.60542801355511,2.3120988068912127
SCPT_14552_Raw02_result.csv,0.12,1.265,0.0127,172.19,1.265,0.0127,-0.0029,70.82462344753249,86.2212807187352,161.32615902590007,55.792591435391806,53.11096586889045,35.249012432838974,88.88788327271406,2.463087380889256
SCPT_14552_Raw02_result.csv,0.14,1.265,0.0196,172.19,1.265,0.0196,-0.0047,74.82720554897425,91.09398936396865,163.78920876605918,61.95427037350567,66.09549599465714,38.14167019235269,97.78650125551948,2.562181977639048
SCPT_14552_Raw02_result.csv,0.16,1.231,0.0196,172.19,1.231,0.0196,-0.0047,75.70605742609872,92.16389599698977,164.24912917403532,64.02338606914809,68.66882129537194,39.42916606319762,101.1261119222999,2.5787794197930767
SCPT_14552_Raw02_result.csv,0.18,1.428,0.0275,172.19,1.428,0.0275,-0.0017,81.29170195478503,98.96381107539048,175.90654583822266,70.95677678448916,81.3900771674172,42.80840580300205,108.99383611026026,2.572385720553606
SCPT_14552_Raw02_result.csv,0.2,1.794,0.0275,172.19,1.794,0.0275,-0.0017,85.6971175044311,104.32692565756832,193.94297308319537,74.9964447039633,82.21128045439046,45.55323315249159,112.12743322001268,2.433985645550057
SCPT_14552_Raw02_result.csv,0.22,1.987,0.0226,172.19,1.987,0.0226,0.0004,86.57127457827923,105.39111687790516,203.59235324721536,75.53744442849673,76.78752464935168,46.70278954051111,112.05557151485148,2.324128336269456
SCPT_14552_Raw02_result.csv,0.24,1.786,0.0226,172.19,1.786,0.0226,0.0004,86.01871000855292,104.71842957562964,197.1561877045205,76.32668493344129,79.2156942382574,47.11709195037736,114.45933527757144,2.388539380315207
SCPT_14552_Raw02_result.csv,0.26,1.492,0.0417,172.19,1.492,0.0417,-0.0007,89.13397987860655,108.51093202612972,185.5196158685226,84.42756561115442,108.9490837352981,49.394024957488064,126.3140292807909,2.6558584891265085
SCPT_14552_Raw02_result.csv,0.28,1.492,0.0417,172.19,1.492,0.0417,-0.0025,89.95725747848662,109.51318301728809,186.86849240108032,86.14225305472102,111.17260257698176,50.42219629765359,128.70467248231972,2.6561495754198154
SCPT_14552_Raw02_result.csv,0.3,1.53,0.0412,172.19,1.53,0.0412,-0.0028,91.05167970965508,110.84552312479752,189.9633195915642,87.82973453299077,112.34850968742468,51.5334913799331,130.79007461081588,2.6376196074233738
SCPT_14552_Raw02_result.csv,0.32,1.53,0.045,172.19,1.53,0.045,-0.0012,92.55778576676605,112.67904354214996,191.19621963773616,90.75377950570584,119.36824104853216,52.852035942500734,134.47670004316095,2.661793636121488
SCPT_14552_Raw02_result.csv,0.34,1.285,0.0504,172.19,1.285,0.0504,-0.0006,91.1790706920238,111.00060779898548,179.94727173088194,92.27459532569677,130.48178412426975,52.9118256902191,138.40308616826113,2.800663308174268
SCPT_14552_Raw02_result.csv,0.36,1.285,0.0443,172.19,1.285,0.0443,-0.0062,90.74061972896732,110.46684140917765,180.90814755677312,91.56867066025129,124.2507886800803,53.18675300160064,138.08377632720925,2.765377221135099
SCPT_14552_Raw02_result.csv,0.38,1.304,0.0507,172.19,1.304,0.0507,-0.0039,92.7610926587551,112.92654758457144,182.92737555682092,95.3062098770528,134.6486365478949,54.71586844016625,142.47842125508782,2.793951233156438
SCPT_14552_Raw02_result.csv,0.4,1.304,0.0369,172.19,1.304,0.0369,-0.005,90.68645415996468,110.40090071647874,183.8467928971694,91.38579090061572,116.73866814988476,54.05721435784013,138.49924788669378,2.706764425517292
SCPT_14552_Raw02_result.csv,0.42,1.192,0.0421,172.19,1.192,0.0421,-0.0037,90.75953647704564,110.4898704937947,178.51698268006828,93.72314052061417,127.0944155956191,54.68652412177419,142.5485954901819,2.7978059925922727
SCPT_14552_Raw02_result.csv,0.44,1.028,0.0344,172.19,1.028,0.0344,0.0003,87.13091932170614,106.07242352207706,169.52596285111466,90.08678157109884,118.20765774734105,53.328458017163726,140.34425166433692,2.8337073242722064
SCPT_14552_Raw02_result.csv,0.46,0.984,0.0323,172.19,0.984,0.0323,-0.0001,86.3947646407032,105.17623521476912,167.44690830346673,89.69798629792882,116.48493800139292,53.37275289948556,140.72847402244102,2.844021332926369
SCPT_14552_Raw02_result.csv,0.48,1.164,0.0287,172.19,1.164,0.0287,-0.0046,88.80837857191901,108.11454782668402,179.2458450111879,90.64607093664712,109.8030883827226,54.79038013739717,140.2576270775779,2.7107330836213346
SCPT_14552_Raw02_result.csv,0.5,1.406,0.0287,172.19,1.406,0.0287,-0.0046,92.43865345198012,112.53401289806276,193.44752810112263,93.62896103311851,109.18723112642031,56.94368494465874,141.91192933524164,2.595373617873252
SCPT_14552_Raw02_result.csv,0.52,1.869,0.0214,172.19,1.869,0.0214,-0.0057,94.9477193231255,115.58852787163104,216.5116223566638,93.40200216822466,94.715639959856,58.533276494268456,138.25227951352613,2.3500955649796085
SCPT_14552_Raw02_result.csv,0.54,1.869,0.0214,172.19,1.869,0.0214,-0.0076,95.39398935044724,116.1318131222836,217.30519606153013,94.2904828662078,95.62370491716602,59.15062949140976,139.5786765088455,2.3503267757686133
SCPT_14552_Raw02_result.csv,0.56,1.883,0.0257,172.19,1.883,0.0257,-0.0048,97.59813961532198,118.81512648821808,218.7369677937569,97.96317003351017,104.39449385483792,60.73191700182938,144.27016372171732,2.38999893881837
SCPT_14552_Raw02_result.csv,0.58,1.883,0.0224,172.19,1.883,0.0224,-0.0038,96.77981790080295,117.8189087488036,219.5071004791457,96.76708108335522,99.22772191976966,60.63171278959554,142.97930198248395,2.356655154955876
SCPT_14552_Raw02_result.csv,0.6,1.758,0.0246,172.19,1.758,0.0246,-0.0038,96.94170256071922,118.01598572609296,214.5387761633742,98.20806939978856,104.78088304069588,61.076508454802514,145.9038410788632,2.421117633091729
SCPT_14552_Raw02_result.csv,0.62,1.758,0.0355,172.19,1.758,0.0355,-0.0031,100.7641595288556,122.66941160034597,215.24289228552124,105.08684170476468,124.880276821666,63.54104944716723,154.3041755285672,2.514668619616892
SCPT_14552_Raw02_result.csv,0.64,1.519,0.0352,172.19,1.519,0.0352,-0.0032,98.510489125012,119.92581284784067,204.1927536126521,104.03387471788976,127.03497111213709,62.72536776162203,155.20916504307178,2.602156105171001
SCPT_14552_Raw02_result.csv,0.66,1.519,0.0427,172.19,1.519,0.0427,-0.0046,100.69030838343396,122.57950585809353,204.8013247540783,108.38227032534736,140.53787797169107,64.2866611079743,160.39968918044866,2.654442796838926
SCPT_14552_Raw02_result.csv,0.68,1.655,0.0443,172.19,1.655,0.0443,-0.005,103.01623436594686,125.4110679237614,212.2473602934408,111.01034371708592,143.0878346427391,65.82846401373602,162.49353993385887,2.611897051808753
SCPT_14552_Raw02_result.csv,0.7,1.807,0.042,172.19,1.807,0.042,-0.0045,104.47898085716822,127.19180278263958,220.13212351552465,111.94384677660838,139.35499590126935,66.90933957265737,162.66475283156535,2.5433773171093037
SCPT_14552_Raw02_result.csv,0.72,1.923,0.0384,172.19,1.923,0.0384,-0.0036,105.05665219717037,127.89505484872912,226.0670300282996,111.85160934803504,133.7135652370693,67.53808861467743,162.00535974746597,2.4811129051200327
