Depth,qc,fs_corrected,u
7.589999,4.0194,0.0066,0.0011
7.599999,4.0852,0.0069,0.0011
7.609999,4.2826,0.0067,0.0011
7.619999,4.418,0.0071,0.0011
7.629999,4.3793,0.008,0.0011
7.639999,4.6695,0.0089,0.0011
7.649999,4.8011,0.0092,0.0011
7.659999,4.9675,0.0097,0.0011
7.669999,5.3312,0.0103,0.0011
7.679999,5.5596,0.0115,0.0011
7.689999,5.7414,0.0122,0.0011
7.699999,5.931,0.0129,0.0011
7.709999,6.4844,0.0128,0.0011
7.719999,6.7127,0.0126,0.0011
7.729999,6.8985,0.0123,0.0011
7.739999,7.3976,0.0116,0.0011
7.749999,7.7111,0.0114,0.0011
7.759999,8.0361,0.0113,0.0011
7.769999,8.4541,0.0117,0.0011
7.779999,8.8797,0.0121,0.0011
7.789999,9.3054,0.0129,0.0011
7.799999,9.6034,0.0126,0.0011
7.809999,10.0406,0.0164,0.0011
7.819999,10.5824,0.0163,0.0011
7.829999,10.8958,0.0199,0.001
7.839999,11.5188,0.0187,0.001
7.849999,12.2309,0.021,0.001
7.859999,12.6101,0.0235,0.0011
7.869999,13.3415,0.0248,0.0011
7.879999,13.6665,0.0262,0.001
7.889999,14.1734,0.0267,0.001
7.899999,14.5449,0.0279,0.001
7.909999,14.7268,0.0283,0.001
7.919999,14.9087,0.0284,0.001
7.929999,14.8003,0.0284,0.001
7.939999,14.8622,0.0282,0.0009
7.949998,14.6997,0.028,0.0009
7.959998,14.6262,0.0272,0.0009
7.969998,14.4985,0.0276,0.0009
7.979998,14.0922,0.0269,0.0009
7.989998,13.8406,0.0269,0.0009
7.999998,13.6704,0.0269,0.0009
8.009999,13.3221,0.0269,0.0009
8.019999,13.2408,0.0269,0.0009
8.029999,13.1248,0.0272,0.0009
8.039999,13.0667,0.0281,0.0009
8.049999,13.0454,0.0324,0.0009
8.059999,13.0241,0.0332,0.0009
8.069999,13.0551,0.0336,0.0009
8.079998,12.8539,0.0354,0.0009
8.089998,12.7726,0.0356,0.0009
8.099998,12.552,0.0433,0.0009
8.109998,12.4321,0.0511,0.0009
8.119998,12.2541,0.0522,0.0009
8.129998,12.138,0.0527,0.0009
8.139998,12.0335,0.0532,0.0009
8.149998,11.8942,0.0532,0.001
8.159998,11.8207,0.0532,0.001
8.169998,11.5653,0.0555,0.001
8.179998,11.5537,0.0555,0.001
8.189998,11.3989,0.0555,0.0011
8.199998,11.4724,0.0555,0.0011
8.209998,11.3292,0.0516,0.0011
8.219998,10.7527,0.0496,0.0011
8.229998,10.4663,0.0489,0.0011
8.239998,10.2341,0.0406,0.0011
8.249998,10.1296,0.0418,0.0012
8.259998,9.9981,0.0404,0.0012
8.269998,9.8588,0.04,0.0012
8.279998,9.5221,0.0402,0.0013
8.289998,9.348,0.04,0.0015
8.299998,9.0655,0.0397,0.0017
8.309998,8.8449,0.0391,0.0055
8.319998,8.7443,0.0388,0.0074
8.329998,8.4579,0.039,0.0085
8.339998,8.338,0.0382,0.014
8.349998,8.2296,0.0355,0.0167
8.359998,7.9936,0.0348,0.018
8.369998,7.8659,0.0337,0.0248
8.379998,7.773,0.0325,0.0239
8.389998,7.5989,0.0276,0.0239
8.399998,7.0068,0.0245,0.0169
8.409998,6.5308,0.0109,0.0148
8.419998,6.1284,0.0112,0.0125
8.429998,5.4744,0.0087,0.0036
8.439998,4.5921,0.0066,-0.0019
8.449998,3.7872,0.0069,-0.0029
8.459998,2.6728,0.0053,-0.0033
8.469998,2.429,0.0047,-0.0035
8.479998,2.2316,0.0029,-0.0032
8.489998,2.0614,0.0027,-0.0028
8.499998,1.9027,0.0021,-0.0006
8.509998,1.6976,0.0015,0.0008
8.519998,1.6241,0.0015,0.0011
8.529998,1.5216,0.0013,0.0017
8.539998,1.419,0.0011,0.0011
8.549998,1.3687,0.0008,0.001
8.559998,1.2874,0.0006,0.001
8.569998,1.2487,0.0005,0.001
8.579998,1.1791,0.0004,0.001
8.589998,0.9972,0.0001,0.0011
8.599998,0.9237,0.0,0.0011
8.609998,0.854,0.0,0.0012
8.619998,0.4787,0.0,0.0013
8.629998,0.3355,0.0,0.0013
8.639998,0.2117,0.0,0.0013
8.649998,0.1149,0.0,0.0013
9.439997,0.1459,0.0,0.0047
9.449997,0.1536,0.0,0.0047
9.459997,0.1652,0.0,0.0049
9.469997,0.1691,0.0,0.0049
9.479997,0.1768,0.0,0.0049
9.489997,0.1962,0.0,0.0051
9.499997,0.2349,0.0,0.0038
9.509997,0.2426,0.0,0.0033
9.519997,0.2581,0.0,0.0032
9.529997,0.2697,0.0001,0.0031
9.539997,0.2775,0.0001,0.0031
9.549997,0.2813,0.0001,0.0031
9.559997,0.2775,0.0001,0.0031
9.569997,0.2736,0.0001,0.0031
9.579997,0.2697,0.0001,0.0031
9.589997,0.2542,0.0001,0.0032
9.599997,0.2426,0.0001,0.0032
9.609997,0.2349,0.0001,0.0032
9.619997,0.2233,0.0001,0.0032
9.629997,0.2078,0.0001,0.0033
9.639997,0.1923,0.0001,0.0033
9.649997,0.1807,0.0001,0.0034
9.659997,0.1614,0.0001,0.0034
9.669997,0.1536,0.0001,0.0036
9.679997,0.1498,0.0001,0.0036
9.689997,0.1381,0.0001,0.0036
9.699997,0.1343,0.0001,0.0036
9.709997,0.1265,0.0001,0.0037
9.719997,0.1227,0.0001,0.0037
9.729997,0.1149,0.0001,0.0038
9.739997,0.1111,0.0001,0.0038
9.749997,0.1072,0.0001,0.0037
9.759997,0.1033,0.0001,0.0037
9.769997,0.1014,0.0001,0.0038
9.779997,0.0995,0.0001,0.0037
9.789997,0.0995,0.0001,0.0037
9.799997,0.0956,0.0001,0.0036
9.809997,0.0936,0.0001,0.0036
9.819997,0.0917,0.0001,0.0036
9.829997,0.0917,0.0001,0.0036
9.839997,0.0878,0.0001,0.0036
9.849997,0.0878,0.0001,0.0036
9.859997,0.0859,0.0001,0.0036
9.869997,0.084,0.0001,0.0036
9.879997,0.084,0.0001,0.0035
9.889997,0.082,0.0001,0.0035
9.899997,0.0811,0.0001,0.0035
9.909997,0.0801,0.0001,0.0035
9.919997,0.0801,0.0001,0.0036
9.929997,0.0782,0.0001,0.0036
9.939997,0.0772,0.0001,0.0036
9.949997,0.0767,0.0001,0.0036
9.959997,0.0768,0.0001,0.0036
9.969997,0.0769,0.0001,0.0036
9.979997,0.0773,0.0001,0.0037
9.989997,0.0782,0.0001,0.0037
9.999997,0.0801,0.0001,0.0038
10.009997,0.0801,0.0001,0.0038
10.019997,0.082,0.0001,0.0038
10.029997,0.084,0.0001,0.0038
10.039998,0.0878,0.0001,0.0038
10.049998,0.0878,0.0001,0.0038
10.059998,0.0917,0.0001,0.0039
10.069998,0.0917,0.0001,0.004
10.079998,0.0956,0.0001,0.004
10.089999,0.0956,0.0001,0.004
10.099999,0.0975,0.0001,0.0041
10.109999,0.0995,0.0001,0.0042
10.119999,0.0995,0.0001,0.0042
10.13,0.0999,0.0001,0.0043
10.14,0.1004,0.0001,0.0044
10.15,0.1014,0.0001,0.0044
10.16,0.1033,0.0001,0.0046
10.170001,0.1033,0.0001,0.0046
10.180001,0.1036,0.0001,0.0046
10.190001,0.1038,0.0001,0.0046
10.200001,0.1043,0.0001,0.0047
10.210001,0.1053,0.0001,0.0049
10.220002,0.1072,0.0001,0.0051
10.230002,0.1072,0.0001,0.0051
10.240002,0.1072,0.0001,0.0052
10.250002,0.1072,0.0001,0.0052
10.260003,0.1072,0.0001,0.0053
10.270003,0.1053,0.0001,0.0055
10.280003,0.1043,0.0001,0.0055
10.290003,0.1038,0.0001,0.0056
10.300004,0.1036,0.0001,0.0057
10.310004,0.1034,0.0001,0.0057
10.320004,0.1034,0.0001,0.0058
10.330004,0.1034,0.0001,0.0059
10.340004,0.1033,0.0001,0.0059
10.350005,0.1033,0.0001,0.0061
10.360005,0.1033,0.0001,0.0061
10.370005,0.1033,0.0001,0.0062
10.380005,0.1033,0.0001,0.0063
10.390006,0.1033,0.0001,0.0064
10.400006,0.1033,0.0001,0.0064
10.410006,0.0995,0.0001,0.0066
10.420006,0.0975,0.0001,0.0066
10.430007,0.0965,0.0001,0.0068
10.440007,0.0956,0.0001,0.0068
10.450007,0.0956,0.0001,0.007
10.460007,0.0878,0.0001,0.0072
10.470007,0.084,0.0001,0.0074
10.480008,0.082,0.0001,0.0074
10.490008,0.0811,0.0001,0.0075
10.500008,0.0801,0.0001,0.0076
10.510008,0.0801,0.0001,0.0078
10.520009,0.0762,0.0001,0.0078
10.530009,0.0754,0.0001,0.0082
10.540009,0.0755,0.0001,0.0083
10.550009,0.0757,0.0001,0.0083
10.560009,0.0762,0.0001,0.0084
10.57001,0.0762,0.0001,0.0084
10.58001,0.0762,0.0001,0.0085
10.59001,0.0762,0.0001,0.0087
10.60001,0.0762,0.0001,0.0089
10.610011,0.0743,0.0001,0.0091
10.620011,0.0733,0.0001,0.0093
10.630011,0.0728,0.0001,0.0093
10.640011,0.0726,0.0001,0.0095
10.650012,0.0725,0.0001,0.0097
10.660012,0.0724,0.0001,0.0099
10.670012,0.0724,0.0001,0.0101
10.680012,0.0724,0.0001,0.0101
10.690012,0.0724,0.0001,0.0102
10.700013,0.0724,0.0001,0.0102
10.710013,0.0724,0.0001,0.0103
10.720013,0.0724,0.0001,0.0104
10.730013,0.0726,0.0001,0.0106
10.740014,0.0728,0.0001,0.0108
10.750014,0.0733,0.0001,0.011
10.760014,0.0743,0.0001,0.011
10.770014,0.0762,0.0001,0.0112
10.780015,0.0754,0.0001,0.0114
10.790015,0.0755,0.0001,0.0114
10.800015,0.0757,0.0001,0.0116
10.810015,0.0762,0.0001,0.0118
10.820015,0.0762,0.0001,0.0118
10.830016,0.0762,0.0001,0.0119
10.840016,0.0765,0.0001,0.0119
10.850016,0.0767,0.0001,0.0119
10.860016,0.0772,0.0001,0.0121
10.870017,0.0782,0.0001,0.0123
10.880017,0.0801,0.0001,0.0123
10.890017,0.0801,0.0001,0.0125
10.900017,0.0762,0.0001,0.0127
10.910017,0.0743,0.0001,0.0127
10.920018,0.0733,0.0001,0.0129
10.930018,0.0728,0.0001,0.0129
10.940018,0.0726,0.0001,0.0131
10.950018,0.0724,0.0001,0.0131
10.960019,0.0724,0.0001,0.0132
10.970019,0.0715,0.0001,0.0133
10.980019,0.0717,0.0001,0.0133
10.990019,0.0718,0.0001,0.0135
11.00002,0.0724,0.0001,0.0137
11.01002,0.0762,0.0001,0.0138
11.02002,0.0801,0.0001,0.0138
11.03002,0.084,0.0001,0.0139
11.04002,0.084,0.0001,0.0139
11.050021,0.084,0.0001,0.014
11.060021,0.0842,0.0001,0.014
11.070021,0.0845,0.0001,0.0142
11.080021,0.0849,0.0001,0.0142
11.090022,0.0859,0.0001,0.0143
11.100022,0.0878,0.0001,0.0144
11.110022,0.0878,0.0001,0.0146
11.120022,0.0878,0.0001,0.0146
11.130023,0.0878,0.0001,0.0147
11.140023,0.0881,0.0001,0.0148
11.150023,0.0883,0.0001,0.0148
11.160023,0.0888,0.0001,0.015
11.170023,0.0898,0.0001,0.015
11.180024,0.0917,0.0001,0.0152
11.190024,0.0917,0.0001,0.0152
11.200024,0.0917,0.0001,0.0153
11.210024,0.0917,0.0001,0.0154
11.220025,0.092,0.0001,0.0156
11.230025,0.0922,0.0001,0.0156
11.240025,0.0927,0.0001,0.0157
11.250025,0.0936,0.0001,0.0157
11.260026,0.0956,0.0001,0.0159
11.270026,0.0956,0.0001,0.0159
11.280026,0.0975,0.0001,0.0161
11.290026,0.0995,0.0001,0.0161
11.300026,0.0995,0.0001,0.0162
11.310027,0.1004,0.0001,0.0163
11.320027,0.1014,0.0001,0.0163
11.330027,0.1033,0.0001,0.0165
11.340027,0.1033,0.0001,0.0167
11.350028,0.1033,0.0001,0.0167
11.360028,0.1033,0.0001,0.0168
11.370028,0.1033,0.0001,0.0169
11.380028,0.1033,0.0001,0.0169
11.390028,0.1033,0.0001,0.0171
11.400029,0.0995,0.0001,0.0171
11.410029,0.0995,0.0001,0.0173
11.420029,0.0994,0.0001,0.0173
11.430029,0.0994,0.0,0.0174
11.44003,0.0995,0.0,0.0174
11.45003,0.0995,0.0,0.0176
11.46003,0.1033,0.0,0.0176
11.47003,0.1014,0.0,0.0177
11.480031,0.1024,0.0,0.0178
11.490031,0.1033,0.0,0.018
11.500031,0.1033,0.0,0.0182
11.510031,0.1033,0.0,0.0182
11.520031,0.1033,0.0,0.0183
11.530032,0.1033,0.0,0.0184
11.540032,0.1033,0.0,0.0186
11.550032,0.1149,0.0001,0.0192
11.560032,0.1149,0.0001,0.0192
11.570033,0.1188,0.0001,0.0193
11.580033,0.1265,0.0003,0.0193
11.590033,0.1304,0.0004,0.0195
11.600033,0.1498,0.0006,0.0195
11.610034,0.1691,0.0008,0.0197
11.620034,0.1885,0.001,0.0197
11.630034,0.2194,0.0013,0.0199
11.640034,0.262,0.0017,0.0199
11.650034,0.3084,0.0023,0.02
11.660035,0.3587,0.0027,0.0201
11.670035,0.4245,0.0032,0.0203
11.680035,0.5174,0.0039,0.0203
11.690035,0.6335,0.0045,0.0204
11.700036,0.7883,0.0053,0.0205
11.710036,0.974,0.0071,0.0205
11.720036,1.2023,0.0077,0.0206
11.730036,1.4538,0.0088,0.0207
11.740036,1.7131,0.0101,0.0207
11.750037,1.9762,0.0113,0.0209
11.760037,2.2742,0.0122,0.0209
11.770037,2.7463,0.0132,0.0212
11.780037,3.0597,0.0141,0.0212
11.790038,3.3809,0.0146,0.0213
11.800038,3.6712,0.0156,0.0214
11.810038,3.9691,0.016,0.0216
11.820038,4.2516,0.0169,0.0218
11.830039,4.952,0.0177,0.022
11.840039,5.3506,0.0192,0.0222
11.850039,5.7646,0.0201,0.0222
11.860039,6.2251,0.0207,0.0222
11.870039,6.6044,0.0219,0.022
11.88004,6.9062,0.0222,0.0221
11.89004,7.0958,0.0227,0.0221
11.90004,7.3551,0.0236,0.0221
11.91004,7.6376,0.0236,0.0222
11.920041,7.893,0.0238,0.0224
11.930041,8.2141,0.0238,0.0226
11.940041,8.4966,0.0238,0.0228
11.950041,8.783,0.0248,0.0228
11.960042,8.9687,0.0267,0.0229
11.970042,9.1119,0.0266,0.0229
11.980042,9.2512,0.0267,0.0231
11.990042,9.3518,0.0268,0.0233
12.000042,9.5414,0.027,0.0232
12.010043,9.6537,0.0269,0.0232
12.020043,9.7543,0.0274,0.0233
12.030043,9.8162,0.0277,0.0233
12.040043,10.0445,0.0276,0.0235
12.050044,10.149,0.0278,0.0235
12.060044,10.0909,0.0279,0.0236
12.070044,10.0755,0.028,0.0237
12.080044,9.8936,0.028,0.0237
12.090044,9.8085,0.028,0.0243
12.100045,9.673,0.028,0.0241
12.110045,9.4254,0.0268,0.0239
12.120045,9.2744,0.0261,0.0239
12.130045,9.2009,0.0253,0.0239
12.140046,9.1583,0.0245,0.0239
12.150046,9.1313,0.0241,0.0239
12.160046,9.0887,0.0237,0.0239
12.170046,9.0152,0.0229,0.024
12.180047,8.9184,0.0227,0.0241
12.190047,8.8488,0.0223,0.0243
12.200047,8.7482,0.0223,0.0245
12.210047,8.5934,0.0223,0.0247
12.220047,8.5276,0.0222,0.0247
12.230048,8.485,0.0227,0.0248
12.240048,8.4579,0.0232,0.0248
12.250048,8.3805,0.0237,0.025
12.260048,8.3418,0.024,0.0252
12.270049,8.2645,0.0239,0.0252
12.280049,8.1948,0.0237,0.0254
12.290049,8.16,0.0235,0.0256
12.300049,8.16,0.0232,0.0256
12.31005,8.1522,0.0229,0.0258
12.32005,8.1368,0.0223,0.026
12.33005,8.0826,0.022,0.0262
12.34005,8.1135,0.021,0.0261
12.35005,8.0129,0.0199,0.0262
12.360051,7.8659,0.0191,0.0264
12.370051,7.8117,0.0179,0.0267
12.380051,7.7924,0.0153,0.0267
12.390051,7.7072,0.015,0.0267
12.400052,7.6298,0.0139,0.0267
12.410052,7.5563,0.0134,0.0264
12.420052,7.4596,0.0133,0.0237
12.430052,7.2661,0.0131,0.0233
12.440053,7.2158,0.0133,0.0222
12.450053,7.0765,0.0136,0.0221
12.460053,6.9836,0.0135,0.0221
12.470053,6.8985,0.0134,0.0221
12.480053,6.8404,0.0131,0.0224
12.490054,6.7785,0.0122,0.0228
12.500054,6.7746,0.0122,0.0235
12.510054,6.7901,0.0121,0.0237
12.520054,6.774,0.012,0.0279
12.530055,6.7686,0.0118,0.0271
12.540055,6.7794,0.0115,0.0271
12.550055,6.7901,0.0115,0.0271
12.560055,6.8752,0.0115,0.0271
12.570055,6.8327,0.0114,0.0271
12.580056,6.8656,0.0115,0.0273
12.590056,6.8985,0.0116,0.0275
12.600056,6.9488,0.0119,0.0277
12.610056,6.9797,0.0124,0.0281
12.620057,7.2351,0.0128,0.0281
12.630057,7.2158,0.014,0.0286
12.640057,7.2874,0.0137,0.0292
12.650057,7.359,0.0168,0.0288
12.660058,7.3667,0.0157,0.0289
12.670058,7.4054,0.0175,0.029
12.680058,7.5911,0.0175,0.0292
12.690058,7.5447,0.0177,0.0288
12.700058,7.5195,0.0178,0.0286
12.710059,7.5147,0.0179,0.0286
12.720059,7.5099,0.0177,0.0286
12.730059,7.5486,0.0176,0.0286
12.740059,7.4402,0.0172,0.0288
12.75006,7.4286,0.0171,0.029
12.76006,7.4247,0.017,0.03
12.77006,7.3435,0.0169,0.0298
12.78006,7.297,0.0164,0.03
12.790061,7.2724,0.0153,0.0302
12.800061,7.2605,0.015,0.0296
12.810061,7.2604,0.0147,0.029
12.820061,7.2768,0.0145,0.0289
12.830061,7.2932,0.0145,0.0289
12.840062,7.3783,0.0144,0.029
12.850062,7.3899,0.0144,0.029
12.860062,7.4286,0.0142,0.029
12.870062,7.3976,0.0138,0.0294
12.880063,7.386,0.0137,0.0294
12.890063,7.3164,0.0134,0.0298
12.900063,7.0997,0.0132,0.03
12.910063,7.0145,0.0132,0.0302
12.920063,6.9023,0.0132,0.0303
12.930064,6.7978,0.0132,0.0305
12.940064,6.6353,0.0131,0.0307
12.950064,6.4418,0.0129,0.0307
12.960064,6.2832,0.0125,0.0309
12.970065,6.2232,0.0122,0.0311
12.980065,6.2019,0.0121,0.0311
12.990065,6.2,0.0121,0.0312
13.000065,6.198,0.0121,0.0313
13.010066,6.2213,0.012,0.0313
13.020066,6.0858,0.0119,0.0313
13.030066,5.8575,0.0116,0.0313
13.040066,5.2306,0.0113,0.0314
13.050066,5.1661,0.0108,0.0315
13.060067,5.1388,0.0108,0.0317
13.070067,5.1451,0.0108,0.0319
13.080067,5.1513,0.0108,0.0319
13.090067,5.2345,0.011,0.0321
13.100068,5.4783,0.0111,0.0322
13.110068,5.6563,0.0111,0.0323
13.120068,5.5712,0.0109,0.0324
13.130068,5.6911,0.0108,0.0324
13.140069,5.8266,0.0101,0.0328
