Depth,qc,fs_corrected,u
0.01,0.2511,0.0183,0.0
0.02,0.3165,0.0228,0.0
0.03,0.3972,0.0249,0.0
0.04,0.8239,0.0289,0.0
0.05,1.0507,0.0311,0.0
0.06,1.4159,0.0365,0.0
0.07,1.662,0.0373,0.0
0.08,1.7658,0.0403,0.0
0.09,2.0002,0.0413,0.0
0.09999999,2.1271,0.0433,0.0
0.11,2.3155,0.0436,-0.0001
0.12,2.4616,0.0438,-0.0002
0.13,2.5769,0.0439,-0.0002
0.14,2.7422,0.0443,-0.0004
0.15,2.8268,0.0446,-0.0005
0.16,2.9267,0.0446,-0.0005
0.17,3.0651,0.045,-0.0006
0.18,3.1305,0.0452,-0.0006
0.19,3.0997,0.0452,-0.0009
0.2,3.142,0.0451,-0.0009
0.21,3.1843,0.0449,-0.001
0.22,3.2496,0.0447,-0.001
0.23,3.3342,0.0442,-0.0012
0.2400001,3.3995,0.0424,-0.0015
0.2500001,3.5226,0.0411,-0.0014
0.2600001,3.5418,0.0398,-0.0017
0.27,3.5533,0.0382,-0.002
0.28,3.5456,0.0374,-0.0021
0.29,3.5303,0.0354,-0.0022
0.3,3.5072,0.0324,-0.0021
0.31,3.4572,0.0308,-0.0021
0.32,3.4149,0.029,-0.0021
0.33,3.2958,0.027,-0.0021
0.34,3.2381,0.0254,-0.0017
0.35,3.1689,0.023,-0.0017
0.36,3.1151,0.022,-0.0015
0.3699999,3.042,0.0215,-0.0014
0.3799999,2.9959,0.02,-0.0015
0.3899999,2.9652,0.0198,-0.0016
0.3999999,2.9459,0.0198,-0.0016
0.4099999,2.9368,0.0198,-0.0015
0.4199999,2.939,0.0199,-0.0015
0.4299999,2.9412,0.02,-0.0015
0.4399999,2.9498,0.0202,-0.0016
0.4499999,2.9844,0.021,-0.0016
0.4599999,3.0689,0.0227,-0.0016
0.4699998,3.1689,0.0236,-0.0015
0.4799998,3.2765,0.0244,-0.0015
0.4899998,3.3265,0.0247,-0.0016
0.4999998,3.3573,0.0248,-0.0015
0.5099998,3.4072,0.025,-0.0015
0.5199998,3.4534,0.0249,-0.0015
0.5299998,3.6071,0.025,-0.0014
0.5399998,3.7225,0.0251,-0.0012
0.5499998,3.8493,0.0255,-0.0008
0.5599998,3.9954,0.026,-0.0008
0.5699998,4.1338,0.027,-0.0008
0.5799997,4.2953,0.0279,-0.0008
0.5899997,4.4529,0.0288,-0.0008
0.5999997,4.6489,0.0302,-0.0008
