Depth,qc,fs_corrected,u
3.759998,4.219,0.0205,0.0014
3.769998,4.9654,0.0208,0.0014
3.779998,5.1161,0.0208,0.0015
3.789998,5.1161,0.0212,0.0015
3.799998,5.2937,0.0217,0.0015
3.809998,5.2937,0.0221,0.0016
3.819998,5.3536,0.0223,0.0017
3.829998,5.4135,0.0225,0.0019
3.839998,5.4135,0.023,0.0019
3.849998,5.4173,0.0231,0.0017
3.859998,5.4058,0.0231,0.0017
3.869998,5.3942,0.0231,0.0017
3.879998,5.3942,0.0231,0.0017
3.889998,5.3903,0.023,0.0017
3.899998,5.3903,0.023,0.0017
3.909998,5.3246,0.0228,0.0017
3.919998,5.286,0.0225,0.0017
3.929998,5.2242,0.022,0.0017
3.939998,5.1586,0.0219,0.0017
3.949998,5.0736,0.0213,0.0017
3.959998,5.0118,0.0209,0.0019
3.969998,4.9732,0.0206,0.0021
3.979998,4.9229,0.0206,0.0021
3.989998,4.9075,0.0202,0.002
3.999998,4.9075,0.0195,0.0019
4.009998,4.8959,0.0191,0.002
4.019998,4.892,0.0189,0.002
4.029998,4.8882,0.0186,0.0023
4.039998,4.8805,0.0182,0.0022
4.049998,4.8727,0.018,0.0021
4.059998,4.871,0.0178,0.0021
4.069998,4.8704,0.0177,0.0022
4.079998,4.8716,0.0177,0.0023
4.089998,4.8727,0.0166,0.0021
4.099998,4.8727,0.0163,0.002
4.109998,4.8959,0.0164,0.002
4.119998,4.921,0.016,0.0021
4.129998,4.9461,0.0155,0.0021
4.139998,4.9925,0.0144,0.0023
4.149998,4.9963,0.0135,0.0021
4.159998,4.95,0.0124,0.0021
4.169998,4.8109,0.0112,0.0021
4.179998,4.6912,0.0112,0.0021
4.189998,4.4247,0.0087,0.0021
4.199998,4.4247,0.0076,0.0022
4.209998,3.7526,0.0076,0.0023
4.219998,3.4436,0.0052,0.0025
4.229998,3.0883,0.004,0.0025
4.239998,2.8333,0.004,0.0027
4.249998,2.6325,0.0032,0.0029
4.259998,2.4278,0.0019,0.0029
4.269998,2.2578,0.0019,0.0031
4.279998,2.0879,0.0019,0.0031
4.289998,1.945,0.0019,0.003
4.299998,1.945,0.0019,0.003
4.309998,1.8514,0.0019,0.003
4.319998,1.8056,0.0019,0.003
4.329998,1.7864,0.002,0.003
4.339998,1.856,0.0021,0.0031
4.349998,1.9256,0.0033,0.003
4.359998,1.9256,0.0033,0.0029
4.369998,2.308,0.0061,0.0029
4.379998,3.6522,0.0077,0.0028
4.389998,3.6522,0.0077,0.0028
4.399998,4.2547,0.0098,0.0028
4.409998,4.8534,0.0105,0.0029
4.419998,4.8534,0.0114,0.0029
4.429998,5.0736,0.0121,0.0035
4.439998,5.2319,0.0139,0.0037
4.449998,5.3633,0.0167,0.0043
4.459998,5.3787,0.0167,0.0043
4.469998,5.3691,0.0243,0.0045
4.479998,5.3857,0.0262,0.0045
4.489998,5.4024,0.0269,0.0039
4.499998,5.4453,0.0275,0.0035
4.509998,5.5467,0.0281,0.0032
4.519998,5.7572,0.0287,0.0032
4.529998,5.9388,0.0324,0.0031
4.539998,6.1242,0.0325,0.0032
4.549998,6.1976,0.0326,0.0033
4.559998,6.3096,0.0325,0.0035
4.569998,6.213,0.0325,0.0037
4.579998,6.213,0.0248,0.0037
4.589998,6.1358,0.0214,0.0049
4.599998,6.1364,0.0206,0.0057
4.609998,6.1371,0.0207,0.0057
4.619998,6.1396,0.0208,0.0071
4.629997,6.2014,0.0209,0.0065
4.639997,6.2941,0.0208,0.0067
4.649997,6.3868,0.0208,0.0085
4.659997,6.5838,0.0191,0.0066
4.669997,6.7615,0.0164,0.0064
4.679997,6.7499,0.0144,0.0065
4.689997,6.7576,0.0131,0.0066
