File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_114319_AGS01_result_layers_stats.csv,1,0.06,1.44,0.75,152.0,1.38,3.0365503101377778,0.0166197245349308,0.0002776918379443,101.28015206664338,123.29757642895709,264.6115120492774,98.79083149343424,86.04081023105601,64.10953972811367,139.5072083454863,2.0020986919833947
SCPT_114319_AGS01_result_layers_stats.csv,2,1.45,2.44,1.9449999999999998,152.0,0.99,5.163846256040388,0.029651798490417,0.0006689278924871,131.82883318780543,160.48727518515477,363.4284589609852,142.0455182144145,129.57663671581994,100.14493866026156,202.33183142253552,1.814911112720089
SCPT_114319_AGS01_result_layers_stats.csv,3,2.45,3.77,3.1100000000000003,176.0,1.3199999999999998,10.760856155208696,0.048411623374123,0.0014431419077145,158.30670629457282,192.7212076629581,504.15282194136256,180.23701213439415,163.43643072589796,132.22363758159713,244.37584246033984,1.5134929973817652
SCPT_114319_AGS01_result_layers_stats.csv,4,3.78,4.77,4.2749999999999995,200.0,0.9899999999999998,19.02732429757059,0.0378964377514946,0.0025999999999999,166.1523106018389,202.2723781239779,646.9940716329338,188.8073824426479,142.1981048422677,153.88480953121862,258.0003302657284,1.1935669513628586
SCPT_114319_AGS01_result_layers_stats.csv,5,4.78,6.46,5.62,237.0,1.6799999999999995,11.471898685315884,0.0174246830284008,,159.32241413087297,193.95772155062804,547.7074143169722,170.53139921459626,120.52705943349996,144.67406442488155,248.89659876484583,1.368008740167653
SCPT_114319_AGS01_result_layers_stats.csv,6,6.47,7.64,7.055,191.0,1.17,6.029848648830799,0.0255836981761539,,163.6250579064163,199.1957226686806,438.09965422702174,169.91332192093245,143.41296928847672,145.13897664789852,276.00100615703576,1.804515897517284
SCPT_114319_AGS01_result_layers_stats.csv,7,7.65,8.64,8.145,212.0,0.9900000000000002,10.133945101046471,0.0268229496778119,,177.44986730747232,216.02592541779245,542.0630074813915,183.6213368128977,141.80527644209909,163.44355184234064,289.1310480664107,1.544007086895423
SCPT_114319_AGS01_result_layers_stats.csv,8,8.65,9.64,9.145,216.0,0.9900000000000002,4.467284949485353,0.0262633726920663,,167.76146217196492,204.23134525282657,400.7703002772571,169.33933786041996,152.61452222223275,149.75422083622857,295.1279459640098,2.03902406188271
SCPT_114319_AGS01_result_layers_stats.csv,9,9.65,10.64,10.145,195.0,0.9900000000000002,5.673724615082844,0.0191431270043108,,171.9846453687247,209.37261175322996,443.78772620314027,167.9480596770182,133.29049376810403,155.40718075592778,291.29787295374007,1.862031896723187
SCPT_114319_AGS01_result_layers_stats.csv,10,10.65,12.33,11.49,199.0,1.6799999999999995,4.07643703940311,0.0371567967704642,,179.08077224847284,218.0113749111844,395.8707274044542,177.8537201311866,176.93069600224285,162.05834138070233,326.8455478032965,2.209149356417303
