File Name,File Key,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14526_Raw03_result.csv,14526,0.36,3.299,0.0174,245.5,3.299,0.0174,-0.0036,2,3,96.38410904,117.3371762,259.4198077,88.12319905,76.14134414,56.37448134,123.1435642,1.963336669,0.934955603,0.738245309,-0.055150681,1.024561123,1.170705543,1.47128035,0.689946084
SCPT_14526_Raw03_result.csv,14526,0.38,3.355,0.0174,245.5,3.355,0.0174,-0.0037,2,3,97.23138512,118.3686428,262.4942996,89.55555091,77.14658701,57.36711028,124.8551706,1.953458804,0.926203396,0.729493101,-0.066932419,1.008437834,1.157589608,1.4538258,0.676142517
SCPT_14526_Raw03_result.csv,14526,0.4,3.416,0.0163,245.5,3.416,0.0163,-0.0036,2,3,97.44774229,118.6320341,265.653868,90.18539643,76.25383715,58.02680303,125.4334461,1.929491171,0.923980689,0.727270395,-0.078897266,1.001429435,1.16922921,1.442391922,0.671521639
SCPT_14526_Raw03_result.csv,14526,0.42,3.544,0.0161,245.5,3.544,0.0161,-0.0035,2,3,98.34361793,119.7226653,270.719076,91.61295076,76.74180124,59.07106055,126.8222469,1.905451195,0.914829296,0.718119002,-0.097784716,0.985724302,1.162850391,1.424555812,0.660510472
SCPT_14526_Raw03_result.csv,14526,0.44,3.657,0.0152,245.5,3.657,0.0152,-0.004,2,3,98.7232364,120.1848095,275.2470075,92.42206084,75.99904277,59.82472062,127.397256,1.875796159,0.910976604,0.71426631,-0.114371956,0.976931243,1.172576202,1.411877983,0.655986743
SCPT_14526_Raw03_result.csv,14526,0.46,3.572,0.0152,245.5,3.572,0.0152,-0.0041,2,3,99.0101962,120.5341519,273.9873189,93.18861502,76.94209693,60.36382715,128.8156704,1.889594575,0.90807411,0.711363816,-0.109784877,0.968671389,1.160243796,1.40290691,0.644914477
SCPT_14526_Raw03_result.csv,14526,0.48,3.459,0.0162,245.5,3.459,0.0162,-0.0038,2,3,99.77332666,121.4631803,271.7871342,94.5704516,79.67651974,61.12255699,131.2619871,1.921129442,0.900396068,0.703685773,-0.101722218,0.953951871,1.125322013,1.390415968,0.62610172
SCPT_14526_Raw03_result.csv,14526,0.5,3.536,0.0156,245.5,3.536,0.0156,-0.0035,2,3,100.175826,121.9531795,275.1947973,95.37750191,79.35571119,61.82250392,131.9970894,1.900719074,0.896370045,0.699659751,-0.114182254,0.945454226,1.129356528,1.379029508,0.620517075
SCPT_14526_Raw03_result.csv,14526,0.52,3.697,0.0159,245.5,3.697,0.0159,-0.0036,2,3,101.3555178,123.389326,281.0048792,97.12960156,80.53966815,63.00181118,133.6879653,1.878456978,0.884662633,0.687952339,-0.135075086,0.927250762,1.114547112,1.360133472,0.60778848
SCPT_14526_Raw03_result.csv,14526,0.54,3.646,0.0156,245.5,3.646,0.0156,-0.0034,2,3,101.4917049,123.555119,280.5649118,97.65824952,80.82428977,63.4386934,134.6229236,1.882883652,0.883319878,0.686609583,-0.133508165,0.921822813,1.111019411,1.353222966,0.600819236
