File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14539_Raw02_result_layers_stats.csv,14539,3,2.66,4,3.33,391.89,4,1.34,14.39789025,0.283463732,0.000343754,224.1631865,272.894314,567.3114559,289.5451288,441.4595473,162.7646316,313.5891502,1.876326911,4,2,3,0.55860689,0.361896596,-0.36992727,0.302670018,-0.119105202,0.878676009,0.222897498
SCPT_14539_Raw02_result_layers_stats.csv,14539,4,4.02,5.68,4.85,391.89,4,1.66,7.117103636,0.116564366,,196.8372465,239.6279522,449.9421675,229.0396009,283.1215581,151.7405431,305.8149801,2.059615678,4,2,3,0.688603961,0.491893667,-0.13813787,0.53708627,0.325104849,0.948809079,0.248000909
SCPT_14539_Raw02_result_layers_stats.csv,14539,5,5.7,6.72,6.21,319.83,6,1.02,11.37232401,0.18093319,0.003873729,233.1799954,283.8712988,551.7284025,264.7119962,336.743491,180.5395074,346.2373849,1.948263302,6,2,3,0.315978937,0.119268642,-0.545266296,0.189147176,-0.051531882,0.571839973,-0.079335019
SCPT_14539_Raw02_result_layers_stats.csv,14539,6,6.74,8.68,7.71,424.35,8,1.94,4.457871822,0.061415914,0.333223961,192.3366938,234.1490185,397.5420165,196.6470715,211.68483,153.1066205,315.4767042,2.237919641,8,2,3,0.791311137,0.594600843,0.065257956,0.76914798,0.695460069,1.019424042,0.296473745
SCPT_14539_Raw02_result_layers_stats.csv,14539,7,8.7,11.04,9.87,315.78,10,2.34,3.282755596,0.042591704,0.33035995,187.3565089,228.0861847,362.8205527,177.3372716,180.8508547,152.2374448,319.5152224,2.392319779,10,2,3,0.522032502,0.325322208,-0.138862598,0.57699236,0.557373084,0.72960433,-0.011759149
SCPT_14539_Raw02_result_layers_stats.csv,14539,8,11.06,12.3,11.68,409.65,12,1.24,3.095583083,0.054626912,0.971712644,197.3379319,240.2374823,366.2662704,181.8650935,197.559453,161.5771789,344.4005548,2.512445163,12,2,3,0.730385487,0.533675193,0.111942553,0.812037969,0.72926357,0.93032022,0.173497753
SCPT_14539_Raw02_result_layers_stats.csv,14539,9,12.32,13.3,12.81,409.65,12,0.98,7.088700774,0.168263858,0.255243896,252.971921,307.9658168,495.9919028,242.7733666,314.6242727,205.080638,410.5960688,2.353591322,12,2,3,0.482024638,0.285314344,-0.191256465,0.523174776,0.263923995,0.691899879,-0.002306794
SCPT_14539_Raw02_result_layers_stats.csv,14539,10,13.32,14.3,13.81,428.49,14,0.98,4.355934099,0.123839236,0.144186117,231.3570063,281.6520077,416.030243,213.1767042,274.1287781,190.3269253,400.6872533,2.604222974,14,2,3,0.616305401,0.419595107,0.029509443,0.698145982,0.446669412,0.811524148,0.067086194
SCPT_14539_Raw02_result_layers_stats.csv,14539,11,14.32,15.3,14.81,428.49,14,0.98,5.682977711,0.085360638,1.473263291,236.4074211,287.8003387,471.1637174,212.7150905,231.39781,195.5070926,389.3468543,2.306246695,14,2,3,0.594710723,0.398000429,-0.094938228,0.700313734,0.61612905,0.784670742,0.095796798
SCPT_14539_Raw02_result_layers_stats.csv,14539,12,15.32,17.2,16.26,406.81,16,1.88,5.07816884,0.155609649,0.087007535,250.8185569,305.3443302,446.9063916,224.3879957,297.5086794,207.4920403,430.6234385,2.629746294,16,2,3,0.483616449,0.286906155,-0.094002912,0.594969569,0.312902847,0.673253267,-0.05688777
SCPT_14539_Raw02_result_layers_stats.csv,14539,13,17.22,18.8,18.01,423.88,18,1.58,8.174470508,0.213491718,0.253557525,284.7115873,346.6054106,541.8787693,254.2529824,336.6913483,234.7165574,462.1046207,2.428346335,18,2,3,0.397973703,0.201263409,-0.245591907,0.511120631,0.230283766,0.591071749,-0.086340921
SCPT_14539_Raw02_result_layers_stats.csv,14539,14,18.82,20.32,19.57,352.91,20,1.5,11.62235564,0.345648051,0.0053,321.8506199,391.8181459,623.1118366,289.7638431,417.0425924,263.0017916,503.7443865,2.375899451,20,2,3,0.092125542,-0.104584752,-0.568512949,0.19714681,-0.16697529,0.294052223,-0.355855903
SCPT_14539_Raw02_result_layers_stats.csv,14539,15,20.34,21.36,20.85,352.91,20,1.02,15.40220958,0.506933302,,357.2037974,434.8567969,698.43248,321.0860298,492.3413591,287.7661245,539.1553526,2.341969118,20,2,3,-0.012093413,-0.208803707,-0.682625443,0.094503974,-0.332959228,0.204064984,-0.423790686
SCPT_14539_Raw02_result_layers_stats.csv,14539,16,21.38,22.42,21.9,487.72,22,1.04,8.710167666,0.390100864,0.29171704,322.7026528,392.8554034,567.2627967,278.252855,430.9610556,262.9547411,525.4006282,2.663217878,22,2,3,0.413010151,0.216299857,-0.151081212,0.56121122,0.123723743,0.61775954,-0.074419602
SCPT_14539_Raw02_result_layers_stats.csv,14539,17,22.44,24,23.22,554.38,24,1.56,10.68678747,0.429151169,0.184987644,342.2953969,416.7074397,616.6083427,290.5802176,444.459392,277.4373134,540.6976756,2.578852649,24,2,3,0.482176274,0.28546598,-0.106383673,0.645970698,0.220991678,0.692255362,0.024990075
