file,median_dz,total_N,initial_best_shift_m,initial_best_corr,final_fs_applied_shift_m,post_corr_residual_shift_m,post_corr_final_corr,figure_path_post_ccf,figure_path_comparison,corrected_data_path,correction_type,figure_path_initial_ccf,Note
SDMT_183366_raw.csv,0.01,2489,0.05,0.729,-0.05,0.0,0.729,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_183366_raw_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_183366_raw_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SDMT_183366_raw_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SDMT_183366_raw_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SDMT_66983_raw.csv,0.01,2007,0.13,0.649,-0.13,0.0,0.652,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_66983_raw_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_66983_raw_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SDMT_66983_raw_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SDMT_66983_raw_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SDMT_66984_raw.csv,0.01,1950,0.13,0.679,-0.13,0.0,0.683,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_66984_raw_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_66984_raw_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SDMT_66984_raw_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SDMT_66984_raw_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SDMT_92524_raw.csv,0.01,2051,0.0,0.693,0.0,0.0,0.6932370972025332,N/A,N/A,ex_CPT_predrill_corrected\SDMT_92524_raw.csv,Negative_or_Zero_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_zero\SDMT_92524_raw_initial_corr.png,No correction attempted due to negative or zero initial shift.
SDMT_92525_raw.csv,0.01,2150,0.02,0.631,-0.02,0.0,0.632,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92525_raw_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92525_raw_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SDMT_92525_raw_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SDMT_92525_raw_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SDMT_92526_raw.csv,0.01,1615,0.0,0.625,0.0,0.0,0.6254411243814609,N/A,N/A,ex_CPT_predrill_corrected\SDMT_92526_raw.csv,Negative_or_Zero_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_zero\SDMT_92526_raw_initial_corr.png,No correction attempted due to negative or zero initial shift.
SDMT_92527_raw.csv,0.01,1952,0.05,0.454,-0.05,0.0,0.454,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92527_raw_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92527_raw_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SDMT_92527_raw_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SDMT_92527_raw_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SDMT_92534_raw.csv,0.01,2819,0.05,0.054,-0.05,0.0,0.054,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92534_raw_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92534_raw_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SDMT_92534_raw_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SDMT_92534_raw_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SDMT_92535_raw.csv,0.01,2805,-0.15,0.587,0.0,-0.1499999999999968,0.5871866034401797,N/A,N/A,ex_CPT_predrill_corrected\SDMT_92535_raw.csv,Negative_or_Zero_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_negative\SDMT_92535_raw_initial_corr.png,No correction attempted due to negative or zero initial shift.
SDMT_92536_raw.csv,0.01,1729,0.04,0.856,-0.04,0.0,0.856,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92536_raw_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92536_raw_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SDMT_92536_raw_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SDMT_92536_raw_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SDMT_92537_raw.csv,0.01,2993,0.0,0.561,0.0,0.0,0.5607979489630764,N/A,N/A,ex_CPT_predrill_corrected\SDMT_92537_raw.csv,Negative_or_Zero_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_zero\SDMT_92537_raw_initial_corr.png,No correction attempted due to negative or zero initial shift.
SDMT_92538_raw.csv,0.01,2751,0.06,0.538,-0.06,0.0,0.539,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92538_raw_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SDMT_92538_raw_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SDMT_92538_raw_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SDMT_92538_raw_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
