File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_114322_Raw01_result_layers_stats.csv,114322,2,1.93,2.92,2.425,244,2,0.99,11.98260346,0.061153235,0.004086231,158.1131955,192.4856293,512.5520319,183.6619638,174.835991,127.7866176,236.7658476,1.49217269,2,4,1,0.433857022,0.237146727,-0.742234006,0.284071311,0.333319885,0.646806402,0.030096557
SCPT_114322_Raw01_result_layers_stats.csv,114322,3,2.93,4.86,3.895,241,4,1.93,8.355563504,0.029136491,0.001563853,152.2272173,185.3200907,467.8844619,167.6105988,138.606065,130.0228927,241.5461449,1.569657846,4,4,1,0.459422678,0.262712384,-0.663424456,0.363153509,0.553161089,0.617086401,-0.002263598
SCPT_114322_Raw01_result_layers_stats.csv,114322,4,4.87,6.13,5.5,154,5,1.26,12.15027487,0.020959934,0.003006834,162.5024811,197.8291074,558.9690934,174.8244471,126.749723,147.3075901,253.7657877,1.366735565,5,4,1,-0.053740668,-0.250450962,-1.28914158,-0.126829709,0.194738145,0.044429752,-0.499459144
SCPT_114322_Raw01_result_layers_stats.csv,114322,5,6.14,7.13,6.635,158,7,0.99,4.606133925,0.018586637,0.00628132,151.7544528,184.7445513,392.9554948,158.6407635,132.7942266,133.6716405,260.1873294,1.88224172,7,4,1,0.040331261,-0.156379034,-0.911101328,-0.004047264,0.173794271,0.167208684,-0.498806836
SCPT_114322_Raw01_result_layers_stats.csv,114322,6,7.14,8.65,7.895,210,8,1.51,9.149563694,0.018606177,0.010498582,172.274076,209.724962,519.722065,177.1519518,134.915138,154.8523981,273.2684366,1.568946291,8,4,1,0.198020857,0.001310563,-0.906186648,0.170099682,0.442461557,0.304635138,-0.263347066
SCPT_114322_Raw01_result_layers_stats.csv,114322,7,8.66,9.65,9.155,187,9,0.99,4.647063873,0.030342283,,170.7078854,207.8182953,407.0872419,173.3032256,160.4017489,152.4693345,300.8902017,2.041744053,9,4,1,0.091154794,-0.105555501,-0.777918899,0.076065807,0.153427018,0.204145126,-0.475636803
SCPT_114322_Raw01_result_layers_stats.csv,114322,8,9.66,11.26,10.46,203,10,1.6,10.51094038,0.047462263,,200.5907057,244.1973808,563.5542849,204.7632126,179.3535512,184.6637073,331.8012859,1.679974401,10,4,1,0.011939437,-0.184770857,-1.021057685,-0.008648272,0.123846975,0.094669607,-0.491330274
SCPT_114322_Raw01_result_layers_stats.csv,114322,9,11.27,12.26,11.765,197,12,0.99,4.115999092,0.041740187,,183.7752722,223.7264183,398.2749612,181.0129075,184.1100273,164.9667709,333.8916914,2.255881448,12,4,1,0.069490064,-0.12722023,-0.703938895,0.084635388,0.067670175,0.177459664,-0.527612934
SCPT_114322_Raw01_result_layers_stats.csv,114322,10,12.27,13.99,13.13,223,13,1.72,5.796205122,0.035898739,,194.6512532,236.966743,459.0745719,186.1733062,169.074207,176.4299233,337.4494385,2.039920927,13,4,1,0.135962259,-0.060748035,-0.722040891,0.180493778,0.276834058,0.234248009,-0.414243916
SCPT_114322_Raw01_result_layers_stats.csv,114322,11,14,14.99,14.495,222,14,0.99,7.158853207,0.045937958,,208.320679,253.6077831,502.6592989,199.6643907,185.249202,190.8403684,357.8774463,1.978095409,14,4,1,0.063598763,-0.133111531,-0.817235221,0.106039471,0.180975425,0.151240071,-0.477513217
