File Name,File Key,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15
SCPT_14538_Raw02_result.csv,14538,2.36,7.955,0.1177,230.5,7.955,0.1177,-0.0211,2,1,170.488738,207.5515072,437.3389521,220.1308311,283.8265765,126.4893593,255.7244008,1.941119356,0.30158162,0.104871326,-0.640457666,0.046028806,-0.208112543,0.600092674
SCPT_14538_Raw02_result.csv,14538,2.38,7.908,0.1181,230.5,7.908,0.1181,-0.0193,2,1,170.731248,207.8467367,436.7218665,220.3850635,284.7069607,126.7139875,256.3727758,1.94687234,0.300160191,0.103449897,-0.639045669,0.044874557,-0.211209581,0.598318383
SCPT_14538_Raw02_result.csv,14538,2.4,7.621,0.1202,230.5,7.621,0.1202,-0.0183,2,1,170.5907923,207.6757471,430.9562082,220.941918,289.6152738,126.5197548,257.4350457,1.974255963,0.300983201,0.104272907,-0.625755617,0.04235101,-0.228302538,0.599852402
SCPT_14538_Raw02_result.csv,14538,2.42,7.104,0.1276,230.5,7.104,0.1276,-0.0169,2,1,170.5713172,207.6520383,419.8906937,223.177191,303.9554858,126.1596647,259.8524121,2.032694427,0.30109737,0.104387076,-0.599743562,0.032284828,-0.2766304,0.602702578
SCPT_14538_Raw02_result.csv,14538,2.44,6.72,0.1533,230.5,6.72,0.1533,-0.0126,2,1,173.7347359,211.5031568,411.4222577,231.5564481,342.0275513,127.3659587,266.5706888,2.122122661,0.282721233,0.086010938,-0.579369216,-0.004572818,-0.394640431,0.593186355
SCPT_14538_Raw02_result.csv,14538,2.46,6.766,0.1533,230.5,6.766,0.1533,-0.0126,2,1,174.0670196,211.9076761,412.8297135,232.2318839,342.5419834,127.7807958,267.1352961,2.117945012,0.280810467,0.084100173,-0.58278433,-0.007485509,-0.396143367,0.589934599
SCPT_14538_Raw02_result.csv,14538,2.48,6.787,0.1572,230.5,6.787,0.1572,-0.0138,2,1,174.9265545,212.9540663,413.6447612,234.0060537,348.1923136,128.3933592,268.5649155,2.124250579,0.275884665,0.079174371,-0.584756678,-0.015096123,-0.41250409,0.585152192
SCPT_14538_Raw02_result.csv,14538,2.5,6.654,0.1526,230.5,6.654,0.1526,-0.0149,2,1,174.037515,211.8717574,410.8494653,232.1999903,342.8371467,127.9982684,268.0349826,2.128312783,0.280979983,0.084269689,-0.577976021,-0.007348165,-0.397004681,0.588234127
SCPT_14538_Raw02_result.csv,14538,2.52,6.332,0.1449,230.5,6.332,0.1449,-0.0158,2,1,171.8856361,209.2520787,403.4482335,228.8512255,334.8346486,126.8229175,266.676278,2.142791995,0.293421513,0.096711219,-0.559797323,0.007178741,-0.373385961,0.597459099
SCPT_14538_Raw02_result.csv,14538,2.54,6.025,0.1345,230.5,6.025,0.1345,-0.0157,2,1,169.2862478,206.0876061,396.1676418,224.389798,322.5914766,125.4178528,264.5381212,2.15084532,0.308659806,0.111949512,-0.541586597,0.026866153,-0.336135882,0.608599878
