Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.6,1.21,0.6199999999999998,19.380287472587405,0.14975917054032056,0.002135489989393767,165.9318877679651,202.00403728273983,557.8938915873059,174.1149832667741,207.92843792677454,111.75197504388056,207.34386748097037,1.4633617719497156,1.4634203057606738
2,1.22,2.65,1.4399999999999997,5.35685936598654,0.030734896387659194,0.0002059767143907118,132.72198976446722,161.57459623500364,367.8876843380664,133.3404217419461,122.59482017493832,100.47124268860465,202.40811199665723,1.804061714606099,1.8043423774278269
3,2.66,3.3,0.6499999999999995,16.292912190435754,0.08833249515315135,0.0010637177984084872,174.1579250697561,212.0183435631816,588.5544242002392,199.49593979826216,201.1535758865866,146.03791412135004,262.592538175569,1.4111869979308473,1.4399717292960545
4,3.31,4.2,0.8999999999999999,24.130823716980732,0.09551100556136756,0.0008384487037929167,189.4056587173548,230.58080191678005,699.5964199253012,222.21038087219614,218.07921946423423,165.84561833704035,282.03950182813816,1.2649399081830788,1.289586430454693
5,4.21,4.74,0.54,33.633061376511144,0.09652446440254248,,193.01820980982134,234.97869020326064,808.4871831429299,234.2709409417475,212.98815300733327,183.077490787195,296.3467594073284,1.0913805082671246,1.1097803963562225
6,4.75,6.66,1.92,29.434911205109216,0.15461430587659872,,221.79379045241885,270.0098318551184,786.3967629218661,259.6457393919282,270.34488888143403,199.3912869536842,334.07308124259333,1.3042675399386954,1.32179510961475
7,6.67,9.1,2.4399999999999995,23.478985722318637,0.12277973425726527,0.013225010510122353,226.7481738267816,276.0412550934731,745.0029699297651,255.02557712753642,252.58814195119027,207.21387064032638,351.34882450416904,1.4098462259260311,1.4260304341648846
8,9.11,10.97,1.870000000000001,26.84840842118643,0.12229466423575291,0.012858111580799194,238.91574846783328,290.8539546564923,803.2822379503807,267.6843563255104,255.0143923794879,226.01846585567978,373.91778833334314,1.3628903868800335,1.37651240026176
9,10.98,11.85,0.879999999999999,17.666975399221414,0.07020165555565933,0.016837845612404673,224.1157147661627,272.83652232402426,693.4526825467432,236.22113477975486,206.1149627040057,210.6708311656837,358.36707434289053,1.4964741985213519,1.5117869265495605
10,11.86,12.6,0.75,14.109789712934598,0.06697843542039987,0.019060112319977052,224.49121223803334,273.2936496810837,640.7392852169144,229.19991098654546,205.14426982457468,207.10330063818992,361.859044276892,1.6371365354731977,1.65351452687526
11,12.61,15.17,2.5700000000000003,18.118518343468164,0.08305058379388928,0.02144610969371437,240.7092402515336,293.03733595838906,713.8038660805374,247.73953493421718,223.3086518205176,226.35573204878705,384.8849667005242,1.5589447143887587,1.5732710815170954
12,15.18,15.67,0.5,23.159020754423207,0.11369575687705451,,260.2938788801178,316.87950472362235,792.1283034144102,271.58291069872183,254.25597183623805,247.90518939329976,412.5927554228155,1.5056323007611556,1.5180590402566452
13,15.68,16.51,0.8400000000000016,16.11302193731658,0.0660151737521752,0.0007000000000000001,240.98851242176573,293.37731946997553,692.4979195218388,239.0610503020835,205.78919548995566,227.57687694855,387.5492517264266,1.6098040036962962,1.6237761498061216
14,16.52,18.07,1.5600000000000005,10.268320770979777,0.05941665535798825,0.02798706369380029,236.28484899412345,287.65112051458516,587.1719955701296,220.88384180677903,200.66241661120105,215.67960864911362,387.9801901032898,1.8962209110866333,1.9126306247335558
15,18.08,18.57,0.5000000000000018,6.058086446033968,0.05520880598533231,0.08866318519569165,225.8462376499262,274.9432458346921,483.62131056284227,201.08790468489406,197.42018229393807,201.92184558481242,388.4694266038895,2.2454729690367325,2.2646134984867867
16,18.58,20.94,2.3700000000000028,1.9006906463443545,0.01790132732516397,0.45928103518443836,182.01113828054082,221.5787770371804,321.58500851611853,144.26175932583723,133.8539950876031,158.90108763893448,339.0524969758713,2.809965232735871,2.8413456661570615
17,20.95,30.0,9.06,1.61689955071595,0.01845654039882691,0.9163320001125358,191.04453122139554,232.5759510521338,316.8337260422098,140.40075564146736,133.15004434797515,166.80766266557328,362.1310846297706,2.9959094700543667,3.032657178791031
