File Name,,Depth,qc,fs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,0.2,2.7041,0.0324,2.7041,0.0324,-0.0014,7,2,92.90839545,113.1058727,226.861966,80.38211072,85.18283405,48.98810876,114.89157,2.226354466,82.5,-0.118815719,-0.315526013,-1.01154346,0.026006645,-0.032001642,0.521220703,-0.33119052
SCPT_140250_Raw01_result.csv,140250,0.21,3.0654,0.0372,3.0654,0.0372,-0.0014,7,2,96.57842743,117.5737377,239.1480028,84.5753962,91.05082303,51.14509634,118.5364248,2.185598993,82.5,-0.157557104,-0.354267399,-1.064284326,-0.024845106,-0.098619552,0.478131674,-0.362422002
SCPT_140250_Raw01_result.csv,140250,0.22,3.3455,0.0431,3.3455,0.0431,-0.0014,7,2,99.93979048,121.6658319,248.4128867,88.72017997,98.12232761,53.11232714,122.3364152,2.171036594,82.5,-0.191769616,-0.38847991,-1.102293934,-0.072689078,-0.173416648,0.440389243,-0.393976458
SCPT_140250_Raw01_result.csv,140250,0.23,3.3455,0.0431,3.3455,0.0431,-0.0015,7,2,100.493472,122.3398789,249.507951,89.84902877,99.37199205,53.77273965,123.7200124,2.171072505,82.5,-0.197294476,-0.394004771,-1.106692489,-0.08533251,-0.18607201,0.428031653,-0.405222754
SCPT_140250_Raw01_result.csv,140250,0.24,3.6337,0.0542,3.6337,0.0542,-0.0011,7,2,104.895436,127.6987917,258.59973,95.50567114,111.5946965,56.12143341,128.9198198,2.182869148,82.5,-0.240165713,-0.436876007,-1.142483129,-0.146387336,-0.302075233,0.385280497,-0.446392366
SCPT_140250_Raw01_result.csv,140250,0.25,3.7839,0.0655,3.7839,0.0655,-0.0017,7,2,108.4069944,131.9737323,263.6927549,100.4191191,123.7501889,57.99846278,133.5447133,2.211486675,82.5,-0.273094318,-0.469804612,-1.161986325,-0.196554325,-0.405466634,0.352381787,-0.481638059
SCPT_140250_Raw01_result.csv,140250,0.26,3.8895,0.0693,3.8895,0.0693,-0.0018,7,2,110.0975047,134.0317449,267.5164841,102.9277993,128.504286,59.14335759,135.8965861,2.210853595,82.5,-0.288568087,-0.485278381,-1.176382894,-0.221229471,-0.443163965,0.332834007,-0.499095907
SCPT_140250_Raw01_result.csv,140250,0.27,3.8895,0.0737,3.8895,0.0737,-0.0019,7,2,111.4308171,135.6549078,268.5173724,105.2373754,134.1256606,60.07329516,138.3027371,2.22876696,82.5,-0.30060563,-0.497315925,-1.18011732,-0.243420223,-0.485978833,0.317232891,-0.516646736
SCPT_140250_Raw01_result.csv,140250,0.28,4.125,0.0833,4.125,0.0833,-0.0009,7,2,114.564264,139.4695388,275.611332,109.5224043,143.7483791,61.8247459,141.8824649,2.228722699,82.5,-0.32833763,-0.525047924,-1.206193362,-0.28333084,-0.55526611,0.28849459,-0.54220071
SCPT_140250_Raw01_result.csv,140250,0.29,4.3117,0.0872,4.3117,0.0872,-0.0021,7,2,116.4440814,141.7580122,281.2814822,112.1474008,148.1605161,63.0691131,144.0489149,2.215222645,82.5,-0.344612877,-0.541323171,-1.22655759,-0.307015792,-0.585497961,0.268567135,-0.557354635
SCPT_140250_Raw01_result.csv,140250,0.3,4.3117,0.0912,4.3117,0.0912,-0.0021,7,2,117.584013,143.1457549,282.2271202,114.2160833,153.2555739,63.90377183,146.1393465,2.22871551,82.5,-0.354354789,-0.551065083,-1.229913844,-0.325293828,-0.619308652,0.255419907,-0.571762301
SCPT_140250_Raw01_result.csv,140250,0.31,4.4416,0.0927,4.4416,0.0927,-0.0023,7,2,118.8049482,144.6321109,286.3728913,116.0370206,155.6215664,64.85294044,147.7020154,2.215416763,82.5,-0.364684764,-0.561395059,-1.244496484,-0.34111099,-0.63462891,0.240676041,-0.582398541
SCPT_140250_Raw01_result.csv,140250,0.32,4.6446,0.0991,4.6446,0.0991,-0.0023,7,2,121.0379645,147.3505654,292.221286,119.2006391,162.1260919,66.21618996,150.2407326,2.208213521,82.5,-0.383305959,-0.580016253,-1.264713051,-0.368009823,-0.675576084,0.219873299,-0.599440598
