File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_156296.csv,1,0.02,0.51,0.265,151.3,0.4999999999999998,0.2671175824461209,0.0008372286837260055,0.0003000000000000001,47.97299169277623,58.401902930336334,94.16225091642642,28.692896141744278,21.172000988434096,26.295354260678828,71.15603671680051,2.919313137417079,2.919313137417079
SCPT_156296.csv,2,0.52,2.0,1.26,151.3,1.4899999999999998,0.11016125809866406,0.00047874184729500795,,48.152447768642794,58.62037119660861,79.5318300989361,35.21077339777825,26.95138646547204,35.66923587364532,101.63961421045468,3.4077307719543977,3.4077307719543977
SCPT_156296.csv,3,2.01,2.58,2.295,151.3,0.5800000000000001,4.38682297401468,0.01283833057613374,,121.27644863768147,147.64089399369922,347.40162971756007,101.83994317132935,79.50719886359589,95.77859993559143,189.40963671841314,1.7359629086067203,1.7359629086067203
SCPT_156296.csv,4,2.59,3.08,2.835,151.3,0.5,9.796715592635481,0.040815318284883766,0.001397899151020282,150.27248291953063,182.9404139889939,482.26339480442437,142.41092243312642,125.23960740087693,125.56965771422598,233.69746889705078,1.5063392223343208,1.5063392223343208
SCPT_156296.csv,5,3.09,3.58,3.335,210.9,0.5,7.031447781356315,0.028071641161784407,0.004784903340974715,143.9558233386841,175.25056754274578,431.8010491414853,137.98598909907622,117.41255929082604,121.42438655022046,231.3891066293209,1.6226300481781433,1.6226300481781433
SCPT_156296.csv,6,3.59,5.12,4.355,173.5,1.54,11.579764859068801,0.05821388506416197,0.012982694436242484,168.91571733630047,205.6365254528874,536.2282578350154,179.69869374109663,169.91381251187133,149.10475452805022,272.8793616569399,1.503155493045582,1.5293175294931014
SCPT_156296.csv,7,5.13,5.62,5.375,245.6,0.5,2.0415092927902165,0.02879073815991714,0.02410652422082443,132.3838471360913,161.1629443395896,282.5420801260304,140.55507353926802,154.39467550551925,116.29752533975737,259.5986236659885,2.367222181266447,2.3742617204885827
SCPT_156296.csv,8,5.63,6.33,5.98,180.6,0.71,7.848580147338153,0.024318398495258946,0.0063559827258989525,156.8258562857009,190.91843373911436,477.1053672685929,162.06594403770794,129.517477487604,143.40103892464705,263.50785325792714,1.5698174193150494,1.6031643155594613
SCPT_156296.csv,9,6.34,8.6,7.47,247.7,2.2699999999999996,9.568162412566474,0.02707605224454629,0.03731061415132619,169.6879631854498,206.57665083446068,526.0785041764666,173.95601931710902,136.98947658582026,158.22571022157985,282.86445124876565,1.5241000064687868,1.5518943725426175
SCPT_156296.csv,10,8.61,9.27,8.94,207.4,0.6699999999999999,6.7188623546151,0.03176473069555854,0.05763478398808041,174.60677343676863,212.5647676621532,468.1977228916342,176.99410394909216,154.50205998937594,160.34426444045823,301.71526972709324,1.7870132481524916,1.815658727068138
