File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_124802_Raw01_result_layers_stats.csv,124802,10,11.83,12.82,12.325,255.8,12.5,0.99,4.137801265,0.298187198,0.558074256,241.9331336,294.5272931,406.9226723,250.1595262,438.5177392,196.8887367,436.2609718,2.782162881,12.5,6,4,0.055734509,-0.140975786,-0.464227284,0.02229707,-0.539004376,0.261757108,-0.533844734
SCPT_124802_Raw01_result_layers_stats.csv,124802,11,12.83,13.83,13.33,250.5,13.5,1,2.537728091,0.080604849,0.413851557,200.3380091,243.8897502,341.7755512,187.3399348,238.9654048,168.2518253,374.0548906,2.735230396,13.5,6,4,0.223452935,0.026742641,-0.310695318,0.290534121,0.047140129,0.397997103,-0.400943632
SCPT_124802_Raw01_result_layers_stats.csv,124802,12,13.84,17,15.42,289.4,15.5,3.16,10.47026232,0.033650366,0.0176,227.3912153,276.8240882,584.7071322,211.1436218,166.8964019,199.7588566,349.9511003,1.68839939,15.5,6,4,0.241137865,0.04442757,-0.703301279,0.31527124,0.550436542,0.370698892,-0.189983617
SCPT_156307_Raw01_result_layers_stats.csv,156307,1,0.01,1.01,0.51,250,1,1,8.526726112,0.054901339,0.000632939,121.6270175,148.0676735,375.2376454,122.970369,123.7030257,72.37044278,146.3258619,1.664791538,1,5,4,0.72050179,0.523791495,-0.406098628,0.709517494,0.703577179,1.239662951,0.535624852
SCPT_156307_Raw01_result_layers_stats.csv,156307,2,1.02,2.01,1.515,188,1.5,0.99,11.89010225,0.060053154,0.001262265,148.5772873,180.8766975,487.216205,181.9328169,172.6930145,111.4681088,209.0773357,1.487665196,1.5,5,4,0.235336687,0.038626393,-0.952266015,0.032804482,0.084926427,0.522703433,-0.106262248
SCPT_156307_Raw01_result_layers_stats.csv,156307,3,2.02,3.99,3.005,178,3,1.97,6.901816105,0.066057527,0.000243946,163.1263201,198.5885635,423.5647903,197.8300687,212.9536433,125.6793292,250.7244997,1.854766261,3,5,4,0.08725868,-0.109451614,-0.86692294,-0.105624873,-0.179290955,0.348049894,-0.342571175
SCPT_156307_Raw01_result_layers_stats.csv,156307,4,4,5.39,4.695,200,4.5,1.39,11.84757613,0.100711422,0.000282843,201.4931007,245.2959487,545.001103,233.8675675,248.8656898,159.9338555,298.8263245,1.698600652,4.5,5,4,-0.007437775,-0.204148069,-1.002470452,-0.156437638,-0.218595986,0.22355704,-0.401545184
SCPT_156307_Raw01_result_layers_stats.csv,156307,5,5.4,6.39,5.895,194,6,0.99,8.197227107,0.113311354,,207.4665379,252.5679592,484.3793946,232.6055159,272.7609568,163.2826351,320.7575046,1.978642655,6,5,4,-0.067111904,-0.263822199,-0.915010314,-0.181485795,-0.340737636,0.172375502,-0.502827241
SCPT_156307_Raw01_result_layers_stats.csv,156307,6,6.4,7.86,7.13,211,7,1.46,5.986143471,0.058771516,0.000565685,193.8129717,235.9462264,437.7094542,202.612979,205.3252744,155.7801948,308.2753322,2.026785722,7,5,4,0.084964503,-0.111745791,-0.72969721,0.040560482,0.027262707,0.303412128,-0.379135186
SCPT_156307_Raw01_result_layers_stats.csv,156307,7,7.87,8.86,8.365,218,8.5,0.99,10.43356695,0.099487097,0.000570614,228.1004042,277.6874486,549.8977931,238.5423115,249.6094335,184.3573082,345.2424817,1.860716021,8.5,5,4,-0.045290839,-0.242001133,-0.925237367,-0.090051639,-0.135402367,0.167619296,-0.459751953
SCPT_156307_Raw01_result_layers_stats.csv,156307,8,8.87,10.18,9.525,238,9.5,1.31,9.244845494,0.105834774,0.001254484,234.6181338,285.6220759,531.8541232,236.6253297,254.8693051,188.7901138,359.3138001,1.976653733,9.5,5,4,0.014311444,-0.18239885,-0.804098574,0.005792671,-0.068480211,0.231634785,-0.411925428
