File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
SDMT_92548_raw_result_layers_stats.csv,1,0.03,0.63,0.33,351.0,0.6,2.9483315594807222,0.0261511553669518,,95.41345351003385,116.15550862091072,241.2691100309141,86.39675213327506,85.55809144677634,52.79138708908302,120.26209589880877,2.1231382166819563
SDMT_92548_raw_result_layers_stats.csv,2,0.64,1.16,0.8999999999999999,351.0,0.5199999999999999,10.08504394861352,0.1080120336744345,0.0012181522972915,152.04261732226934,185.09536021841487,434.6782955495337,174.89425955017438,212.3718961096952,98.99512492336368,197.75686232436448,1.764458926608779
SDMT_92548_raw_result_layers_stats.csv,3,1.17,1.84,1.505,221.0,0.6700000000000002,7.481184624660296,0.0384637222874432,0.0013163779849757,135.9097234644905,165.45531552198835,408.3287169855134,159.873287455828,145.81347039074788,100.58682423356964,196.81194719130292,1.6515382455036187
SDMT_92548_raw_result_layers_stats.csv,4,1.85,2.34,2.0949999999999998,227.0,0.4899999999999997,13.908336131249326,0.0494131169342746,0.0028643577446932,154.5245264451727,188.11681480281885,535.0273245076444,187.5790953164852,160.57891018993794,123.32180019344892,222.44223626769224,1.3550479161690123
SDMT_92548_raw_result_layers_stats.csv,5,2.35,2.84,2.5949999999999998,308.0,0.4899999999999997,8.319356263281707,0.0222925790830799,0.0005388046970806,142.7230470517808,173.7497964108638,449.11009492356783,165.07766061034235,127.849146175384,113.80229736109708,210.9772569969008,1.4877390213389654
SDMT_92548_raw_result_layers_stats.csv,6,2.85,3.59,3.2199999999999998,281.0,0.7399999999999998,10.926508246618654,0.0297836673944779,0.0014363655414488,157.20024139826498,191.37420691962683,509.1288277559293,181.56420979536455,141.9559621666743,128.70910806958912,231.7927619630801,1.415541969880549
SDMT_92548_raw_result_layers_stats.csv,7,3.6,4.09,3.8449999999999998,271.0,0.4899999999999997,9.402143370962282,0.0338472554746618,0.0007824391649241,164.3076148699419,200.0266615807987,489.3194795396794,187.11205917769544,155.1364126453974,133.79164122398154,246.32073621251837,1.5405434841983192
SDMT_92548_raw_result_layers_stats.csv,8,4.1,4.6,4.35,268.0,0.5,3.5349019839897884,0.0905713096006439,0.0182078761069789,165.3859283836457,201.33939107574247,340.9357724928532,202.38465648620783,273.67770927846027,130.51042670563947,286.7486248141755,2.352280933482547
SDMT_92548_raw_result_layers_stats.csv,9,4.61,5.28,4.945,248.0,0.6699999999999999,2.586417928935824,0.0183004010355534,0.0218302088408717,139.36886105263355,169.66643954233655,306.5385704629087,151.42628473343845,137.38410118128482,113.21752464690256,240.0330265107896,2.162969676269446
SDMT_92548_raw_result_layers_stats.csv,10,5.29,5.78,5.535,282.0,0.4900000000000002,5.913143884977814,0.0269233850695751,0.0219969737338564,166.2555985314264,202.3981199513018,424.9463054675117,179.0802503043846,156.09854137161037,135.89581469451244,261.31206387599826,1.8142189385171084
SDMT_92548_raw_result_layers_stats.csv,11,5.79,7.17,6.48,277.0,1.38,9.258929928973648,0.0176260219031783,0.00192021761607,179.80096855590452,218.88813563327517,511.5001288852516,193.19226213142608,159.06015443919992,145.678617540999,257.3559925743929,1.6036388125603815
SDMT_92548_raw_result_layers_stats.csv,12,7.18,13.85,10.515,201.0,6.67,1.6584772125204632,0.0086803177064927,,144.9554322132391,176.46748269437794,278.23750336993123,134.72356345855283,118.63827922393736,123.42531214215968,263.3971359888121,2.506464110993329
SDMT_92548_raw_result_layers_stats.csv,13,13.86,14.5,14.18,296.0,0.6400000000000006,6.323759997123378,0.0192087836371025,,193.3814739692211,235.42092483209527,478.326977237114,179.65818330686025,142.1790138095731,173.318207560804,317.4727273586644,1.858907279233784
SDMT_92548_raw_result_layers_stats.csv,14,14.51,15.0,14.754999999999999,320.0,0.4900000000000002,3.7628465556800696,0.0159468701959504,,179.59154401259573,218.6331840153342,393.6022834385254,159.84591987211755,129.50905997787504,160.13032678592103,311.8191280740032,2.136206237025836
