Start Depth,End Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0,2,82.5,2.2514022152877358,0.03661350432250414,121.24146572462705,147.59830609954588,262.43234819021967,137.3181672550331,163.8624438157882,88.30052359850956,202.24663184478115,2.39989946399375
2,3,82.5,1.3110213626218896,0.03224749348245768,112.95042689889902,137.5048675290946,220.7297024673958,138.1470772832616,170.7303250018894,88.82320566610761,215.89818210561458,2.680278973158934
3,4,139.1,2.7605807817992436,0.02332325364405596,131.44558296237628,160.02070969332783,302.9254802398083,154.24420886986803,151.76559923325883,105.8065020209054,226.85627548153346,2.192888651513617
4,5,202.3,2.5291862077693246,0.020018148455923614,132.9250128482392,161.8217547717697,301.0784501520314,149.96370707797018,141.75471041942706,110.6812913551911,236.94094950610418,2.2220398740087006
5,6,392.8,1.7098578328250629,0.0163451475766075,126.92023969853805,154.51159615474205,264.22864829073706,139.91964789235678,135.14608266929295,108.79761014494723,242.14976577107282,2.4375259595917584
6,7,367.5,1.2890973382821032,0.012540295255943386,124.9876002650505,152.15881771397454,247.89671772282026,132.8067457225342,125.7567785574214,107.06217550175812,243.5733089646249,2.5664499879204974
7,8,318.0,2.256512727118467,0.033306066099791226,153.29545141267494,186.62054954586503,314.5571963089664,163.7371049190831,174.96142985270095,130.9722094754204,287.9644352024204,2.4423301271984426
8,9,277.3,2.234295034662661,0.03138498073268148,156.30690028154964,190.28666121232132,314.8730109616109,162.71596652286723,172.6309652063752,134.75957059440083,294.9389118527125,2.484749437088468
9,10,235.2,1.8000813042900081,0.0198000551182646,149.08426787760808,181.49389132926206,296.24402491760037,147.99920434628456,142.746374989725,129.68536268414755,285.27975817652157,2.521366719785941
10,11,265.7,1.2991557865192433,0.00966139948823679,138.29619959793158,168.3605908148731,265.58115990446936,130.2342315342804,114.70071596920172,119.87559726874483,265.90286856874087,2.6220212452837415
11,12,249.3,1.97507491979,0.08574511173450339,177.49007937203507,216.07487923552085,307.92413405173164,186.9760123894374,269.397323818887,156.5386706360221,362.5253653159503,2.9085397873971486
12,13,282.6,3.067319741056175,0.16191124235260054,206.10341264132992,250.90850234596672,360.28350796890203,219.459360688205,355.5017743877972,179.94573774762307,403.4713690343386,2.8619588337122184
13,14,296.9,3.716002024656253,0.18019902908251237,218.88935587472514,266.473998456187,388.1406016986601,227.5961525992026,363.87884353458344,190.67626800133655,417.76757527484375,2.804523014524388
14,15,309.0,5.029876121365847,0.23117137499231763,240.88118862234435,293.24666440981093,438.91115124766384,247.08952905342096,399.7348932999093,207.4165064375453,440.3815550025943,2.705088032098617
15,16,390.6,5.409488442036024,0.3130873304798837,255.99749290364036,311.64912179573565,454.31261584767793,262.95418338342176,461.8661786768069,218.97011874548537,466.1449922983348,2.7764826208256164
16,17,325.2,5.227095646836675,0.20824103362054044,248.04598743916713,301.96902818681264,451.2832468058529,242.2230930332528,369.8351302575101,214.33533982775393,449.01599387647826,2.698479640598895
17,18,455.8,8.239409902256677,0.5475870967838262,302.3376400163514,368.06321393294905,540.3361057727685,307.0759900319916,593.9137798507128,252.06475109017285,518.5355926605978,2.729522538626786
