Start Depth,End Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0,3,198.5,0.1751030045255541,0.00044010396305642927,58.78958606090319,71.56993085675172,101.13753592572436,59.801076110788124,43.64463059078714,45.0985365796253,118.27525691015175,3.181978006307031
3,4,198.5,0.47221940428480236,0.0010050007461634416,79.59667518666592,96.90030022724542,155.10486816768895,84.98950294026262,61.78786789404433,63.82317850115863,150.10802502116675,2.7001775221722806
4,5,163.8,8.048880563715498,0.030148769873513396,159.1056557244654,193.6938417515232,468.24066985975986,175.47528358367086,145.82377781234365,135.27952932892586,252.0463711015523,1.640259536244113
5,6,140.7,8.912916145296016,0.03345376963950429,168.99991942336968,205.7390323414936,496.6571200669418,183.02078109737508,152.44698855390368,146.45143636291317,269.0466593999176,1.6313761492596293
6,7,197.1,2.6812408467198683,0.03838227783227062,151.29713911897744,184.18782153614632,319.18402006170885,168.12231336059432,185.46663300982198,130.5445027007124,283.23065370663517,2.375984107087447
7,8,214.6,8.635148315735188,0.08481666033013331,196.31129312832869,238.98766119970458,505.72462766564576,218.15035754780573,237.09434600411993,171.7123230876941,328.417528508317,1.8697252596706695
8,9,161.0,8.986866308425794,0.03430265889115419,184.42710295420426,224.5199514225094,520.1588277260562,191.4362974025278,159.0362308256697,165.88505732806186,301.4559807129291,1.6861311929572877
9,10,167.1,4.987793521879097,0.06586765713044361,191.2829974759363,232.8662577967923,420.1281568262815,198.76482554289686,220.94315212757,165.94118897202844,336.05245685866254,2.229925194712829
10,11,164.1,5.111701961029659,0.06226628012839701,195.1630455943954,237.58979463665517,428.13772604533614,197.98666431933626,213.95646847133753,170.4361326961444,342.2338704017495,2.2259816434373154
11,12,217.7,2.7009299708753227,0.035477507721930646,172.35051159937495,209.81801412097863,340.8236693485401,167.70275840800178,176.89659408220217,152.18969796931793,323.98206130747735,2.5101352323060477
12,13,293.7,7.114310817416745,0.04221073886565564,202.17142930239436,246.12174002030582,495.0989581833536,197.01280860417273,179.49456190494345,181.67513983839552,340.8909418520401,1.9542112572517232
13,14,260.9,12.864867531856747,0.04331762361666508,216.5804322984924,263.6631349720777,624.8664117576052,215.81232396113992,175.63481104572784,202.57030596460274,350.30339784340725,1.615623594908511
14,15,288.8,10.815517293751071,0.07617280098639322,230.25909143996108,280.31541566603966,589.3073500091542,229.26063249747065,224.11070731106224,211.205266450188,383.3646902074311,1.8433916220933597
15,16,182.8,6.795341768376851,0.1003882301911776,232.63107949706563,283.2030533007749,497.5779176762321,223.7384509529767,258.065554775764,205.89614981735593,402.7506781757456,2.254880557275125
16,17,185.8,5.443989058063973,0.0490121251077044,213.5509812163307,259.975107567707,461.0395209449816,194.78440296295176,189.89757984371852,191.20117289124425,372.1502456664986,2.235021788555097
17,18,175.0,8.440797431421178,0.07358956871965076,238.02422406562212,289.768620601627,546.0103453130223,220.55339857651325,219.97122533514406,214.12946517561855,399.52446194120444,2.0751477849800635
18,19,195.5,10.162022372366437,0.07865409728817713,248.11561240030716,302.0537890090695,589.2793616629053,229.62738270770495,224.27401643854486,224.59197453819834,409.26682796207865,1.9892858775941713
19,20,242.8,6.669605608280267,0.05023057095510935,227.41942601106075,276.8584316656395,506.6065408091568,205.03015307029597,196.63355962177104,206.65885627191665,390.0519772468923,2.1434486850601617
20,21,261.3,11.257379534820712,0.02058857788398008,223.54177877807135,272.13781764286887,618.9836225544506,203.633916720939,146.33254359393888,209.83693191821237,353.1407550429206,1.6740080418909962
21,22,209.5,14.178254089457944,0.034304968952514996,239.08059877490962,291.0546419868468,679.3270790293931,222.51272131467977,168.42196041612013,229.33220971412683,382.6041206958696,1.619806011643934
22,23,259.0,18.220039024761892,0.03808301881163493,248.83469172211983,302.9291899225801,750.686754544963,238.46909545359966,180.69510411329108,242.88885722923456,393.0534454328364,1.5095674453859753
23,24,208.1,19.54136616264078,0.19369589245658395,312.6545372287969,380.62291488723116,774.0073677253673,293.2024956672335,325.55224378185295,284.22900023628335,491.2323620278322,1.87094736761304
24,25,267.7,5.181777561473768,0.05637384542446252,242.06012184558438,294.68188746418923,472.1443468419571,197.4127995301645,201.73520618093374,214.38646143464024,418.7125295985041,2.472640920577607
25,26,298.6,1.9109289991325644,0.012486379353969857,194.37063434817762,236.6251200760424,332.130052607306,140.10390404437047,124.21896689093643,165.69447409940398,345.14675053039343,2.893803961380208
26,27,255.9,2.2683202541129845,0.009567161039295616,197.0498961101893,239.8868300471866,356.6268060984858,139.66637213322596,111.14579868324746,167.9100353063358,337.0914363593691,2.707389890433431
27,28,431.4,2.412030432727696,0.011958318906303535,203.75061158033026,248.0442227934456,367.13512191433085,144.9245355294285,119.54766518699101,174.35461430896265,350.438361603973,2.7151489328333467
28,29,284.9,5.7924885416163905,0.1104000513630802,271.1634919904696,330.1120772057895,504.9304051110261,219.08758027622324,255.69107923248802,240.24610291328335,475.16210380287845,2.58589250679195
