Start Depth,End Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0,1,136.3,1.9253781339238942,0.05969509057863923,101.91463567838323,124.06999126064062,214.7271668730306,87.52728738701103,121.7821938156851,60.47412421188988,150.04938515705905,2.576230933333005
1,2,136.3,1.10167928724698,0.030034270760040525,101.77788437443141,123.90351141235129,195.98099670868876,100.12881338088185,126.53928597928667,74.42791706536104,187.07881003927312,2.770402905347904
2,3,133.1,0.6647782459029681,0.012564504458815882,93.21188358521233,113.4753365385192,173.40721661333632,91.61470760697156,98.65685484009983,74.48691638968683,190.04257386263143,2.854500352012019
3,4,113.8,0.9618934978953155,0.02141859625160059,109.23104530317298,132.97692471690615,207.889564755375,112.11280229191289,129.40573589978166,90.2625777417864,222.6141556189785,2.7430875009470905
4,5,149.5,2.5488864242390283,0.03876494236596875,139.30167803527763,169.58465152120746,304.80058752148386,147.3929148764128,167.28945832789316,117.05277552876976,258.2123682471408,2.3068263869905956
5,6,178.6,3.1921452200517617,0.05186826996869859,151.5846979000735,184.5378930957417,335.610502850839,167.68049186362938,200.38520348134463,131.00461275538848,282.67476511460865,2.2582050644473957
6,7,175.9,1.367645532518485,0.020604898214892312,125.4292428556178,152.69646956336058,248.93974334374067,136.06320231336576,147.17495886391626,112.52139764062335,259.9297197928817,2.564159503880161
7,8,163.7,2.5637641017594364,0.058596120840157945,155.90246856504206,189.79430955744243,318.81016084337654,178.61932396385671,232.85845350569778,139.80613586149136,310.20159772779135,2.4503143658580053
8,9,180.6,8.818969566515037,0.0224550410500071,171.31308569552402,208.555060846725,516.4849936702204,173.03959661763116,132.08660046246086,159.71830328240335,285.2603982122041,1.567675941705012
9,10,214.5,8.671150131795482,0.02054886990573019,174.2419264920829,212.1206061642751,519.0927291081784,173.7710366456744,130.52730467948138,163.13608253856938,290.0142677324967,1.5838037788340547
10,11,231.5,5.754192913377086,0.07219008756650827,192.95073016421733,234.89654106948188,450.09710078610135,206.2022371048729,240.64713091644765,175.50788700235097,349.1826791420089,2.0771282819586876
11,12,235.3,4.522418312342923,0.10719817189966645,201.1533193484862,244.88230181554852,414.28116910145746,213.9298011210229,287.14999100805454,179.67190258167182,375.4982911600214,2.383307702659761
12,13,287.9,4.5332696677810596,0.15243428573931778,215.53016854022582,262.3845530054927,421.1403897030204,229.2704594391657,341.0867858055223,189.40759702799397,401.4790479485421,2.518304039958968
13,14,279.9,3.7463025412106474,0.12528674766420117,209.15466809495447,254.62307420255337,396.57537168447607,215.7967225563301,308.7415108030255,185.2265299204294,398.5113344911045,2.603811684075293
14,15,267.6,3.0783542958378396,0.12037948001312926,205.08979219238984,249.6745296255179,369.15341749004966,208.15160492158262,304.7868426290438,183.06961658057966,403.0988389447327,2.759368528599441
15,16,261.7,3.2331698730466214,0.1157652402064375,210.5052819503824,256.2672997656827,381.75082473267247,207.96663314705197,293.67836603906454,187.21197357019028,408.0332618450537,2.7290426812567112
16,17,278.8,4.604409394125481,0.15335645873734163,233.15015086270975,283.834966267647,439.0810539293494,228.6955884430678,326.59581337535224,205.17932357930073,431.1037686788593,2.600906720669243
17,18,311.0,5.755130239917861,0.21730333496262652,253.8401757161838,309.0228226110073,477.57740909640626,249.532352400167,380.36146961355126,221.6950085300144,458.6116291923337,2.591928440757704
18,19,339.6,5.85400928660314,0.2089560220381212,258.06616013701614,314.1674992972378,487.0140882402056,248.0926778292719,366.7644546128678,224.9686834189209,462.80432398876366,2.5779714483281553
19,20,319.8,3.7242451580979017,0.1383493955868981,233.75987093399368,284.5772341805144,412.68721447789505,215.48960678328055,303.76417263912083,206.6968549969512,443.0482397816634,2.7872314509230933
