Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.011064924042728989,116249,0.014620801930366013
1.0,0.023903502995054064,116121,0.027295252000425103
1.5,0.030103015849933988,113597,0.03828245265764646
2.0,0.04416885314463062,111120,0.04780701408751234
2.5,0.05369351115683994,108566,0.056063645895876056
3.0,0.060692171933774665,106105,0.06322113753692092
3.5,0.06867666945196778,103609,0.0694258088581894
4.0,0.06952800939816486,101109,0.07480450130181078
4.5,0.07767125907254818,98513,0.07946717091073949
5.0,0.08133454989942236,96093,0.08350913614855657
5.5,0.08296404962817687,93593,0.08701302648477871
6.0,0.08927500572700425,91093,0.0900504715803979
6.5,0.08960259255444054,88597,0.09268356560549476
7.0,0.09770920159549606,86097,0.09496613662381549
7.5,0.10231231415540794,83597,0.09694484699420798
8.0,0.10376754735478072,81097,0.09866014728430773
8.5,0.10861763400066733,78409,0.10014710319723029
9.0,0.11232845483806457,76069,0.10143611241604569
9.5,0.11995847584245545,73569,0.10255352602041103
10.0,0.12269538774370342,71069,0.10352218717891552
10.5,0.12550297245713551,68569,0.10436189812956947
11.0,0.1276799956277084,66069,0.1050898249948696
