Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.00644383717419048,82148,0.007552705324241233
1.0,0.011996276006949136,81349,0.01125007095926746
1.5,0.01398453178819625,78849,0.013060086318293302
2.0,0.013727409044329092,76349,0.013946164657117429
2.5,0.014135673452188484,73837,0.014379937121322309
3.0,0.01423453642007064,71337,0.01459228691304848
3.5,0.015594037500921757,68837,0.01469624103131831
4.0,0.015799363162968438,66337,0.014747130926794128
4.5,0.016140629768178535,63837,0.014772043662380205
5.0,0.015711070720511883,61337,0.014784239490030836
5.5,0.014523342900661323,58837,0.014790209858542557
6.0,0.013269655868802325,56337,0.014793132604024605
6.5,0.011466457047014942,53837,0.014794563410370323
7.0,0.011714545175630742,51337,0.014795263850012268
7.5,0.013699658415998128,48825,0.014795606744558047
8.0,0.015260785082308884,46325,0.014795774605801873
