Lag (m),Fitted_Semivariance
0.0,0.0
0.02,0.007274511991789778
0.04,0.0074649582606738886
0.06,0.007655404529558
0.08,0.007845850798442112
0.1,0.008036297067326222
0.12,0.008226743336210334
0.14,0.008417189605094445
0.16,0.008607635873978557
0.18,0.008798082142862668
0.2,0.00898852841174678
0.22,0.009178974680630891
0.24,0.009369420949515001
0.26,0.009559867218399114
0.28,0.009750313487283224
0.3,0.009940759756167336
0.32,0.010131206025051447
0.34,0.010321652293935559
0.36,0.01051209856281967
0.38,0.010702544831703782
0.4,0.010892991100587893
0.42,0.011083437369472003
0.44,0.011273883638356115
0.46,0.011464329907240226
0.48,0.011654776176124338
0.5,0.01184522244500845
0.52,0.01203566871389256
0.54,0.012226114982776672
0.56,0.012416561251660784
0.58,0.012607007520544894
0.6,0.012797453789429005
0.62,0.012987900058313117
0.64,0.013178346327197228
0.66,0.01336879259608134
0.68,0.013559238864965451
0.7000000000000001,0.013749685133849563
0.72,0.013940131402733674
0.74,0.014130577671617784
0.76,0.014321023940501897
0.78,0.014511470209386007
0.8,0.01470191647827012
0.8200000000000001,0.01489236274715423
0.84,0.015082809016038342
0.86,0.015273255284922453
0.88,0.015463701553806565
0.9,0.015654147822690676
0.92,0.015844594091574786
0.9400000000000001,0.0160350403604589
0.96,0.01622548662934301
0.98,0.01641593289822712
1.0,0.016606379167111232
1.02,0.016682928555483343
1.04,0.01675947794385545
1.06,0.01683602733222756
1.08,0.016912576720599672
1.1,0.01698912610897178
1.12,0.01706567549734389
1.1400000000000001,0.017142224885716
1.16,0.01721877427408811
1.18,0.01729532366246022
1.2,0.017371873050832327
1.22,0.01744842243920444
1.24,0.01752497182757655
1.26,0.017601521215948657
1.28,0.017678070604320768
1.3,0.01775461999269288
1.32,0.017831169381064986
1.34,0.017907718769437097
1.36,0.017984268157809208
1.3800000000000001,0.018060817546181315
1.4000000000000001,0.018137366934553426
1.42,0.018213916322925534
1.44,0.018290465711297645
1.46,0.018367015099669756
1.48,0.018443564488041863
1.5,0.018520113876413974
1.52,0.018550882706354715
1.54,0.018581651536295457
1.56,0.0186124203662362
1.58,0.018643189196176944
1.6,0.018673958026117685
1.62,0.018704726856058427
1.6400000000000001,0.01873549568599917
