File Key_1,nugget,sill,effective_range,smoothness,nugget_normalized,sill_normalized,maxlag,bin_interval_used,WLS_option,Check
66983,0,0.1613510945310133,4.668139964064924,,0.0,0.8987586198894565,9,0.5,exp,
66984,0,0.2210095778053851,3.0448363338030138,,0.0,0.7474911252334722,9,0.5,exp,
92524,0,0.08730226302934638,6.359056209281391,,0.0,0.8688864970961753,9,0.5,exp,
92525,0,0.03628174750075143,1.4848738776467405,,0.0,0.8798143949312117,10,0.5,exp,
92526,0,0.08208267007275297,6.499999999999999,,0.0,0.5418782079302823,7,0.5,exp,
92527,0,0.11814874443069902,2.49393572349167,,0.0,0.8708964905862918,9,0.5,exp,
92534,0,0.07842505252250011,7.258371134423159,,0.0,0.7870709082782256,13,0.5,exp,
92535,0,0.14392771153418651,2.032403862652932,,0.0,0.8351456970786791,13,0.5,exp,
92536,0,0.15734453250242159,2.7344280692185126,,0.0,0.709575714654739,7,0.5,exp,
92537,0,0.05309816777306177,6.596411183866633,,0.0,0.7819871899583664,14,0.5,exp,
92538,0,0.03972476588551683,4.94821523993791,,0.0,0.7512088154437063,12,0.5,exp,
92539,0,0.06759925900069937,3.4506024942018323,,0.0,0.8840214430428491,8,0.5,exp,
92540,0,0.03979371004080884,1.6826168812233435,,0.0,0.7459210141307748,7,0.5,exp,
92541,0,0.1041010590840375,7.499999999999999,,0.0,0.7956142981388203,8,0.5,exp,
92542,0,0.09058372946652159,4.548730138550099,,0.0,0.8925561455377854,13,0.5,exp,
92543,0,0.06978662054713677,6.114905670043341,,0.0,0.8184347064489187,9,0.5,exp,
92544,0,0.22643115234371725,2.263502187888108,,0.0,0.7520583166055007,7,0.5,exp,
92545,0,0.1534669948527121,3.8289924510191415,,0.0,0.7480936555666851,10,0.5,exp,
92546,0,0.09672748232463255,5.6231493723730175,,0.0,0.7866302203371748,12,0.5,exp,
92547,0,0.08209285541425691,6.478588935424432,,0.0,0.7040883635361229,13,0.5,exp,
92548,0,0.054953161913625904,1.1851999739823413,,0.0,0.8121464379870402,7,0.5,exp,
92549,0,0.0982434052234954,2.624275025620335,,0.0,0.8119839398055744,10,0.5,exp,
92554,0,0.07142161698788936,2.5292296275413575,,0.0,0.7935644790655636,8,0.5,exp,
92555,0,0.03435660973975688,7.247640966257708,,0.0,0.6934713505776426,13,0.5,exp,
92556,0,0.046080726679987,11.499999999999998,,0.0,0.6251923987906087,12,0.5,exp,
92557,0,0.04087384483697057,12.499999999999998,,0.0,0.7119236091034488,13,0.5,exp,
94658,0,0.050615577471485915,6.579218848675169,,0.0,0.9536115486033909,8,0.5,exp,
100703,0,0.038710275498028524,2.3127798328656928,,0.0,0.886183592192273,12,0.5,exp,
114319,0,0.01980632312854678,1.6457582777894566,,0.0,0.5992673366482661,9,0.5,exp,
114322,0,0.039210266909829025,6.86292798647569,,0.0,0.9003756377181136,9,0.5,exp,
122141,0,0.03939109658909301,1.7906813389934908,,0.0,0.6749901833802024,11,0.5,exp,
123178,0,0.08776028974686682,5.142800352564581,,0.0,0.9419246462967987,7,0.5,exp,
123208,0,0.04436635255125297,9.499999999999998,,0.0,0.8229194626152958,10,0.5,exp,
124801,0,0.019547763660388875,2.7033267015640483,,0.0,0.6977961421960104,9,0.5,exp,
124802,0,0.01684021009291584,2.504320077462251,,0.0,0.8312524404041686,8,0.5,exp,
125043,0,0.04876595152401543,2.2280328219845607,,0.0,0.8166155302846776,6,0.5,exp,
126232,0,0.044155972881517194,2.529441053041542,,0.0,0.8343282351414674,9,0.5,exp,
128450,0,0.014795935588865472,2.1000013807601188,,0.0,0.9166888653896178,8,0.5,exp,
136515,0,0.03556442275707717,5.519869111653834,,0.0,0.9805149353080032,9,0.5,exp,
139896,0,0.20484044993506834,3.1668657171525614,,0.0,0.8185348108530497,11,0.5,exp,
139897,0,0.13040150926149277,0.9650162995494396,,0.0,0.8358744048048415,7,0.5,exp,
140250,0,0.13776242025079966,6.9477604685423495,,0.0,0.9701129575857887,8,0.5,exp,
140251,0,0.05637767342917242,4.410556065747086,,0.0,0.8759766456737973,9,0.5,exp,
140253,0,0.24489383502632273,5.671061737460485,,0.0,0.7824974566483077,8,0.5,exp,
140254,0,0.1009456075660349,2.755141656008025,,0.0,0.717716901918508,11,0.5,exp,
140257,0,0.05876614167205909,2.244089256668303,,0.0,0.7899081312369322,11,0.5,exp,
140260,0,0.19997524626204297,3.5653805505164704,,0.0,0.7502715125971492,9,0.5,exp,
140262,0,0.2069852900443952,2.12619733854507,,0.0,0.795918665198636,7,0.5,exp,
140263,0,0.041282520626564255,9.499999999999998,,0.0,0.839668134796181,10,0.5,exp,
141748,0,0.07062816991116748,1.8369881820365377,,0.0,0.7552599753070514,8,0.5,exp,
148992,0,0.11566129540478777,2.482545415767533,,0.0,0.806167470416213,11,0.5,exp,
148995,0,0.14286134212250584,3.9985261664508607,,0.0,0.8420681524817232,13,0.5,exp,
148998,0,0.12472139410228891,2.5085907082261323,,0.0,0.7570003013723076,11,0.5,exp,
148999,0,0.10983001246921777,10.499999999999998,,0.0,0.8601974955376883,11,0.5,exp,
154032,0,0.044785195341605986,8.499999999999998,,0.0,0.8574396079595141,9,0.5,exp,
154771,0,0.02813297778082148,5.4039741854616254,,0.0,0.773191141127321,14,0.5,exp,
154775,0,0.024406193961092237,11.34602573093992,,0.0,0.7494325653975072,14,0.5,exp,
156296,0,0.08289587999680167,7.173507698290861,,0.0,0.9255158679563801,11,0.5,exp,
156298,0,0.07674834140530101,10.071257108820094,,0.0,1.0167835351861119,11,0.5,exp,
156300,0,0.09363760804005702,5.340180573231075,,0.0,0.8595214254191923,10,0.5,exp,
156301,0,0.06337790682544253,4.721573412783897,,0.0,0.8793234091427464,13,0.5,exp,
156307,0,0.018643302384419424,6.896296358098449,,0.0,0.7267017767468769,9,0.5,exp,
156308,0,0.025635259200951024,6.170418121327257,,0.0,0.6768540073997058,9,0.5,exp,
156310,0,0.030865934710255102,2.8889420126178984,,0.0,0.8879223639338448,8,0.5,exp,
156311,0,0.04224588176004323,6.143930362185641,,0.0,0.7748697033379663,9,0.5,exp,
156435,0,0.09518772973789487,2.5165055116152204,,0.0,0.7673874218233714,14,0.5,exp,
156436,0,0.09892536225978264,2.358823886909336,,0.0,0.7013780553735368,8,0.5,exp,
156437,0,0.6102306365946758,12.499999999999998,,0.0,0.7853523198061744,13,0.5,exp,
156438,0,0.14680061056270663,3.120786698833301,,0.0,0.8889572925449779,8,0.5,exp,
165738,0,0.026547630290394354,2.996622066021764,,0.0,0.6842005897778229,14,0.5,exp,
165739,0,0.031477089277159524,3.842596993156338,,0.0,0.905525761570665,12,0.5,exp,
167294,0,0.09131006507700413,6.499999999999999,,0.0,0.8537138129153987,7,0.5,exp,
173187,0,0.04653254539314194,7.499999999999999,,0.0,0.9381883702956565,8,0.5,exp,
178944,0,0.133313563675308,2.2125668665411786,,0.0,0.8678016431364679,7,0.5,exp,
178947,0,0.23802025380286504,8.499999999999993,,0.0,0.6852127825545591,9,0.5,exp,
183366,0,0.09308964349174191,1.9923193740506189,,0.0,0.768831003026783,11,0.5,exp,
184148,0,0.028503201931488996,2.4551969631249286,,0.0,0.9290372173649147,9,0.5,exp,
192457,0,0.0837605804974774,1.6742310961479845,,0.0,0.6174568290942478,14,0.5,exp,
192465,0,0.025025720375253392,1.8403871113533319,,0.0,0.7561655727821407,13,0.5,exp,
192469,0,0.05555621547129065,4.038417860989281,,0.0,0.9148308740046432,14,0.5,exp,
192473,0,0.03423641660653606,3.374015852212747,,0.0,0.5480904702810412,12,0.5,exp,
192478,0,0.093972005947885,3.7838308274032184,,0.0,0.7625218286299223,8,0.5,exp,
192480,0,0.032028368136011114,4.21674901223666,,0.0,0.7289327231683719,13,0.5,exp,
192483,0,0.03344487864906426,5.356115005430135,,0.0,0.8071216318865737,13,0.5,exp,
195188,0,0.1295844141344141,4.952713091185026,,0.0,0.8345036000979519,9,0.5,exp,
195941,0,0.11979276081004582,8.499999999999998,,0.0,0.877305907793799,9,0.5,exp,
