Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.016951119206672957,89534,0.01518082196690706
1.0,0.034072298597095194,88873,0.02705932962508115
1.5,0.03797486224350434,86355,0.03635388195517794
2.0,0.03940897226181855,83861,0.04362657188415737
2.5,0.04557773249765179,81325,0.04931721914984745
3.0,0.04885330038732283,78855,0.05376996863026569
3.5,0.04864071184618939,76347,0.05725410268561387
4.0,0.054528540902475206,73837,0.05998032615024427
4.5,0.06357916340298861,71261,0.0621135088180273
5.0,0.07278382485750434,68831,0.06378265602960662
5.5,0.07736595588835822,66331,0.06508871033803511
6.0,0.08526840320583642,63831,0.06611065606261302
6.5,0.07791582237393017,61335,0.06691029590702326
7.0,0.07043180575400294,58835,0.0675359885102508
7.5,0.05993084072842767,56335,0.06802557296063848
8.0,0.05397994671160403,53825,0.06840865713460023
8.5,0.059588018179800036,51169,0.06870840824847599
9.0,0.05072031720603589,48819,0.06894295390809055
