Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.012564108475078061,94434,0.01303065199360061
1.0,0.020678493990375444,93873,0.020104152513957693
1.5,0.022292270588045216,91355,0.023943899722007132
2.0,0.02636171965447512,88861,0.02602825082642738
2.5,0.02935317543194651,86325,0.027159710605183206
3.0,0.029764842548621818,83855,0.027773907142526307
3.5,0.02967260923262693,81359,0.02810731482839126
4.0,0.028071828765842303,78849,0.02828830035702137
4.5,0.02554395307572967,76261,0.028386545727365913
5.0,0.027840877782557703,73831,0.02843987680232641
5.5,0.026681260876969967,71331,0.028468826803191252
6.0,0.025154362786246384,68831,0.028484541891452563
6.5,0.030680366080849137,66335,0.02849307259928272
7.0,0.030141866464180305,63835,0.028497703370352748
7.5,0.0302283732621243,61335,0.028500217117292625
8.0,0.027616613942421354,58825,0.028501581668375412
8.5,0.027622019594525978,56169,0.028502322395147862
9.0,0.023474657914778645,53819,0.028502724487937458
