Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.009194817752786995,128722,0.0064230023745145935
1.0,0.019281383018761113,128861,0.01164521806444312
1.5,0.02182332076741776,126361,0.01589113533521116
2.0,0.020778072231383147,123861,0.01934327414766475
2.5,0.02072709823839447,121343,0.022150032174368537
3.0,0.018543154165829474,118849,0.024432063995350556
3.5,0.021000372410400307,116349,0.026287467696855346
4.0,0.02469786476830153,113849,0.02779600183029976
4.5,0.02529593072724106,111289,0.029022514006556196
5.0,0.02276097888523632,108843,0.030019728511123275
5.5,0.02385931282345563,106343,0.030830512771866766
6.0,0.026517248730087494,103843,0.03148972010836129
6.5,0.030305521872840042,101347,0.032025687977409116
7.0,0.03317477906499128,98837,0.0324614561200685
7.5,0.033971381766679555,96337,0.03281575697488313
8.0,0.03269256969861348,93837,0.03310382093237277
8.5,0.03329342509934078,91201,0.0333380310463958
9.0,0.04055239247588171,88831,0.033528455346571076
9.5,0.04344378338015554,86331,0.03368327963436283
10.0,0.04166659293257887,83831,0.033809159367506975
10.5,0.04524522211800777,81331,0.033911505759293734
11.0,0.042409237795486006,78831,0.03399471839130476
11.5,0.042758395806967255,76331,0.034062374338967555
12.0,0.049175649837099204,73831,0.03411738193989942
12.5,0.04954294032642987,71323,0.034162105815106356
13.0,0.047222946102203185,68823,0.03419846851734461
