Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.03016052832476508,118934,0.022647664216399504
1.0,0.05743428185990317,118873,0.0399926297360899
1.5,0.050838291143751865,116355,0.05327646448410778
2.0,0.057514683310173974,113861,0.0634500370641354
2.5,0.0642979212071392,111325,0.07124158077153767
3.0,0.07427452461202501,108855,0.07720882117473092
3.5,0.07011656184129757,106359,0.08177889860311945
4.0,0.080481103985107,103849,0.08527894322848596
4.5,0.08404640822886583,101273,0.08795949133111988
5.0,0.08817342409792686,98843,0.09001241890765954
5.5,0.09605215189701205,96343,0.09158467632410947
6.0,0.09741031523545132,93843,0.09278880715260587
6.5,0.09345365901691255,91347,0.0937110041395403
7.0,0.09463033313628953,88847,0.09441727895834293
7.5,0.09511204671395405,86347,0.09495818738326943
8.0,0.08890424710263113,83837,0.09537244811629754
8.5,0.09404643011900289,81181,0.09568971430595304
9.0,0.10381935199854099,78831,0.09593269614582654
9.5,0.10806868613503733,76319,0.09611878649025445
10.0,0.0950109187548762,73819,0.09626130585016758
10.5,0.11180177223148918,71319,0.09637045588700854
11.0,0.12241397636380234,68819,0.09645404965665251
11.5,0.11075451753422316,66319,0.09651807087483559
12.0,0.12296436092065223,63819,0.09656710223680318
