File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_14550.csv,1,0.3,0.78,0.54,369.17,0.4999999999999996,2.6793710538977193,0.030939376900905133,0.006085745446388719,104.11910576743199,126.75369397774323,248.45589690367905,101.90658170261561,108.71704888590232,63.55629888697994,145.40868908706742,2.2245129500416683,2.2245129500416683
SCPT_14550.csv,2,0.8,1.72,1.26,369.17,0.9399999999999995,4.952170453552564,0.08064718229173232,,140.64759852221127,171.22316341834423,342.1571227992702,162.9285429631911,203.82168303544663,95.5200700084657,205.72678362401365,2.1086022816636283,2.1086022816636283
SCPT_14550.csv,3,1.74,2.22,1.98,369.17,0.4999999999999998,6.80196756191094,0.09869098422595404,0.010763217010169608,159.11978723163193,193.71104532546485,404.9312286855316,199.33419401516696,250.58207663176606,115.98273175468482,238.63862493592407,1.9721302212033827,1.9712494719443383
SCPT_14550.csv,4,2.24,3.68,2.96,369.17,1.4599999999999995,3.6615112303694026,0.06353172256190484,0.0084965461094212,147.99643839880497,180.1695771811536,332.22985661736254,185.44158518376986,226.96695990770618,114.13151776338262,247.86881666067592,2.258422441020413,2.231945400535095
SCPT_14550.csv,5,3.7,4.18,3.94,369.17,0.4999999999999991,2.547481438518301,0.0710519725360381,,149.57163083354556,182.08720275388143,297.79816317442885,186.78566639142247,251.0734134795169,118.6986002072441,270.30664301568765,2.568479712467991,2.4911787615676646
SCPT_14550.csv,6,4.2,4.72,4.46,341.55,0.5399999999999991,7.166428787071224,0.1382333521653081,0.0018999999999999996,195.57126330758442,238.0867553309724,447.5531328549546,235.7320575103927,314.5838239056548,150.69320021582723,306.4666980955708,2.165186901490367,2.060984458482793
SCPT_14550.csv,7,4.74,5.84,5.29,341.55,1.1199999999999992,4.03555688451753,0.10999451577568313,0.012502514732845523,181.41807575572454,220.8567878765341,365.5626942905415,212.71460637638958,290.37366979639927,142.69087735673247,309.2075669943948,2.498158189238627,2.3599395386021063
SCPT_14550.csv,8,5.86,6.66,6.26,337.03,0.8199999999999994,7.913046315892353,0.13291312707228176,0.01380510907935167,213.308026548358,259.6793366675663,480.6854439401942,238.836658185268,296.7824539250179,167.4159140726321,332.44975701207386,2.1786013040023158,2.0505895457090233
SCPT_14550.csv,9,6.68,7.22,6.949999999999999,337.03,0.5599999999999996,6.383555403998035,0.16049218352227337,,216.96486590567372,264.1311411025594,447.4440547308597,240.2533844766916,327.7178630502872,169.76128557686243,349.3161617884492,2.401470412007048,2.2556860901643976
SCPT_14550.csv,10,7.24,7.86,7.550000000000001,337.03,0.6399999999999997,5.288959609319876,0.15367644033729255,0.0032756009752016894,213.98801937619956,260.5071540231996,419.93104510084595,232.1688790592317,321.7355659371578,168.46305213664127,354.2087939308955,2.536846873962282,2.374448458833933
