File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
SDMT_92526_raw_result_layers_stats.csv,1,0.03,0.52,0.275,301.0,0.49,4.18747784100171,0.0345463409908801,0.0003872983346207,102.79482085261954,125.14152103797164,271.2589230553819,92.53553780045712,98.29269741269307,54.19429799654827,119.73990255071844,2.025480262522084
SDMT_92526_raw_result_layers_stats.csv,2,0.53,1.83,1.1800000000000002,301.0,1.3,3.301757732966881,0.1327336241523616,0.0452941929323372,139.059016977204,169.2892380592051,290.8735359345424,170.9047842608089,277.54517003039643,91.37596662333232,213.4591130593436,2.509133564758001
SDMT_92526_raw_result_layers_stats.csv,3,1.84,3.7,2.77,291.0,1.86,2.237762900974474,0.0266248350379625,0.8752942061614393,125.8306127791448,153.18509381808937,281.112967346802,151.7430981836812,156.63140039341351,96.85537358834556,216.38201872497203,2.262006588775522
SDMT_92526_raw_result_layers_stats.csv,4,3.71,4.47,4.09,241.0,0.7599999999999998,1.2831504619418597,0.0195029575213905,0.5812747932260389,120.89365688499296,147.17488664260014,237.4296695687781,141.05004884219397,146.62335262223883,97.5817198233287,229.44436506084696,2.5338642857711133
SDMT_92526_raw_result_layers_stats.csv,5,4.48,5.32,4.9,213.0,0.8399999999999999,0.7720252231198158,0.0180759697883096,0.3761489770411378,114.00054983980546,138.78327806585028,199.557932453524,131.20471860014794,146.69827184907072,94.77613653195284,236.9370558226896,2.8470513040599585
SDMT_92526_raw_result_layers_stats.csv,6,5.33,6.69,6.01,209.0,1.3600000000000003,0.639568918545681,0.0193820047249723,0.3027607083517724,116.02390979444272,141.24649888019118,189.3788455703989,128.3622358600858,151.20874770011642,98.17126397091523,251.3631315335213,3.012786923573276
SDMT_92526_raw_result_layers_stats.csv,7,6.7,7.19,6.945,271.0,0.4900000000000002,3.5194157146124923,0.0375832949781081,0.0993020083504802,167.26850064465978,203.63121817610744,358.0809483339144,175.5906616205064,176.0916413374391,138.09977441870976,287.92032142234814,2.168817115646704
SDMT_92526_raw_result_layers_stats.csv,8,7.2,7.81,7.505,323.0,0.6099999999999994,11.722016937767773,0.0891811045677313,0.0209949814824703,216.2133656367952,263.2162712100116,568.7887070572763,234.0534875725624,235.89247374346425,180.27684954444015,331.46548800644166,1.7133933237378691
SDMT_92526_raw_result_layers_stats.csv,9,7.82,8.92,8.370000000000001,338.0,1.0999999999999996,17.677739773322767,0.1554674603355077,,246.54441869547392,300.1410314553594,672.5073927999107,272.3962160972972,300.18528655037846,206.434579071279,367.3438493605494,1.6461426791713976
SDMT_92526_raw_result_layers_stats.csv,10,8.93,10.8,9.865,370.0,1.870000000000001,25.25085059876187,0.3017992350424764,,290.7781938797073,353.9908447231221,783.2118501699276,325.26097658629647,416.9294039410121,240.2912573523829,418.4463639884359,1.6699355251636
SDMT_92526_raw_result_layers_stats.csv,11,10.81,11.3,11.055,379.0,0.4900000000000002,19.815296375437725,0.3235953773132418,,295.4683828217613,359.7006399569266,722.0878242211373,319.46374241897973,435.88782477195343,240.99894458985528,433.9791450447941,1.862752962008523
SDMT_92526_raw_result_layers_stats.csv,12,11.31,11.97,11.64,248.0,0.6600000000000001,9.194447246954606,0.1474503673738661,,246.85595028691228,300.52028730580633,541.0777480654723,248.79183457327352,300.995199938584,205.06020173972252,394.7160099369215,2.107985244026923
SDMT_92526_raw_result_layers_stats.csv,13,11.98,12.86,12.42,268.0,0.879999999999999,22.007275802465287,0.3285489108418302,,306.469820564871,373.093694600713,760.3233602508968,326.3696865543422,435.70811856188885,253.0259918909749,448.1691919249413,1.828111420351511
SDMT_92526_raw_result_layers_stats.csv,14,12.87,13.72,13.295,243.0,0.8500000000000014,13.93313581711301,0.2387775649751093,,283.7626039723088,345.45012657498506,642.7546538128627,286.92348603755954,370.6054490937231,235.12490243440337,435.9521914733282,2.0253916086781087
SDMT_92526_raw_result_layers_stats.csv,15,13.73,15.5,14.615,261.0,1.7699999999999996,3.9373591649963866,0.0641693606259257,,212.3114407192629,258.46610174518963,400.0166424492005,191.35516128984207,211.6683208052144,180.415945248559,372.85759393016485,2.50797783103574
SDMT_92526_raw_result_layers_stats.csv,16,15.51,16.0,15.754999999999999,374.0,0.4900000000000002,10.673179705266312,0.407122194533426,,310.54569425445374,378.05562778803113,590.3622212762807,305.09653878289885,512.0432743425653,247.95709650596328,486.82805573529697,2.465664527302897
