Depth,Qc,Fs,u
1.76,6.1,0.0353,0.0003
1.77,6.03,0.0343,-0.0017
1.78,6.04,0.0344,-0.0013
1.79,6.02,0.0334,-0.0006
1.8,6.01,0.0342,0.0009
1.81,6.01,0.0353,-0.0002
1.82,6.01,0.0375,-0.0004
1.83,6.02,0.038,0
1.84,6.05,0.0373,0.0001
1.85,6.1,0.0372,0.0005
1.86,6.23,0.0377,-0.0001
1.87,6.44,0.0383,0.0002
1.88,6.51,0.039,0.0004
1.89,6.67,0.0393,-0.0008
1.9,6.8,0.0399,0.0016
1.91,6.94,0.0415,0.0016
1.92,7.02,0.0436,0.0017
1.93,7.07,0.0445,0.0016
1.94,7.17,0.0451,0.0008
1.95,7.24,0.0457,0.0009
1.96,7.32,0.0447,0.0009
1.97,7.3,0.0456,-0.0007
1.98,7.34,0.0463,-0.0003
1.99,7.32,0.0473,0.0011
2,7.34,0.0488,0.0004
2.01,7.34,0.0492,0.0003
2.02,7.38,0.0487,0.0005
2.03,7.49,0.049,0.0009
2.04,7.61,0.0486,0.002
2.05,7.74,0.0478,0.0013
2.06,7.76,0.0491,0.0025
2.07,7.85,0.0532,0.0016
2.08,7.91,0.0539,0.0019
2.09,7.95,0.0544,0.0004
2.1,7.95,0.0544,-0.0002
2.11,7.99,0.0541,0.0003
2.12,7.99,0.0563,0.0008
2.13,8.02,0.0557,0.002
2.14,8.01,0.0558,0.0029
2.15,8.02,0.0546,0.0023
2.16,8.06,0.0572,0.0018
2.17,8.12,0.058,0.0029
2.18,8.14,0.0596,0.0017
2.19,8.17,0.0598,0.001
2.2,8.18,0.0593,0.0008
2.21,8.23,0.0601,0.0035
2.22,8.34,0.0581,-0.0001
2.23,8.4,0.0564,0.002
2.24,8.4,0.0553,0.0015
2.25,8.5,0.0581,0.0021
2.26,8.59,0.0568,0.0009
2.27,8.56,0.0589,0.0028
2.28,8.56,0.0587,0.0009
2.29,8.65,0.0589,0.0012
2.3,8.67,0.0588,0.0009
2.31,8.65,0.0613,0.001
2.32,8.64,0.0636,-0.0003
2.33,8.56,0.063,0.0018
2.34,8.47,0.0647,0.0003
2.35,8.41,0.0672,0.0016
2.36,8.38,0.0664,0.0013
2.37,8.42,0.0673,-0.0004
2.38,8.06,0.0675,0.0026
2.39,7.9,0.0678,-0.0022
2.4,7.83,0.0704,0.0015
2.41,7.78,0.0751,0.0007
2.42,7.73,0.0745,0.004
2.43,7.75,0.0742,0.001
2.44,7.79,0.0734,0.0016
2.45,7.88,0.0701,0.0035
2.46,8.01,0.0696,0.001
2.47,7.97,0.0676,-0.0002
2.48,7.86,0.0674,-0.0046
2.49,7.94,0.0648,0.0022
2.5,8.22,0.0651,-0.0001
2.51,8.49,0.0664,0.002
2.52,8.82,0.0663,0.0039
2.53,8.98,0.0672,0.0038
2.54,9.34,0.0671,0.0025
2.55,9.48,0.0596,0.0024
2.56,9.72,0.0613,0.0031
2.57,9.83,0.0634,0.0032
2.58,9.96,0.0651,0.0027
2.59,10.05,0.0671,0.003
2.6,10.12,0.0676,0.0023
2.61,10.13,0.0701,0.0039
2.62,10.2,0.0709,0.0034
2.63,10.35,0.0723,0.0023
2.64,10.39,0.0733,0.0042
2.65,10.42,0.0732,0.0044
2.66,10.51,0.0732,0.0028
2.67,10.53,0.0732,0.0048
2.68,10.68,0.0732,0.004
2.69,10.74,0.0893,0.0044
2.7,10.88,0.0911,0.0018
2.71,11.07,0.092,0.002
2.72,11.21,0.0924,-0.0031
2.73,11.21,0.0967,-0.0031
2.74,11.21,0.0952,-0.0031
2.75,11.21,0.0989,-0.0031
2.76,11.19,0.0989,0.0022
2.77,11.31,0.0987,0.0016
2.78,11.46,0.0996,0.0026
2.79,11.5,0.0998,0.0032
2.8,11.69,0.0993,0.0026
2.81,11.63,0.0964,0.0025
2.82,11.66,0.0963,0.0031
2.83,11.68,0.0924,0.0016
2.84,11.7,0.0908,0.0011
2.85,11.71,0.0928,0.0008
2.86,11.7,0.093,0.0008
2.87,11.66,0.0929,0.0019
2.88,11.63,0.0925,0.0031
2.89,11.55,0.0925,0.0039
2.9,11.48,0.0886,0.0009
2.91,11.49,0.0866,0.005
2.92,11.46,0.0844,0.0011
2.93,11.32,0.0847,0.0034
2.94,11.29,0.0818,-0.0005
2.95,11.25,0.0872,0.0023
2.96,11.25,0.0894,0.0023
2.97,11.39,0.0873,0.0034
2.98,11.45,0.0857,0.0029
2.99,11.63,0.0858,0.0001
3,11.84,0.0852,0.006
3.01,12.17,0.0852,-0.002
3.02,12.56,0.0868,0.0025
3.03,12.86,0.0881,0.006
3.04,13.21,0.0879,-0.0028
3.05,13.7,0.0903,0.0036
3.06,13.85,0.0928,0.0007
3.07,14.01,0.0946,0.0031
3.08,14.07,0.0984,0.0018
3.09,13.93,0.0977,0.0032
3.1,13.84,0.0964,0.0034
3.11,13.55,0.0971,0.0017
3.12,13.43,0.0988,0.0039
3.13,13.28,0.0992,0.0044
3.14,12.88,0.0995,0
3.15,12.43,0.1004,0.0053
3.16,12.22,0.0957,0.0032
3.17,11.88,0.0935,0.0012
3.18,11.72,0.0893,0.0019
3.19,11.53,0.092,0.0028
3.2,11.12,0.094,0.0012
3.21,10.93,0.0892,0.002
3.22,10.64,0.089,0.0028
3.23,10.51,0.084,0.0005
3.24,10.38,0.082,-0.0001
3.25,10.24,0.0765,-0.0027
3.26,10.09,0.0759,0.0011
3.27,9.99,0.074,0.006
3.28,9.9,0.0756,0.001
3.29,9.83,0.0738,0.0032
3.3,9.73,0.0742,0.0028
3.31,9.77,0.0746,0.0038
3.32,9.84,0.0771,0.0003
3.33,9.86,0.0722,0.0035
3.34,9.92,0.0712,0.004
3.35,9.91,0.0713,0.0054
3.36,9.89,0.0701,0.005
3.37,9.82,0.0683,-0.0001
3.38,9.72,0.0673,0.0021
3.39,9.65,0.0689,0.0052
3.4,9.62,0.0663,0.0035
3.41,9.61,0.0681,0.0046
3.42,9.6,0.0638,0.003
3.43,9.64,0.0633,0.0035
3.44,9.65,0.0631,0.0034
3.45,9.8,0.0633,0.0012
3.46,9.78,0.0588,-0.001
3.47,9.76,0.0593,-0.006
3.48,9.76,0.0593,0.0048
3.49,9.63,0.0605,0.0024
3.5,9.62,0.0617,0.0012
3.51,9.57,0.0634,0.0046
3.52,9.56,0.0639,0.0042
3.53,9.47,0.0767,0.0033
3.54,9.3,0.0765,0.0025
3.55,9.19,0.0794,0
3.56,9.2,0.0765,0.0033
3.57,9.24,0.0765,0.0031
3.58,9.16,0.075,0.0074
3.59,9.17,0.0695,-0.0024
3.6,9.21,0.0676,-0.0016
3.61,9.33,0.0681,-0.0059
3.62,9.31,0.0664,0.0081
3.63,9.46,0.0703,0.0017
3.64,9.46,0.0729,0.0017
3.65,9.4,0.0737,0.0043
3.66,9.54,0.0668,0.0036
3.67,9.59,0.0668,0.0007
3.68,9.65,0.0668,0.0027
3.69,9.81,0.0604,0.0024
3.7,9.86,0.0658,0.0024
3.71,9.94,0.0651,-0.0007
3.72,9.9,0.0667,0.0044
3.73,9.76,0.0735,0.0065
3.74,9.76,0.075,0.0065
3.75,9.76,0.0771,0.0065
3.76,9.48,0.0885,-0.0022
3.77,9.49,0.0875,0.0018
3.78,9.55,0.0875,0.0036
3.79,9.59,0.0922,0.0025
3.8,9.74,0.0936,0.0023
3.81,9.88,0.0915,-0.0022
3.82,9.78,0.0883,0.0006
3.83,9.53,0.0872,0.0009
3.84,9.65,0.0861,0.0011
3.85,9.65,0.0845,0.0011
3.86,9.81,0.0858,0.0027
3.87,9.79,0.0843,0.0029
3.88,9.78,0.0836,0.0018
3.89,9.75,0.0785,0.0004
3.9,9.74,0.0722,0.0031
3.91,9.6,0.0692,0.0092
3.92,9.45,0.0685,0.0076
3.93,9.43,0.0692,0.0018
3.94,9.35,0.0716,0.0003
3.95,9.32,0.0706,0.0009
3.96,9.32,0.0718,0.0039
3.97,9.24,0.0809,-0.0022
3.98,9.25,0.0842,0.0024
3.99,9.18,0.0844,-0.002
4,9.16,0.082,0.0047
4.01,9.23,0.0808,0.0029
4.02,9.26,0.0781,0.0024
4.03,9.29,0.0819,-0.0003
4.04,9.12,0.0802,0.0029
4.05,9.17,0.0815,0.0015
4.06,9.22,0.0783,0.0034
4.07,9.3,0.0764,0.0034
4.08,9.38,0.0767,0.0042
4.09,9.65,0.0756,0.0011
4.1,9.81,0.078,0.0097
4.11,9.77,0.0715,0.0026
4.12,9.77,0.0726,0.003
4.13,9.95,0.0727,0.0008
4.14,10.03,0.0732,0.0008
4.15,10.12,0.0788,0.0024
4.16,10.32,0.0798,0.0025
4.17,10.4,0.0793,0.0016
4.18,10.35,0.0785,0.0023
4.19,10.47,0.0771,0.0017
4.2,10.49,0.0776,0.0007
4.21,10.37,0.086,0.0007
4.22,10.18,0.0865,0.0052
4.23,10.17,0.0855,0.0037
4.24,10.12,0.0836,0.0018
4.25,10.14,0.0836,0.0027
4.26,10.08,0.0768,0.0008
4.27,9.89,0.0764,-0.0038
4.28,9.72,0.0761,0.0059
4.29,9.62,0.0757,0.0066
4.3,9.7,0.0772,0.0044
4.31,9.72,0.0776,0.004
4.32,9.72,0.0811,0.004
4.33,9.81,0.0846,0.0059
4.34,9.86,0.0846,0.0037
4.35,9.95,0.0822,0.0039
4.36,9.96,0.0803,0.0095
4.37,9.94,0.0802,0.01
4.38,9.91,0.082,0.0061
4.39,10.02,0.0796,0.0023
4.4,10.02,0.0779,0.0062
4.41,10.02,0.0796,0.0062
4.42,10.18,0.0791,0.003
4.43,10.27,0.0791,0.0021
4.44,10.27,0.08,0.0056
4.45,10.32,0.0816,0.0029
4.46,10.45,0.0817,-0.0009
4.47,10.61,0.0908,0.0009
4.48,10.87,0.091,0.0032
4.49,11.04,0.0924,0.0036
4.5,11.04,0.095,0.0036
4.51,11.11,0.0978,0.004
4.52,11.25,0.0977,0.0014
4.53,11.36,0.0968,0.0015
4.54,11.19,0.0969,0.0078
4.55,11.05,0.0985,0.0037
4.56,11,0.0934,0.0067
4.57,10.99,0.0944,-0.0007
4.58,10.92,0.0966,0.0016
4.59,10.8,0.0986,0.0027
4.6,10.84,0.101,0.0022
4.61,10.7,0.0953,-0.0009
4.62,10.67,0.087,0.0072
4.63,10.53,0.0846,0.0015
4.64,10.3,0.0897,0.0045
4.65,10.09,0.0925,0.0108
4.66,10.09,0.1061,0.0009
4.67,10.29,0.1108,0.0084
4.68,10.58,0.1108,0.0051
4.69,10.65,0.1108,0.003
4.7,10.57,0.101,0.005
4.71,10.78,0.101,0.0036
4.72,10.65,0.0942,0.0077
4.73,10.09,0.0944,0.0092
4.74,10.11,0.0943,0.0092
4.75,10.11,0.0978,0.0092
4.76,10.11,0.0977,0.0092
4.77,10.38,0.0899,0.0047
4.78,10.38,0.0913,0.0047
4.79,10.89,0.0926,0.0029
4.8,11.01,0.0907,0.0016
4.81,11.16,0.0805,0.002
4.82,11.38,0.0794,0.0022
4.83,11.42,0.08,0.0042
4.84,11.54,0.0897,0.0022
4.85,11.45,0.0909,0.0017
4.86,11.54,0.0923,0.0033
4.87,11.69,0.0923,0.004
4.88,11.88,0.0922,0.0013
4.89,11.93,0.0933,0.005
4.9,11.99,0.0964,0.0029
4.91,12.17,0.0964,0.0068
4.92,12.33,0.0973,0.0022
4.93,12.59,0.0987,0.0043
4.94,12.75,0.1006,0.0021
4.95,13.17,0.1008,0.0036
4.96,13.44,0.1018,0.0023
4.97,13.95,0.1025,0.0031
4.98,13.95,0.1011,0.0031
4.99,14.62,0.1016,0.0041
5,15.02,0.1068,0.0045
5.01,15.38,0.1078,0.0045
5.02,16.28,0.1124,0.0066
5.03,16.92,0.1185,0.0052
5.04,17.06,0.1208,0.0057
5.05,17.35,0.1243,0.0075
5.06,17.58,0.1304,0.0062
5.07,17.62,0.1348,0.0066
5.08,17.67,0.1394,0.0062
5.09,17.68,0.1428,0.0064
5.1,17.84,0.1428,0.0076
5.11,18.07,0.1502,0.0075
5.12,18.76,0.1535,0.0089
5.13,19.39,0.1563,0.0079
5.14,19.61,0.1617,0.0085
5.15,19.81,0.1661,0.0088
5.16,19.69,0.1673,0.0088
5.17,19.69,0.1708,0.0088
5.18,19.4,0.1725,0.0073
5.19,19.27,0.1761,0.0072
5.2,19.18,0.1766,0.0064
5.21,18.98,0.1773,0.008
5.22,18.59,0.178,0.0077
5.23,18.35,0.1767,0.0091
5.24,17.47,0.184,0.0049
5.25,16.94,0.1791,0.0046
5.26,15.87,0.1633,0.0037
5.27,15.15,0.1561,0.004
5.28,14.37,0.1513,0.004
5.29,12.36,0.1447,-0.0006
5.3,9.58,0.1267,-0.002
5.31,4,0.1052,-0.0033
5.32,3.62,0.0942,0.0052
5.33,4.03,0.0721,0.0041
5.34,4.14,0.0607,0.0032
5.35,4.08,0.0501,0.0039
5.36,4.15,0.0461,0.0038
5.37,4.29,0.044,0.0017
5.38,4.53,0.0394,0.0029
5.39,4.52,0.0385,0.0042
5.4,4.61,0.0364,0.0029
5.41,4.62,0.0359,0.0026
5.42,4.46,0.0333,0.0026
5.43,4.45,0.0344,-0.0036
5.44,4.44,0.0344,0.0034
5.45,4.4,0.0333,0.0016
5.46,4.31,0.0314,0.0025
5.47,4.24,0.029,0.0026
5.48,3.96,0.0292,0.0036
5.49,3.71,0.0281,0.0017
5.5,3.61,0.0274,0.0048
5.51,3.61,0.0267,0.0048
5.52,3.42,0.0272,0.0046
5.53,3.39,0.026,0.0077
5.54,3.33,0.0266,0.0014
5.55,3.39,0.026,0.0033
5.56,3.61,0.0264,0.002
5.57,3.75,0.0275,0.0004
5.58,4.19,0.0286,0.0024
5.59,4.46,0.0288,0.0026
5.6,4.97,0.0312,0.0036
5.61,5.2,0.0336,0.0044
5.62,5.41,0.0376,0.0035
5.63,5.6,0.0392,0.0038
5.64,5.97,0.0422,0.0034
5.65,6.3,0.0456,0.0028
5.66,6.48,0.0512,0.0027
5.67,6.79,0.0512,0.0026
5.68,6.94,0.0512,0.0039
5.69,7.34,0.0601,0.0044
5.7,7.61,0.0634,0.004
5.71,7.88,0.0667,0.0044
5.72,8.23,0.0686,0.006
5.73,8.98,0.0716,0.0049
5.74,8.98,0.077,0.0049
5.75,8.98,0.0793,0.0049
5.76,11.07,0.0819,-0.0006
5.77,11.49,0.089,0.0003
5.78,12.29,0.0918,0
5.79,12.62,0.0942,0.001
