Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0.0,1.0,0.5,732.0,1.7629910785813678,0.04522625472076083,97.40163212571217,118.57589997912781,206.44712604318954,99.1138213356522,127.88239312082601,57.52005997122209,142.75981837907017,2.5663251469958483
1.0,1.5,1.25,125.0,3.5902370109964816,0.08292885342521208,134.8774724429818,164.19866210449933,302.76056543392906,159.7869699867127,215.82391725790396,91.54700942636212,206.26713804936617,2.313263999022869
1.5,2.0,1.75,564.0,3.3926883562375627,0.0635985844691106,135.29889096185394,164.71169334486572,306.47641338843766,165.37147743352975,207.46111284840273,97.65759097116685,217.13515100373462,2.2708676713746976
2.0,2.5,2.25,207.0,5.284825655947631,0.033755879279320354,137.6398910041596,167.5616064398467,372.2456926344337,165.2304480506399,155.74883858868753,105.96806908884074,213.90724463790878,1.84510546380664
2.5,3.0,2.75,141.0,8.987392770150569,0.04929041364247327,158.11064512380003,192.48252449853902,465.1475027434549,188.74628603142153,175.93429851997308,124.84980839762838,237.39674734639715,1.6605877467751065
3.0,3.5,3.25,147.0,2.006353115752966,0.02877493176123688,126.03986630486656,153.43983724070716,266.7525499209889,154.63962380429726,168.40437020806067,100.80005267541199,228.40094930521485,2.423120600513956
3.5,4.0,3.75,154.0,4.225309123351366,0.08009653230887281,162.11846089246572,197.36160456474073,359.5583602665416,199.6276634082246,251.19311314587944,127.13678778700483,272.05863704960325,2.268608113522007
4.0,4.5,4.25,150.0,4.556605510844552,0.0361478658708978,155.32178083230525,189.0873853610673,374.6949206975039,176.29154331876467,169.90283025380597,124.58427032072164,253.38094341487658,2.0595264374934152
4.5,5.0,4.75,157.0,4.0867190826173365,0.032317919436537265,154.65448784727448,188.27502868363857,363.3793131527275,172.02707915982307,164.24423088412328,125.3364471862686,256.65425935729303,2.1167449845506607
5.0,5.5,5.25,230.0,4.568845909565425,0.034581390994235954,159.80844978294004,194.54941712705735,382.78087518557237,177.49709226171623,170.49438400362544,131.70352620912274,265.7944059715916,2.063640167822324
5.5,6.0,5.75,206.0,5.185791393952695,0.06126834788334673,176.66971385237616,215.07617338550168,405.69443760840187,196.45229227593603,212.97397279118985,144.25680505812716,293.26199411608553,2.1519584405930896
6.0,6.5,6.25,264.0,12.226697154762679,0.056999192055450516,194.4126366139431,236.67625326914845,567.5872268396085,214.5042631942248,190.70379788392313,166.055480119902,298.61329001407944,1.6300448323251908
6.5,7.0,6.75,263.0,13.664097088623112,0.07062608917066203,204.5504545651149,249.01794468796604,596.7583445227431,225.7522438573851,208.0571334397431,175.4829496432863,313.35440297184624,1.62530021082601
7.0,7.5,7.25,281.0,11.89687506700229,0.11559523367580476,220.3824547367364,268.2916840273316,569.9994053600979,242.8064345935499,267.7025467101016,182.79776792358547,339.8349629200366,1.854758497028555
7.5,8.5,8.0,429.0,14.050353424824918,0.09684539589286432,221.74629119688134,269.9520066744638,613.3239678710355,242.03549021480273,243.76357492673773,189.5981478393106,340.8664675939168,1.714520225246797
8.5,9.0,8.75,281.0,12.021657025237412,0.04132388890429006,200.03360773035675,243.51917462826006,583.0623434258063,209.71037876238825,170.98988707483744,177.12104711847567,311.82283413809876,1.6182935484210885
9.0,9.5,9.25,228.0,13.379846119158497,0.03363428854074752,198.5245025778911,241.68200313830226,610.7401212447047,208.5875455275746,159.39467439469868,179.5796501702137,308.1330242441044,1.5206936171452927
9.5,10.0,9.75,245.0,11.328583229364888,0.1025081694905697,228.96126301710285,278.73545062951666,576.0904290754472,240.34867307093324,255.78165887036056,195.15522123017706,360.5031082625444,1.897510848954651
10.0,10.5,10.25,181.0,5.505348328614702,0.05945787103413259,197.0917896376529,239.9378308632297,439.4230582526696,200.98390214406666,211.50156387239605,170.47494427763914,338.32758087504715,2.1859429735279075
10.5,11.0,10.75,169.0,8.47210960954487,0.12653688866141832,229.8821122261064,279.85648444917285,520.4560301574578,239.29401057313763,286.10785756256837,195.70283925803875,378.9661641906686,2.1335241655715227
11.0,11.5,11.25,242.0,3.94397415341322,0.034981941532963065,184.8483064037358,225.03272083933084,390.36905036312896,177.87308069366352,173.98175980424242,159.56151776422038,322.5173405043248,2.3250098383112663
