Depth,qc,fs,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.02,1.061,0.0149,0.0149,0.0467,55.72964320473754,67.8447830318544,126.7717929408395,36.418278256385285,37.24437897769739,21.16321467566105,57.60031428141285,2.597064997450276,230.5
0.04,2.063,0.0149,0.0149,0.0029,67.84408875344782,82.59280369984953,174.47476895862653,47.05586721882787,42.60499753744521,28.23922994054089,68.97988125140773,2.206689712438835,230.5
0.06,2.307,0.0193,0.0193,-0.0034,74.25931824372766,90.40264829671194,189.50278634494083,54.85723297008183,51.94521282525893,32.81889699843912,79.11175594747483,2.197381903942777,230.5
0.08,2.319,0.0193,0.0193,-0.0033,77.01775357828743,93.76074348661078,195.3650730560961,59.05441877356099,55.866478382922125,35.57798960124813,85.08778099388552,2.19436454031161,230.5
0.1,2.223,0.0138,0.0138,-0.0033,76.34043149630676,92.93617747376476,196.52823985240065,59.30342465891811,52.019461778336776,36.59207773036617,86.16113051228575,2.1472413330945823,230.5
0.12,2.171,0.0138,0.0138,-0.0057,77.81714737885147,94.733918548167,198.2892683879612,61.856222957783935,54.49147618956962,38.36358533718311,90.21280250166464,2.161393080630611,230.5
0.14,2.115,0.0131,0.0131,-0.0057,78.66385106915152,95.76468825809752,199.3375628574827,63.614046703972825,55.61595503375584,39.72095009972929,93.1499687686115,2.1662220005888537,230.5
0.16,2.087,0.0133,0.0133,-0.0048,79.92706317713076,97.30251169389832,200.97057539805127,65.77023247243504,57.843284735260646,41.195909656132855,96.5311078549603,2.177189811893884,230.5
0.18,2.109,0.0127,0.0127,-0.0048,80.91311589230443,98.5029236949793,204.14420208218968,67.40441805661,58.53734507740119,42.46844073096784,98.86358381165527,2.1617570150402776,230.5
0.2,2.152,0.012,0.012,-0.0056,81.8303929312907,99.61960878591913,207.8761683408441,68.86698030138004,58.83045150130668,43.65213520374025,100.8038081378992,2.138795716962175,230.5
0.22,2.152,0.013,0.013,-0.0058,83.36889282322394,101.49256517609872,209.8454193989012,71.23140374243452,61.98088228585567,45.122994492131056,104.34421166092844,2.154838886457111,230.5
0.24,2.271,0.0181,0.0181,-0.0058,87.48453362918143,106.50291050509044,216.06003835213676,76.65500505232166,71.62310807936983,47.88496091212037,111.40057207858494,2.1932802604857744,230.5
0.26,2.271,0.0181,0.0181,-0.0043,88.36209771406796,107.57124939103926,217.7899437006037,78.23007343025543,73.09498169062569,48.96243441125138,113.6795207361225,2.193288920517399,230.5
0.28,2.462,0.0238,0.0238,-0.0042,92.62748300447385,112.76389235327248,226.2702305619312,83.80302502985035,82.91177553858495,51.72840912474796,120.09952045568008,2.207864859738211,230.5
0.3,2.788,0.0238,0.0238,-0.0034,95.09407122471148,115.7666954039966,238.91296934049112,86.59533423437364,83.64673431504497,53.6828517020608,122.3267968397046,2.133069086183574,230.5
0.32,3.029,0.0306,0.0306,-0.0034,99.50337773292723,121.13454680530272,248.1831396428952,92.4325705072444,94.22206094830112,56.476983271123856,128.54882164321455,2.143774882082929,230.5
0.34,3.242,0.0306,0.0306,-0.0033,101.18091557895426,123.17676679177042,256.2456832700087,94.66780349461094,95.21836898307616,58.00172553037884,130.60136713024428,2.102683951857199,230.5
0.36,3.378,0.0361,0.0361,-0.0033,104.31889108702391,126.99691088855089,261.77783236988296,99.1494650137342,103.77505206292048,60.09938182082761,135.42296112025198,2.1193951914969773,230.5
0.38,3.554,0.0361,0.0361,-0.0037,105.7272152013442,128.71139241902773,268.33754207009866,101.16950251511588,104.8226550561457,61.45738393025816,137.33974937494202,2.088593878822138,230.5
0.4,3.661,0.0375,0.0375,-0.0037,107.26907536239204,130.5884395716077,272.77769230146697,103.5397234789887,107.8510245461386,62.804889635449285,139.85423951034065,2.080362403518357,230.5
0.42,3.922,0.0407,0.0407,-0.0042,109.89103491636098,133.78039033296122,281.4034356325488,107.1540296029299,112.8093464383456,64.73550713135121,143.17957047444062,2.059711754554979,230.5
0.44,4.085,0.0422,0.0422,-0.0042,111.55827698086848,135.81007632453554,287.1351872926817,109.64904617544344,115.7507341400913,66.16224867244593,145.60179278071584,2.04441489963463,230.5
0.46,4.394,0.0445,0.0445,-0.0052,113.88386732174358,138.64122978299218,296.5443450644032,112.87880841355972,119.32755165284352,67.99081212644188,148.34791700401038,2.0139988326702865,230.5
0.48,4.394,0.0459,0.0459,-0.0052,114.91511685444084,139.8966639967106,297.7964414901588,114.75752284287417,122.4706239879886,68.97714067095143,150.55895854747928,2.0222685839579158,230.5
0.5,4.364,0.0469,0.0469,-0.0052,115.70480980942992,140.85802933321904,298.2207191175721,116.33878128467984,125.16042970170504,69.82038399472833,152.54106814737474,2.0322565810869317,230.5
0.52,4.364,0.0458,0.0458,-0.0055,115.9407446007752,141.1452542965959,299.37934384674844,117.07948803952564,125.04324449293355,70.44691674258429,153.58763767449554,2.0259803294999905,230.5
0.54,4.23,0.0433,0.0433,-0.0058,115.27671619288242,140.3368718869873,296.9387345983941,116.71901568603914,123.3194355827373,70.54151725600806,153.89826433644032,2.030214605712504,230.5
0.56,4.23,0.0433,0.0433,-0.0062,115.80016047442608,140.97410840364915,298.00760515881336,117.83599196454644,124.5021819254796,71.25832388734497,155.32081885341046,2.0302777611110057,230.5
0.58,4.111,0.0395,0.0395,-0.0066,114.66449618721197,139.5915605757363,295.7994637230841,116.73976905922724,120.67806090719432,71.117552299256,154.81315861712744,2.023778391997606,230.5
0.6,4.111,0.0395,0.0395,-0.0074,115.14972889947649,140.18227866023224,296.78949558288593,117.77054711156208,121.74667834141157,71.79097742040977,156.14671625850056,2.0238547693941698,230.5
0.62,4.125,0.0408,0.0408,-0.0071,116.10713956293856,141.34782207662084,298.14323519738275,119.45779835939815,124.60852687376436,72.67893511530865,158.11563309463594,2.030222722645064,230.5
0.64,4.286,0.0408,0.0408,-0.0066,117.10364494210552,142.56095905995457,303.4925226926408,120.98003019397734,125.22899244477622,73.72862953339857,159.4359654922891,2.0069189716109204,230.5
0.66,4.449,0.0436,0.0436,-0.0066,119.00674997619784,144.8777825797191,308.7914107489908,123.83216635568311,129.79184146805846,75.1758248723269,162.11931367568766,2.0015504353767835,230.5
0.68,4.819,0.0505,0.0505,-0.0042,122.74236355409366,149.42548606585316,319.3172348947348,129.1218694401621,139.31341563757434,77.62011511954967,166.5966525176593,1.9919210628539112,230.5
0.7,5.077,0.055,0.055,-0.0042,125.25361194152624,152.48265801577108,326.6799976882823,132.83258893423425,145.6567827340589,79.39855760678553,169.76110840978478,1.9833215653882663,230.5
0.72,5.776,0.063,0.063,-0.004,129.7509943121609,157.95773220610894,344.14215543590086,139.08731603199254,155.13696669575592,82.44718597049396,174.18677947601608,1.942049405710832,230.5
