Depth,qc,fs,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.01,1.9844,0.003,0.003,0.0,51.01949303890941,62.11068717780277,149.84343275923644,27.530160377604066,18.88140080709824,16.72158707074806,39.42647725732414,1.982625358913959,522.0
0.02,2.2881,0.006,0.006,-0.0002,58.897843565697485,71.70172260171869,169.45797684050228,35.47714551254689,26.218574144709105,21.92073519380119,51.46833533348486,1.9856776592228012,522.0
0.03,2.4611,0.0121,0.0121,-0.0004,65.94914951303376,80.28592114630197,181.3780008685113,43.00744555920093,35.9580918925995,26.281571552277384,62.506889451999925,2.0611413127429863,522.0
0.04,2.6494,0.0242,0.0242,-0.0004,73.63873151154257,89.64715140535617,191.9485738042111,51.60228830748153,50.547500712689846,30.477575836189,73.60515346466728,2.1665626790987407,522.0
0.05,2.7763,0.0238,0.0238,-0.0006,76.0775340765412,92.61612844100668,199.77389289476585,54.94768800313735,53.10232612810035,32.60217184599048,77.73844017256617,2.1345794896990617,522.0
0.06,2.8916,0.0256,0.0256,-0.0007,78.83538651344053,95.9735140163624,206.59865688940013,58.59060014422331,57.30933026297495,34.7081679940636,82.20829481346651,2.12740640991782,522.0
0.07,2.9109,0.026,0.026,-0.0007,80.55902186703666,98.0718527076968,210.3095050674475,61.20881452220862,60.04960018641886,36.309293219580105,85.65444327967924,2.1271397269159933,522.0
0.08,2.9109,0.0261,0.0261,-0.0007,81.93750816163204,99.75000993589988,213.10817213901504,63.42027457061616,62.285793153356,37.69449511593172,88.64180480414595,2.128093565858044,522.0
0.09,2.8839,0.026,0.026,-0.0007,83.00530391688885,101.04993520316904,214.8414846170794,65.28127683323197,64.16212537260428,38.88455891194836,91.27114503917882,2.132820825905402,522.0
0.1,2.8417,0.026,0.026,-0.0006,83.92722584043707,102.17227493618428,215.87561090857892,66.96776110450419,66.00871472671454,39.95543613810485,93.72657983455684,2.141728956072234,522.0
0.11,2.8032,0.0258,0.0258,-0.0006,84.69884470401217,103.11163703097134,216.78954879114224,68.44109428081605,67.49631477052054,40.92150646485971,95.90810426787122,2.1481303096508384,522.0
0.12,2.7609,0.0253,0.0253,-0.0006,85.26803796658943,103.80456795932626,217.39863046854344,69.65277901427542,68.52421906532673,41.76384835064697,97.78270641245712,2.15264445979508,522.0
0.13,2.6994,0.0251,0.0251,-0.0005,85.77887533704556,104.42645693205549,217.25110425540612,70.81763810188244,69.82278061234693,42.53725658486328,99.66355741825778,2.16434484414442,522.0
0.14,2.6648,0.0241,0.0241,-0.0004,86.06353256324718,104.7729961639531,217.77558097700648,71.61598943347013,70.00344063481805,43.196099879835,101.00486259128536,2.1624866941994005,522.0
0.15,2.5457,0.0219,0.0219,-0.0002,85.43289887880803,104.00526820028804,215.4727078763866,71.45402108010312,68.66527356887175,43.39745830860126,101.47791893679766,2.1675805071623997,522.0
0.16,2.4649,0.0214,0.0214,-0.0002,85.53113893535334,104.12486479086496,214.19829394043776,72.09701839897265,69.28347577902653,43.89414776016971,102.81470089290752,2.1816179779648266,522.0
0.17,2.4226,0.0212,0.0212,-0.0002,85.8844397978977,104.55497018874505,214.06753470727364,72.95025372056553,70.16028044666369,44.49437044381928,104.26311096691718,2.1898677657236534,522.0
0.18,2.3957,0.0205,0.0205,0.0001,86.0797905321553,104.7927884739282,214.36794041735823,73.54254057406838,70.25340548158418,45.00879855516974,105.31239781178202,2.1888728129200734,522.0
0.19,2.3803,0.0196,0.0196,-0.0002,86.21077880833549,104.95225246232148,214.9862173316853,74.00341955503879,69.95291490510772,45.47822880453191,106.13650445321876,2.1825768345616905,522.0
0.2,2.365,0.0195,0.0195,-0.0002,86.63923253760287,105.47384830664696,215.5490701189392,74.84304290358541,70.73915304507467,46.06899301230358,107.44623306694872,2.185317217398165,522.0
0.21,2.3419,0.0185,0.0185,-0.0002,86.61353524136405,105.44256464166058,215.78213159293207,75.10156031869096,70.15343457875414,46.42884525220539,108.03099284425733,2.179407953387741,522.0
0.22,2.315,0.018,0.018,-0.0002,86.74864251290505,105.60704305918875,215.8236110753159,75.57375184277164,70.25318136998033,46.84834891064881,108.91201590585877,2.1802532362571205,522.0
0.23,2.2689,0.0178,0.0178,0.0,86.88395441461834,105.77177059170928,215.11756521454063,76.10265267889918,70.80891695156862,47.249849849891326,109.9675455598603,2.1898015688142403,522.0
0.24,2.1997,0.0175,0.0175,0.0,86.81127074544051,105.6832861248841,213.48487178802807,76.43285588488179,71.2191027592278,47.53232344683636,110.8872557033523,2.20454687663668,522.0
0.25,2.1362,0.0167,0.0167,-0.0003,86.50470593886381,105.31007679513856,211.9620915533261,76.42705454836447,70.75911780555886,47.68689524132817,111.33483478595586,2.2117657043386205,522.0
0.26,2.0728,0.0162,0.0162,-0.0004,86.29944746178525,105.06019690999943,210.3509886929719,76.55750301847046,70.73389966965492,47.880031289969885,111.97665477249356,2.223109606079858,522.0
0.27,2.0728,0.0156,0.0156,-0.0004,86.41539391724484,105.2013491166459,211.1383915758732,76.87175429996617,70.35972856499963,48.23369765000042,112.49766550687166,2.214989728132492,522.0
0.28,2.0497,0.0154,0.0154,-0.0006,86.56202357603212,105.37985478821302,210.99320305631187,77.31609501303623,70.68680905427028,48.59318650438025,113.3378420105666,2.2189277219507884,522.0
0.29,2.0305,0.0148,0.0148,-0.0007,86.51508256994441,105.3227092155845,210.9668560016763,77.47357440698558,70.26303048000452,48.84172791133287,113.7513956977161,2.216077171273652,522.0
0.3,1.9767,0.0143,0.0143,-0.0007,86.2698851727671,105.02420803641212,209.51569645569404,77.49576234620203,70.03804399776506,48.97403561159503,114.19710107508484,2.224758643627884,522.0
0.31,1.9267,0.0133,0.0133,-0.0006,85.75098981636596,104.3925093416629,208.1504378711831,77.11895135241379,68.80892058642186,48.94510788504588,114.04666805067602,2.2248021629430803,522.0
0.32,1.8652,0.0128,0.0128,-0.001,85.38585988603255,103.9480033395179,206.23074237067985,77.00658787040291,68.48334971621013,48.992816064122486,114.36769386501948,2.236117988171313,522.0
0.33,1.7922,0.0122,0.0122,-0.0011,84.84454393799949,103.28901001147764,203.72790404444768,76.70625302380442,67.93071406080084,48.93507027635368,114.51058150171497,2.249891871758381,522.0
0.34,1.6807,0.0112,0.0112,-0.0011,83.71811422424015,101.91770427298802,199.37761199679025,75.78683137936888,66.54611281058386,48.54278025582325,114.04884510976224,2.270481791919029,522.0
0.35,1.6077,0.0102,0.0102,-0.0011,82.81115403576904,100.81357882615362,196.58701793330533,74.9887122987842,64.9592434969917,48.247640033824005,113.46264672009325,2.278101290692259,522.0
0.36,1.5615,0.0099,0.0099,-0.001,82.52115885340316,100.46054121283863,194.95310289950496,74.92807804095317,64.79957774021221,48.30339828697185,113.8070258924364,2.2894017793081813,522.0
0.37,1.5626,0.0091,0.0091,-0.001,82.28111453712417,100.16831334954249,195.5352301071354,74.65636319212486,63.36875181730986,48.3384170035241,113.3508148400986,2.272921489178599,522.0
0.38,1.5637,0.009,0.009,-0.001,82.49607114276068,100.42999965205648,196.10487127526488,75.03760797842344,63.5333775250952,48.65840691636591,113.95496891926472,2.2704908597832976,522.0
0.39,1.5693,0.009,0.009,-0.001,82.81187855280783,100.8144608468965,196.8785233912504,75.53741444120763,63.91910324945358,49.03628634375728,114.70935860663928,2.268469340347512,522.0
0.4,1.5807,0.0089,0.0089,-0.0008,83.10134595612944,101.16685594659236,197.9209782556808,75.96587807691823,64.04962908165983,49.388313066827045,115.28508391784204,2.262212523868456,522.0
0.41,1.6346,0.0089,0.0089,-0.0009,83.80583467892595,102.02449439173594,200.962390825956,76.75788662253989,64.35593612374456,49.96919590916802,116.03633871342944,2.242796411247244,522.0
0.42,1.7076,0.0089,0.0089,-0.0009,84.63996525962037,103.03995770736393,204.8329999635681,77.65572075459241,64.63718728845747,50.62255971303368,116.78368751083067,2.217502622673955,522.0
0.43,1.8114,0.0089,0.0089,-0.0009,85.6692676767137,104.29302151947756,209.99190535788543,78.71981552996597,64.88699967650456,51.38963020370404,117.5323126765496,2.183382325708678,522.0
0.44,1.9037,0.0089,0.0089,-0.0009,86.56735623401205,105.38634671966686,214.5047409665826,79.69141564821066,65.15494960773067,52.09058359353099,118.26139903239266,2.15471158762789,522.0
0.45,2.0151,0.0089,0.0089,-0.0007,87.55007387605148,106.58269863171486,219.70591203698785,80.74827871065018,65.41117913222615,52.8480519455255,118.98576772449748,2.1219540588352395,522.0
0.46,2.1151,0.0089,0.0089,-0.0004,88.41445563588215,107.63498946976958,224.29873393048263,81.71901114761806,65.6825158835875,53.54408742821379,119.69214124013364,2.09411586133168,522.0
0.47,2.2227,0.0091,0.0091,-0.0002,89.43736057965437,108.88026505349228,229.0797436457193,82.91277378516118,66.41093250603616,54.35159650262419,120.737676168343,2.069528452942548,522.0
0.48,2.2996,0.0101,0.0101,-0.0002,90.84478705946292,110.59365381152008,232.5598142766893,84.71864755674957,68.94496487318747,55.4165509276375,123.06988480059309,2.068548655375473,522.0
0.49,2.2804,0.0101,0.0101,-0.0002,90.9718061126206,110.74828570232074,232.2898395671369,85.04848508373365,69.30983086531167,55.667868919237215,123.70590302669508,2.073436138752954,522.0
0.5,2.2905,0.0102,0.0102,-0.0003,91.33021044622708,111.18460402149384,233.14742717666127,85.61693291448015,69.8674456887439,56.06286154281307,124.5032456247499,2.0727189502036123,522.0
0.51,2.3006,0.0102,0.0102,-0.0004,91.61280032410144,111.52862648151482,233.99718090573225,86.08291027370068,70.1975894128644,56.40807340769723,125.1326542065816,2.0702185181194026,522.0
0.52,2.3534,0.01,0.01,-0.0002,91.9805506898934,111.97632257900064,236.48999968138315,86.5623656944452,70.03655410528701,56.805572407374655,125.44667361020944,2.053553133535356,522.0
0.53,2.4342,0.0098,0.0098,-0.0005,92.4797436122845,112.58403570191156,240.009415465066,87.16884563468822,69.85161362534645,57.28930849942656,125.7534696801286,2.030547848286513,522.0
0.54,2.4995,0.0098,0.0098,-0.0007,93.02930448842582,113.2530663337358,242.89658367206516,87.88688039034362,70.12785302207274,57.8077285425884,126.37433396516452,2.0153669405407384,522.0
0.55,2.5264,0.0097,0.0097,-0.0008,93.3010825361381,113.58392656573336,244.33466333948985,88.31146673274009,70.2010961756878,58.14347829672952,126.80324187480925,2.007463062355537,522.0
0.56,2.5226,0.0088,0.0088,-0.0008,92.78715497613072,112.95827562311568,244.63019179449347,87.7521557491234,68.45100650771977,57.95251988664377,125.77888825114096,1.9917574715036284,522.0
0.57,2.561,0.0089,0.0089,-0.0008,93.26106325293529,113.53520743835598,246.47766735825715,88.42361329306071,68.96366680325187,58.41997714555447,126.5432620695856,1.9850680292163363,522.0
0.58,2.5764,0.0084,0.0084,-0.0008,93.12969074234918,113.37527568633811,247.46854945861335,88.33905661388633,68.08511711523134,58.4725319410566,126.15510904430126,1.972192888178942,522.0
0.59,2.5956,0.0085,0.0085,-0.0006,93.5038960235918,113.83082994176394,248.59319798338925,88.9080683970124,68.59846891684533,58.87171551808449,126.9039482611522,1.9699271742267868,522.0
0.6,2.6379,0.0076,0.0076,-0.0008,93.13269262530125,113.37893015254063,250.54829265552928,88.48474321606133,66.7398999560082,58.73711318617002,125.6189330485163,1.9432351748863643,522.0
0.61,2.7033,0.0068,0.0068,-0.001,92.9054601809625,113.10229935073696,253.3161895904619,88.24215661928233,65.09171230157081,58.67195075376444,124.35704100165938,1.91329463958904,522.0
0.62,2.7609,0.0069,0.0069,-0.001,93.44249859302244,113.7560852436795,255.77616457420896,88.98521023356057,65.60710200337658,59.188656836403375,125.1264172744312,1.903708180865063,522.0
0.63,2.8186,0.0063,0.0063,-0.0011,93.31956037438236,113.60642132533503,258.21326051915736,88.90558327413174,64.43864634255031,59.18131049288431,124.17593345650204,1.8799187774084052,522.0
0.64,2.8916,0.006,0.006,-0.0011,93.52482365950844,113.8563070637494,261.15477852771414,89.24049971321281,64.0064103413819,59.41913328230663,123.90686649994916,1.859711034439396,522.0
0.65,2.9378,0.0059,0.0059,-0.001,93.80025661635084,114.19161675034016,263.1452501618009,89.67609804052863,64.03868785045601,59.72878132761837,124.13691853158844,1.849044368741925,522.0
0.66,2.9877,0.0059,0.0059,-0.001,94.18123170698615,114.65541251285272,265.244495758281,90.2439148176516,64.31221365904038,60.12848759143941,124.63287872656656,1.839957002936718,522.0
0.67,3.0262,0.0058,0.0058,-0.0008,94.4147821570914,114.93973479993736,266.94348022620943,90.63445506848022,64.33781474952636,60.40604472998636,124.8420702953226,1.8309994694458296,522.0
0.68,3.0608,0.0058,0.0058,-0.0011,94.72528428928466,115.3177373956509,268.49695084791045,91.12066917537912,64.59585686292704,60.75472471706137,125.32142605046576,1.8249118335474543,522.0
0.69,3.0992,0.0058,0.0058,-0.0011,95.0468855998492,115.70925203459905,270.16903565492265,91.62196253220382,64.8556535980993,61.11141456500423,125.79676172507644,1.818228795009752,522.0
0.7,3.153,0.0058,0.0058,-0.0012,95.42249052427113,116.1665102034605,272.3382347105343,92.19277950005554,65.12804086720436,61.50860159287589,126.27162110516548,1.809008841015501,522.0
0.71,3.2069,0.006,0.006,-0.0012,95.98543313973936,116.85183164837838,274.49267717211154,92.99448067408758,65.86590694485139,62.076968167960366,127.30129225775885,1.8039130700252768,522.0
0.72,3.253,0.006,0.006,-0.0012,96.32138553363951,117.26081717138726,276.3758895346735,93.52135643266244,66.1274553855554,62.447019631331926,127.76604212155058,1.796257652546983,522.0
0.73,3.303,0.0063,0.0063,-0.0012,96.95318783654255,118.02996780100835,278.3709672045583,94.41073291657575,67.08506101471274,63.07970858892038,129.0430543424333,1.7938995909667752,522.0
0.74,3.3529,0.0065,0.0065,-0.0012,97.4822804134922,118.6740805033818,280.3474952806375,95.1782157930047,67.80586053260821,63.620432359708914,130.02960082251766,1.78964026296141,522.0
