Depth,qc,fs,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.01,0.9529,0.0039,0.0039,-0.0004,45.60540558406858,55.51962418930088,113.2207947366488,24.99534739334261,19.4164059574102,15.376553388316651,40.573559005615486,2.408890709047719,732.0
0.02,1.0644,0.0077,0.0077,-0.0004,52.9603949076412,64.47352423538928,126.49912883038576,32.71399794761532,28.548942312189965,20.04407378079084,52.86457128819377,2.461909891855252,732.0
0.03,1.2527,0.0154,0.0154,-0.0006,60.46388012333328,73.60820188927529,140.13313626729956,40.789639207238274,40.84805448788145,24.328298219053885,64.17608131788258,2.5106809676045567,732.0
0.04,1.5449,0.0308,0.0308,-0.0008,69.10686037317019,84.13009088907675,156.20355387795587,50.33233781784735,58.74925025418239,28.7701326179285,75.64677001199723,2.552661581040187,732.0
0.05,1.6602,0.0298,0.0298,-0.0009,71.731436172686,87.32522664500905,164.14421094913132,53.59130919447066,61.059584888394674,30.8456930898099,79.74004343072542,2.5005122476611854,732.0
0.06,1.7294,0.0325,0.0325,-0.001,74.49982586822216,90.6954401874009,169.7610927675453,57.32744477502595,66.47830618720221,32.87661796362007,84.47676707216412,2.4981338820738404,732.0
0.07,1.8255,0.0334,0.0334,-0.001,76.84818026034502,93.55430640389828,175.97000732399627,60.35401777219945,69.80240767981705,34.66290999262625,88.18420942897956,2.472400349936571,732.0
0.08,1.8909,0.0338,0.0338,-0.0012,78.6911733060705,95.797950111738,180.72433965861197,62.88436974218319,72.47633097502613,36.19238460853092,91.37934495160007,2.454153352889133,732.0
0.09,1.9216,0.0373,0.0373,-0.0014,80.840425283737,98.41443078020156,183.97112171680672,66.05476766275966,78.18536644868362,37.79171007969343,95.36837102277684,2.4703158538101198,732.0
0.1,1.9447,0.0385,0.0385,-0.0012,82.32739538155776,100.2246552471138,186.75214525315025,68.35880176990575,81.50529870334967,39.08461515063089,98.3574270871981,2.471490685712096,732.0
