Depth,qc,fs,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.02,1.1561,0.0023,0.0023,-0.0004,50.153789247172,61.056786909600696,130.55637550292664,29.10296768400758,20.440272993370552,18.348430024779624,45.207566411297954,2.2376791083942087,398.0
0.03,1.5684,0.0047,0.0047,-0.0004,57.59965817638338,70.12132299733629,152.69837121577672,35.90434977233134,26.846992268383996,22.771279715606404,55.09225321897842,2.1597231543276423,398.0
0.04,1.8304,0.0093,0.0093,-0.0003,64.07905939856239,78.0092897025977,166.66117059728452,42.57481789957636,35.33813906655714,26.692005788004494,64.82261651014953,2.183300478898725,398.0
0.05,1.946,0.0186,0.0186,-0.0002,70.50415021684921,85.83113939442514,174.41769224069944,49.995824849647,48.41152291560741,30.348527699442013,75.08885919199483,2.2904361519259795,398.0
0.06,2.1118,0.0373,0.0373,-0.0003,78.09685330641516,95.0744301121576,183.228479036764,59.27381091466868,68.82766296856082,34.22517715380534,86.1304270447471,2.4125638824429507,398.0
0.07,2.1888,0.0425,0.0425,-0.0003,81.13695325924083,98.7754213590758,188.6089220940901,63.54466652223047,76.25806775682273,36.29953275407929,91.11243332635472,2.4256344493063304,398.0
0.08,3.0906,0.0429,0.0429,-0.0003,87.11571898565325,106.0539187651431,218.0431210963224,68.70949903627891,77.09979218955141,39.62205147744186,94.5991614711984,2.2176850062729,398.0
0.09,3.5145,0.0445,0.0445,-0.0003,90.37529517659677,110.02209847585692,231.70233136895808,72.48051226237503,80.13834205028162,41.83265919125113,98.01878208871756,2.149118041715459,398.0
0.1,4.0116,0.0473,0.0473,-0.0002,93.83945438135352,114.23933576860428,246.26859344807875,76.53526050565105,83.94835294384721,44.12747070991589,101.56784877434472,2.084804598052316,398.0
0.11,4.6166,0.0485,0.0485,0.0,96.90032968444288,117.96561874627828,262.3084774273485,80.1662778856239,86.12341851736085,46.33444415041224,104.49476061692629,2.005849829898965,398.0
0.12,5.2871,0.0522,0.0522,0.0017,100.38271589053204,122.20504543195204,278.65193191703133,84.42786796561741,90.2757043206647,48.70125857389254,107.95470767284834,1.94291268472903,398.0
0.13,5.7033,0.0703,0.0703,0.0004,106.2709706412689,129.3733555632839,289.1121117915134,91.77026993475886,106.34356058021336,51.60283264667666,114.57423067594311,1.979828228753908,398.0
0.14,6.3545,0.0736,0.0736,0.0005,109.19247945414368,132.92997498765317,303.5216869146984,95.60293117801616,110.0004795097685,53.70763080190764,117.53496072642518,1.926765328573608,398.0
0.15,6.632,0.0742,0.0742,0.0006,110.74055532993802,134.81458909731586,310.6330024771017,98.04171817274654,112.11682439713805,55.12283274013448,119.76875113703085,1.9029106310166624,398.0
0.16,6.8401,0.075,0.075,0.0013,112.14361313203209,136.5226594650825,316.33802060504473,100.3264316978356,114.40731803403185,56.42119184667384,121.93813192302083,1.8870685407581536,398.0
0.17,6.7514,0.0773,0.0773,0.0032,113.32243388383206,137.9577455977086,316.6663877048722,102.4137744167574,118.29529061729389,57.41617197214145,124.29801156187833,1.9038463123408893,398.0
0.18,6.6166,0.0773,0.0773,0.002,113.89457377247436,138.6542637230123,316.0151356141648,103.77446664419791,120.37069883243578,58.16662965457357,126.0897348685244,1.9162625747138256,398.0
0.19,6.5761,0.0772,0.0772,0.0019,114.56846548651568,139.47465363575824,316.96658239670126,105.1981212526238,122.1250239051437,58.98899686537774,127.7990518337792,1.9196722199992375,398.0
0.2,6.5356,0.0772,0.0772,0.0019,115.22661216056429,140.2758756737304,317.82936107842033,106.58083427863411,123.8895007436047,59.78297243703775,129.4624154996871,1.9234812781948771,398.0
0.21,6.578,0.0768,0.0768,0.0019,115.92103840320092,141.1212641430272,320.1581074202136,107.95281749365276,125.09824614864397,60.629681299141374,130.98817465695288,1.9180147108797696,398.0
0.22,6.4509,0.0756,0.0756,0.004,116.10479363405814,141.3449661632012,319.2557505305813,108.74283415262424,125.8563140360722,61.166546673260974,132.2487931005115,1.9253815391308768,398.0
0.23,5.9923,0.0745,0.0745,0.0102,115.59877975379142,140.7289492654852,311.7824119239778,108.83477496477776,127.27070677524956,61.19847539773557,133.4170721022611,1.9662674266189044,398.0
0.24,5.842,0.0747,0.0747,0.0046,115.92211193859936,141.1225710556862,310.0536885898365,109.80307309903944,129.20230087597182,61.71447257000749,134.8830672528425,1.9827688606288707,398.0
0.25,5.6301,0.0739,0.0739,0.0024,115.85455706835,141.04033034407828,306.9380361653177,110.3103081690057,130.32868369976427,62.03216708727792,136.05552227827977,2.00238276442076,398.0
0.26,5.5145,0.0731,0.0731,0.0002,115.97280259557904,141.1842814207049,305.6907257522801,110.96815380858334,131.1952658310714,62.46869599502233,137.1969374067762,2.012027706166758,398.0
0.27,5.3603,0.0713,0.0713,-0.0005,115.75181668663616,140.91525509677444,303.5257247795014,111.20199806340906,131.15283116848673,62.740302792383474,138.03601910140142,2.022258780970521,398.0
0.28,5.052,0.0665,0.0665,-0.0005,114.42360161532147,139.29829761865224,297.8048114609963,110.10865045862336,128.46764121792032,62.47707278580256,137.9949457130098,2.038617872928283,398.0
0.29,4.9249,0.066,0.066,-0.0004,114.4585824800274,139.34088301916378,295.9469525835433,110.64387999004003,129.4525294046377,62.81911895290939,139.0627781671642,2.0521137254260413,398.0
0.3,4.8131,0.0645,0.0645,-0.0002,114.28577522575338,139.1305089704824,294.3494873916118,110.86711969103249,129.35143347799743,63.08413777611579,139.81833944082035,2.0596708823793883,398.0
