Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.01,0.137,0.005,0.137,0.005,0.0,30.416584364153405,37.02888531288241,53.97226063932524,19.71505234629568,22.362645622760294,11.871896316774157,41.30832527818553,3.5788737824109744,250.0
0.02,0.307,0.005,0.307,0.005,0.003,40.04463619085669,48.7499918845212,78.73287318591743,26.046450038998604,25.54846475504756,16.168383370285397,49.52121241420503,3.1019655232478325,250.0
0.03,0.425,0.007,0.425,0.007,0.002,46.14886945311089,56.18123237770021,92.76389935023892,31.50619301392164,31.58774676361124,19.50242763369674,57.46246551666712,2.980366223311021,250.0
0.04,0.425,0.007,0.425,0.007,0.002,47.827863747207495,58.22522543138304,95.44384591499391,33.91886529934674,34.00881268438008,21.12621249899563,61.80075154802376,2.980573264113695,250.0
0.05,0.51,0.008,0.51,0.008,0.0,51.54466717756479,62.750029607470175,104.57628024383328,37.42493596105796,37.511897094426246,23.333401738566504,66.62494816036748,2.901648952918915,250.0
0.06,0.799,0.009,0.799,0.009,0.0,58.1788375032448,70.82641087351541,126.40178175609064,42.2018056466891,40.1371344499304,26.443122390921037,71.08245096957863,2.661257072009755,250.0
0.07,1.266,0.011,1.266,0.011,0.0,65.50601485645508,79.74645286872793,153.01631321641156,47.86335575763384,43.98062432480712,29.98755963360581,76.12172442505579,2.4316304699688187,250.0
0.08,1.495,0.011,1.495,0.011,0.0,68.50884874287833,83.40207673046058,165.21983975745064,50.65145692860019,45.18870804196547,31.875775834819294,78.8342455987655,2.3339006764110986,250.0
0.09,1.631,0.014,1.631,0.014,0.001,71.92235386843244,87.55764818765688,172.81885205545873,54.56569490782938,50.786075377163904,34.026653451284965,83.85943156557269,2.332823957207937,250.0
0.1,1.852,0.015,1.852,0.015,0.001,74.80638225471084,91.0686392666045,183.315894538736,57.56339182347871,53.24873113349951,35.89001988608904,86.98255540070838,2.2723925473792224,250.0
