Depth,qc,fs,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.01,0.316,0.0058,0.0058,-0.0005,37.29143832423063,45.39827274254164,74.2632472270068,22.53413398840546,22.777432526005047,13.556178738106654,42.37435288496527,3.116270050447884,112.0
0.02,0.439,0.0067,0.0067,-0.0005,44.05394285378566,53.63088695243472,90.18428443022168,28.545791435789887,28.160777935916663,17.441477070078196,51.57797723130237,2.9526371094182173,112.0
0.03,0.539,0.0067,0.0067,-0.0005,48.364805553025526,58.878893716726736,101.53505815575416,32.472745384601666,30.89136630431637,20.10807621411936,57.23674318081698,2.8321496173571843,112.0
0.04,0.6543,0.0076,0.0076,-0.0005,52.571984015395365,64.00067619265523,112.49934285682164,36.41349805635455,34.47611785130463,22.63444788134233,62.664769915605326,2.743975957649708,112.0
0.05,0.8388,0.008,0.008,-0.0006,56.932050644759606,69.3085833936204,126.4609241003684,40.07307727149148,36.75465648912086,25.066561619973445,66.87071042941803,2.6086661025924123,112.0
0.06,1.0541,0.0084,0.0084,-0.0007,60.96705285876405,74.22076000197363,140.50773893994267,43.529374089452176,38.79963969639582,27.362390240305963,70.59235238652845,2.484755245263436,112.0
0.07,1.3539,0.0093,0.0093,-0.0007,65.41855714602657,79.63998261255409,156.98488420697416,47.40630244296049,41.4088968830864,29.859850676543623,74.51540797879238,2.358594757015981,112.0
0.08,1.5154,0.01,0.01,-0.0007,68.15122576579024,82.96670962791858,166.07188765390816,50.25919227563431,43.76589683217902,31.68639035587951,77.87129982981526,2.307051070752472,112.0
0.09,1.8652,0.0106,0.0106,-0.0007,71.80318234673516,87.41256981341671,181.89410992099448,53.642769504891874,45.66721789714056,33.898625263094175,80.96107028395744,2.197306144469722,112.0
0.1,2.0997,0.0113,0.0113,-0.0007,74.43872747549102,90.62105953538035,192.307805622125,56.44735088124767,47.76618445232437,35.695541745667825,83.91583429364074,2.1407090649108222,112.0
0.11,2.3534,0.0126,0.0126,-0.0007,77.2735273698948,94.07212027639368,202.77743645773572,59.54643795572584,50.63264022006677,37.59931497917632,87.2631375809468,2.095417727777811,112.0
0.12,2.7917,0.0149,0.0149,-0.0007,81.14059862392203,98.77985919433986,218.3213725274984,63.63744683424421,54.58620891927187,40.032228708678446,91.28643654016524,2.028894501539801,112.0
0.13,2.957,0.0171,0.0171,-0.0007,83.6311217423358,101.811800381974,224.9476642987987,66.68361374064133,58.50452300229385,41.74796809020911,94.87705981509828,2.023526280631269,112.0
0.14,3.3376,0.0184,0.0184,-0.0007,86.29847763814978,105.05901625513886,237.33146184256148,69.74750235634765,60.94437914258966,43.63106697173559,97.68544947696998,1.967471131501547,112.0
0.15,3.6105,0.0196,0.0196,-0.0007,88.40915489083636,107.62853638884428,246.2413610715537,72.36907691483736,63.31298586740443,45.21870756633218,100.28364979808204,1.9344479125060845,112.0
0.16,4.1948,0.0204,0.0204,-0.0007,90.97562853816802,110.75293908994368,262.4349496659693,75.43933542884878,64.85559028454904,47.19901152502273,102.5798586055658,1.8542035669259485,112.0
0.17,4.5216,0.0206,0.0206,-0.0007,92.45421368837174,112.55295579453951,271.6905376025649,77.50371478972089,65.88760916637878,48.56190003536827,104.35547350674736,1.8119373377654808,112.0
0.18,4.8522,0.0203,0.0203,-0.0007,93.58860924670812,113.93395908294904,280.69802943081896,79.24852968075842,66.28754015060434,49.78298373691885,105.72900142514206,1.767264435896805,112.0
0.19,5.4365,0.02,0.02,-0.0007,94.987924629484,115.63747346198056,294.73241861930626,81.42120764122011,66.51299925331,51.30773065674126,107.06799732198138,1.697415780181371,112.0
0.2,5.6633,0.0189,0.0189,-0.0007,95.3178411805701,116.03911100243316,300.8943276785782,82.38861035072995,65.97116817894835,52.10657280425888,107.70431269407077,1.6623500767443151,112.0
0.21,6.0747,0.0186,0.0186,-0.0007,96.21486112797368,117.13113528622884,310.5602854429403,84.06877028361454,66.28196146176718,53.28340101891071,108.87195047343278,1.6184938964976736,112.0
0.22,6.2515,0.0186,0.0186,-0.0006,96.95676888364744,118.03432733661428,315.4322910602459,85.43096838836115,67.03119432894984,54.200417585757926,110.18428549059882,1.601861465882835,112.0
0.23,6.3937,0.0185,0.0185,-0.0005,97.57687276163642,118.78923640547043,319.55771301677345,86.63976084812678,67.64521607659354,55.02774797649069,111.37091539800127,1.587832735687605,112.0
0.24,6.5475,0.0184,0.0184,-0.0006,98.17969161218866,119.5231028322297,323.83383305244666,87.8362211026306,68.22938155725089,55.84847265707832,112.517085780084,1.5730910184673987,112.0
0.25,6.7589,0.0182,0.0182,-0.0007,98.74556391660911,120.2119908550024,329.1158427730823,89.04802228668753,68.64990299314277,56.69349327049595,113.55047115991093,1.5527565054094967,112.0
0.26,6.8973,0.018,0.018,-0.0007,99.2218236439851,120.791785305721,332.9645035858438,90.0988296215196,69.07084831707324,57.42986883578145,114.53538066540904,1.539096470476272,112.0
0.27,6.9742,0.0181,0.0181,-0.0007,99.80612627837904,121.50311025193967,335.629449820666,91.18549838920252,69.85805676182204,58.15505414419354,115.72704423338284,1.5337259366939646,112.0
0.28,6.7858,0.0176,0.0176,-0.0007,99.81224974336708,121.51056490496862,333.3345641840961,91.41824302787582,69.94374373921688,58.378893488683694,116.34861877760426,1.5444746500617623,112.0
0.29,6.6167,0.017,0.017,-0.0007,99.7427135190828,121.42591211018777,331.2855178145423,91.57719369512972,69.8548807908415,58.56849911453431,116.83623547880906,1.552829129390977,112.0
0.3,6.5321,0.0164,0.0164,-0.0007,99.71975078812468,121.39795748119526,330.7692721772884,91.85164416954048,69.70240932681465,58.837901919137614,117.28231343747024,1.553934605347912,112.0
0.31,6.4937,0.0164,0.0164,-0.0007,100.0917110418838,121.85077865968464,331.09817770322746,92.55511251196684,70.30244415891033,59.32630403487597,118.25415431949348,1.557322444505003,112.0
0.32,6.4699,0.0165,0.0165,-0.0008,100.52742469755492,122.38121267528425,331.6745691013835,93.32966398035704,71.01920468331204,59.85079646665752,119.29884929563993,1.560499097171116,112.0
0.33,6.4611,0.0165,0.0165,-0.0008,100.90432847157813,122.84005205235596,332.5135887540547,94.05333145307084,71.58574438914412,60.35315753677882,120.230032020048,1.5612935832011048,112.0
0.34,6.4755,0.0167,0.0167,-0.0009,101.41790355503645,123.46527389308784,333.7811353799581,94.93371962541156,72.40629131463635,60.93653918377783,121.3334328536091,1.5621443419076733,112.0
0.35,6.4898,0.0173,0.0173,-0.0009,102.16969300835562,124.38049583625904,335.02258009985235,96.05389050685052,73.76532538362574,61.62939082662624,122.79070016228916,1.5671533498438832,112.0
0.36,6.5014,0.0176,0.0176,-0.0009,102.72373202345956,125.05497811551598,336.18750424510813,96.96661553333588,74.71076728951682,62.218632475019135,123.947332851822,1.5692330545561712,112.0
0.37,6.4706,0.0181,0.0181,-0.0009,103.34998603969514,125.8173743091941,336.48968690471924,97.90728921486073,75.94040819519394,62.79733879015285,125.26045820533736,1.5770924563387585,112.0
0.38,6.4322,0.018,0.018,-0.0009,103.59457647435735,126.11513657747854,336.612982634659,98.43943220245065,76.33918764950016,63.181372294082685,126.01211231354964,1.579529407707031,112.0
0.39,6.3168,0.0183,0.0183,-0.0009,103.994662950352,126.60219837434155,335.1538091553747,99.05066279971766,77.31680040161908,63.56072033745474,127.09879157026978,1.59307003629974,112.0
0.4,6.2707,0.0183,0.0183,-0.0009,104.27378964706664,126.9420047877333,335.05606868791904,99.60008063876003,77.84125666831964,63.942181439157096,127.90859057119796,1.597328101353793,112.0
0.41,6.2784,0.0182,0.0182,-0.0009,104.54180903800388,127.26828926365692,336.0336323189519,100.1856836719514,78.19125329170804,64.36472435370472,128.61968275917604,1.5956133169088786,112.0
