Depth,qc,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.01,0.3229,0.012,-0.0002,39.251145579029256,47.784003313600834,74.8837906747057,25.390453735236814,30.809741157002065,14.444272229001552,46.58224561081406,3.26533027986034
0.02,0.3729,0.0133,-0.0002,44.494875815319624,54.167674905606496,84.7377065531388,31.241087759297656,37.93016231248727,18.034045090587533,56.31846914785839,3.2035153621628076
0.03,0.4767,0.0147,-0.0003,49.736348983580555,60.548598762619804,96.88313116273031,36.20023908450198,43.08568469175091,21.086872517674042,63.33469748364112,3.0798224909325804
0.04,0.5959,0.0141,-0.0004,53.88506609242095,65.59921089512116,108.55313358695466,39.734318794851575,44.779246194735634,23.50718658298095,67.86028838246921,2.935694140967346
0.05,0.8073,0.0158,-0.0004,59.43107891936676,72.3508786844465,124.62727977125556,44.37691829751771,48.65721319744392,26.37746500861538,73.03594391636246,2.780145332856832
0.06,1.4108,0.0161,-0.0008,67.53303592826747,82.21413069528214,157.05734560195245,49.89903616599506,49.438151482460114,30.118507246517638,76.98842409409667,2.4499787299907023
0.07,1.63,0.0162,-0.0075,70.5658754630473,85.90628317240542,168.46846701765946,52.88949013587224,51.0895558762191,32.11440199378964,80.2004305367329,2.365689085725193
0.08,1.63,0.0162,-0.0095,71.74292066582737,87.3392077670942,170.6951227353413,54.73230336574929,52.87295879851358,33.3289476082228,82.95616414763649,2.365888285031267
0.09,1.7261,0.0162,-0.0083,73.48757462752684,89.46313432916311,176.5309731327628,56.80904833721318,54.294060354318695,34.72357915636795,85.50162134840434,2.331682312393544
0.1,1.7107,0.0158,-0.007,74.18828338589236,90.31617107847767,177.78156869775714,58.08860762611072,55.2552247766703,35.63554428122599,87.52067595936472,2.3314555575943725
0.11,1.6261,0.0149,-0.0037,74.08448467163277,90.18980742633555,176.04663955353362,58.657006612485716,55.489505102340885,36.149696356102254,88.94239285855029,2.348591750870407
