Depth,qc,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.02,1.6246,0.0597,0.0034,68.15727099774678,82.97406904073522,148.72919436002329,49.228924060470966,70.03700995767596,25.249775432711576,69.20803698229889,2.7020187790226387
0.04,1.6987,0.0697,0.0018,76.0387511682721,92.56891446572257,162.00397949488848,60.609799625064014,89.98472144981088,31.211570649923292,84.17905729323856,2.719939273702952
0.06,1.7706,0.0781,0.0036,81.50983878089374,99.22936895065325,171.35782915919788,68.9122240339294,105.42885926973602,35.47833683599535,94.69188185351278,2.727904181337294
0.08,1.9126,0.0879,0.0011,86.72588894285977,105.57934306087277,181.5389236990405,76.45916646710363,119.91957404623447,39.244770510967534,103.47706323908044,2.716339893974548
0.1,2.1288,0.0966,0.0008,91.84947044214326,111.81674662521787,193.33792460200212,83.39577671244403,132.20521772389208,42.738802015627016,110.92641562465707,2.679244043793518
0.12,2.5435,0.1078,0.0018,98.19372028214046,119.54018121304057,210.72037188827335,91.0493092162982,144.5798129066987,46.550005582997905,117.98675163278965,2.6034414177745644
0.14,3.1429,0.1084,-0.001,103.90595709980575,126.49420864324178,231.9359831161093,97.0752229654797,147.8135369020874,50.114620784735706,122.96009818706045,2.4754263311195324
0.16,3.8378,0.1214,0.0011,110.62647062157943,134.67570336540106,253.6825847593657,105.05421160833698,159.79605544370008,54.033261894139855,129.26255907120668,2.3877503163704867
0.18,4.643,0.1126,0.0005,114.5145021375899,139.4089591240225,276.01960553338233,108.96968995538683,155.0678598649674,57.02696728884833,132.06203956422604,2.2473536868530193
0.2,5.545,0.1119,-0.0003,118.82944832391698,144.66193708998588,298.4777377045521,114.05176901667113,156.06839746858594,60.211421762876775,135.69790008432213,2.1363974391448832
0.22,5.6633,0.1079,0.0024,119.99942187072793,146.08625271219051,303.7702917923143,116.31229115518396,156.4163351839446,61.82927100109045,138.37517918644275,2.1120840566802896
0.24,5.9857,0.1069,0.0009,122.00657803682262,148.52974717526232,312.93392775077626,119.44204693293118,158.26590147991945,63.800818457430566,141.34190871762576,2.075294388348884
0.26,6.341,0.1075,0.0,124.19434391321101,151.19311432912644,322.44078921505854,122.82586605369774,161.13190511359355,65.81093071352382,144.3999624078169,2.041653876211169
0.28,6.4967,0.1054,-0.0016,125.3614101111307,152.61389057007216,327.8260724977009,125.02175772513478,162.05321927859282,67.30561414950955,146.78238618049434,2.0207691753036414
0.3,6.5927,0.0941,0.0001,124.67331769663595,151.77621284807856,331.9415359721396,124.67248194870494,154.81364034890095,68.10995412012181,147.19706562404323,1.9771606230112289
0.32,6.5741,0.0937,-0.0068,125.55683699443017,152.85180155843673,333.65265179370243,126.57202047401627,157.04816695619928,69.29028235700684,149.53430460147644,1.9779174866755704
0.34,7.0105,0.0819,-0.0013,124.98968344510322,152.16135375925612,344.05110680899037,126.18917145269039,147.49739928101442,70.33303863630616,149.28266214319004,1.8980864046096382
0.36,6.5145,0.0764,-0.0011,123.7349622006511,150.6338670268796,336.4403760982859,125.32921757088421,145.28970350836855,70.30165413763963,150.01308583377093,1.9228146906482855
0.38,6.5482,0.0711,0.0027,123.40677455910064,150.23433424586167,338.94500290359645,125.43630959644116,141.81135498258377,70.99444990504972,150.6701968832942,1.898731904555812
0.4,6.2498,0.0665,-0.0013,122.48276255350301,149.1094500651341,334.6213561701429,124.8504811143901,139.42104735337745,71.1359962943497,151.26454883804308,1.908437513944103
0.42,6.0261,0.0564,0.003,120.09499545267632,146.20260315977987,331.6298361465192,122.22212256206231,130.4028042891725,70.75587784893095,149.85815391470328,1.8846131517870723
0.44,5.6523,0.0505,-0.0012,118.2916666218619,144.00724632226667,325.07262763338724,120.40006256281697,125.73110158479973,70.37060436052845,149.39897856235723,1.8939651139607938
0.46,5.3725,0.0481,-0.0007,117.59511265121583,143.1592675753932,320.2393479611728,120.00603613980104,124.73211986131831,70.4413947760244,150.07890497525605,1.9119562123412788
0.48,5.1638,0.046,-0.0009,117.06815331562903,142.51775186250492,316.7585935465536,119.79533486112311,123.8166877693807,70.6121414520309,150.78157666186777,1.9243417831882328
0.5,5.1463,0.0437,0.0005,116.87327337837901,142.28050672150488,317.6429936058173,119.90722212881606,122.10528451722884,71.07988848989481,151.33062197597215,1.912913990309957
0.52,4.9071,0.0423,0.0001,116.3843427759505,141.68528685767888,313.129668536798,119.73708811286878,121.91066785045773,71.1757070135707,152.14054001574692,1.9334894030862433
0.54,4.9738,0.0402,0.0009,116.37410128141798,141.67281895129145,315.93510109297677,120.01480457972504,120.03132322801224,71.7624353191663,152.60201109799576,1.91213767649616
0.56,4.9377,0.0382,0.0016,116.09076690855936,141.32789014955054,316.20081077538407,119.97275543532264,118.3770240903103,72.10957076803157,152.9859846994348,1.9035740936432215
0.58,4.9913,0.0371,-0.0001,116.31499684276386,141.60086572162558,318.59499654991384,120.57305648633375,117.7158921074085,72.75311766561961,153.77736935197498,1.889787191120564
0.6,5.1019,0.0374,0.0008,117.18256637860644,142.6570373304774,322.36275105814246,122.0281244327637,118.89637548971477,73.72344367698584,155.2896626194809,1.878509026427887
0.62,5.2623,0.0402,0.0009,119.07982854135614,144.96674778947704,327.25864396711046,124.88114523162943,123.50552980452304,75.18007626986272,158.09602084686807,1.8780258460318338
0.64,5.3667,0.043,0.0008,120.79740051135961,147.05770497035084,330.76058542442837,127.52700070885423,128.1631326567293,76.48769818526998,160.79554877339072,1.883444708886456
0.66,5.4978,0.046,0.0011,122.59597849745795,149.24727817081836,334.84538408539225,130.29399893891005,132.9840112484876,77.84794344463117,163.5084822835219,1.886383797567624
0.68,5.9094,0.0486,0.0014,124.80470572236655,151.93616348809843,345.22943341733645,133.56947250185658,136.6215982484666,79.67982268066274,166.01856145632806,1.8568948585394434
0.7,6.3765,0.051,0.0016,126.94532331471413,154.54213273095633,356.4314391618086,136.8142361230079,139.85472328548903,81.53484748518204,168.3866248163619,1.8233216474510554
0.72,6.8389,0.0538,0.0014,129.10101157860822,157.16644887830566,367.1117470802315,140.14855316141677,143.59813820696613,83.37756476346787,170.86199429198015,1.7949555744337238
0.74,7.3343,0.0588,0.0005,131.91350938736224,160.59035925418013,378.06724683552073,144.4350315867316,150.0246397105249,85.4937186561595,174.1398183305618,1.776456775095736
0.76,7.8696,0.0645,-0.0005,134.86448610574675,164.1828526504743,389.3977038824875,148.97222417432187,157.10013275464732,87.67880878149889,177.53271993016892,1.7590374380142124
0.78,8.5677,0.0758,-0.0007,139.47094705645145,169.79071815568003,403.2823071061551,155.8699192227546,170.3025847503563,90.60770259690842,182.60803454532214,1.7528685577190504
0.8,9.2377,0.0891,-0.0006,144.2268576576904,175.58052236588398,416.09272973508155,163.04534692152396,185.25073177458268,93.48843372819718,187.7892797145126,1.7541144192618159
0.82,9.7718,0.1048,-0.0005,149.03918145048226,181.43900350493493,426.16486734002154,170.3455333231852,202.4440639966014,96.18434646307415,193.0756202280094,1.7687068929884122
0.84,10.2689,0.1215,-0.0002,153.6620935195337,187.06689645856278,435.3592575157194,177.47031620894836,220.11122122359473,98.72945524956049,198.09914811915664,1.7841997510330527
0.86,10.8846,0.14,0.0002,158.45227805675668,192.89842546039944,446.19258038183415,184.9545255589935,238.74101984946623,101.40001415680612,203.0752144454901,1.7935618118731893
0.88,11.7629,0.1525,0.0006,162.1924641157936,197.45169544531396,460.6670966039771,191.03749223859438,250.54465647293196,103.93204608198504,206.6620617283678,1.773655780623963
0.9,12.8394,0.1617,0.0014,165.3821338973595,201.33477170113332,477.4028911452355,196.46228625262887,258.71168017662166,106.42670421506897,209.564947968857,1.7391631548402857
0.92,13.8141,0.1661,0.0021,167.47520025743165,203.88285248730813,492.0080071853998,200.3771208767882,262.5938449170845,108.45459883329808,211.58482429517645,1.7031959036648285
0.94,14.4573,0.1642,0.0029,168.0653809787804,204.60133336547182,501.7071539527233,202.077977699729,261.2030637259279,109.71749759728011,212.49281871128753,1.6714973805361588
0.96,14.7389,0.1546,0.0038,166.85482955545004,203.12761858924355,506.4771136495752,201.1051470508999,253.04583719738343,110.11654684092804,211.99140467808314,1.6397853740730077
0.98,14.6061,0.1464,0.0042,165.54716435259567,201.5356783422904,505.76277300302803,199.73132700785058,246.66301431021918,110.10613453613672,211.58157522447098,1.62750695021843
1.0,13.9651,0.14,0.005,164.23897615902894,199.94310141099177,498.16719443757034,197.96387596942245,242.66850464185524,109.60561245389441,211.3633706101612,1.640543864236156
1.02,12.8072,0.1368,0.0031,163.14787316633291,198.61480211553572,482.9021459555174,195.64332877224993,242.0809711398094,108.63686400364416,211.65179329644505,1.686297692743425
1.04,11.4714,0.1337,0.0022,161.68084473783824,196.8288544634553,463.89157929925904,192.84703519131446,242.08198397434737,107.30173965687942,211.88852351829985,1.7466642981964042
1.06,10.5079,0.1247,-0.0005,159.1386590037091,193.73401965668938,449.432426075037,188.77759803963784,235.25225616974456,105.90295132204919,210.85504480061508,1.7785186561505957
1.08,9.6445,0.112,-0.0005,155.70636365376166,189.55557314370986,435.7561686553377,183.48662016740397,223.91857689763683,104.21518461936012,208.78436758551965,1.7976266628655488
1.1,8.8366,0.0993,-0.0001,152.04986213119503,185.10417998580266,422.2030678539331,177.9216390364514,211.88891603845667,102.40869817772052,206.36593880153129,1.8144817799513626
1.12,8.6543,0.0936,0.0016,150.75833487331573,183.5318859327322,419.6154027885028,175.92004425940473,206.11820619930018,102.11222253101823,205.69005385149575,1.8093894818619662
1.14,9.3121,0.0914,0.0115,151.43238262219703,184.3524658009355,432.3536748030087,176.9787891582032,202.5250090347772,103.49962227019323,206.08702061041492,1.756906047685121
1.16,10.4697,0.0877,0.0235,151.97315854131855,185.01080170247477,452.99759476111615,178.32784005110992,196.324038198615,105.40874447339394,206.0654050934543,1.6722441479752137
1.18,11.2248,0.0847,0.0114,151.99913336416608,185.04242322594135,465.9063732858585,178.9461138021659,191.90298604591115,106.66969766601201,206.1304105883331,1.6194570089604032
1.2,11.3044,0.0826,0.0043,151.73350484831303,184.719049380555,467.89601803379185,178.64763212287886,189.69416980226808,107.05505913248483,206.34504684519857,1.6079222593145088
1.22,11.2282,0.0803,0.0014,151.28842616295674,184.1772144592517,467.43382553864325,177.97405757184328,187.4593224892825,107.19188454242558,206.44012268335473,1.603919407863635
1.24,11.0946,0.0801,0.0004,151.44906431098053,184.37277394380237,466.04436493999424,178.043296748801,187.84422454711662,107.46984630243323,207.20560307515126,1.610594755546184
