Depth,qc,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.01,0.018,0.0138,0.0,18.697836817242678,22.762583951425867,24.85750006694023,18.268561598666825,41.08492674653789,9.642441837546828,46.43367455654862,5.055968897736516
0.02,0.183,0.0154,0.0004,38.031951408264284,46.2997669318,64.57644710142954,29.152578874127443,42.453491482761194,16.4763625060248,57.1005348322625,3.6701219762568744
0.03,1.584,0.0163,0.0002,63.26407662669569,77.01713676293389,153.28124653844668,42.36670017799055,41.20026270938358,25.283305279061295,64.76405154116401,2.3833626178917755
0.04,2.777,0.0181,0.0002,72.04602090431118,87.70819936177013,195.4319957823567,49.763519914711104,44.7811153097298,29.95385678368188,70.90250994533918,2.0725391345894733
0.05,3.687,0.0249,-0.0004,79.27734513234603,96.51155059589951,222.64191128712636,57.25363155171284,53.050877553995996,34.08921196594953,78.36072813531676,1.9749917047210461
0.06,4.488,0.0259,-0.0002,83.23356773113717,101.32782158573221,244.3785229217757,61.92206332408146,55.855796064810335,37.01206883381892,82.60116681577294,1.8664140468156145
0.07,5.285,0.0288,-0.0002,87.24681908282764,106.21351888344235,264.12529154365313,66.84427523629365,60.12184399154659,39.90277813183495,87.18486830609609,1.7930073743928907
0.08,5.989,0.0307,-0.0002,90.34222983491938,109.98184501642359,280.73560755981845,70.98412557013971,63.415844384288945,42.38852900392893,91.01687764365445,1.732914381701967
0.09,6.378,0.0318,-0.0004,92.51799809575648,112.63060637744267,290.9382113444029,74.18081914301449,66.10234966811899,44.32750237431581,94.24391118038926,1.7034087180187156
0.1,6.669,0.0328,-0.0004,94.40471316253374,114.92747689351934,299.0422531342701,77.04059593474845,68.63840179114305,46.057471851023216,97.21234161929002,1.683909225750656
0.11,6.722,0.036,-0.0002,96.73285730822887,117.7617393317569,302.7921913482136,80.20365280912156,73.19887100005351,47.715324556810565,100.80333921776942,1.7013821814552221
0.12,6.8,0.0389,0.0,98.86225036549787,120.35404392321482,306.76139235790095,83.17702603657807,77.41722730174145,49.28075011903695,104.09901610575065,1.7134116228283536
0.13,6.804,0.0497,-0.0004,103.18960520199892,125.62212807199869,309.2699741456521,88.43231949259112,88.48466755354805,51.42919364828675,109.6670622866182,1.7759371906088324
0.14,6.845,0.0526,-0.0002,105.00531975947972,127.83256318545358,312.26385521211404,91.12980837582424,92.6759592028455,52.79308133023253,112.57450829612887,1.7874205608993625
0.15,6.861,0.0516,-0.0006,105.65065520126046,128.6181889406649,314.6831432234632,92.53611265380874,93.50606317581646,53.74782650858637,114.27324813502369,1.780875156741946
0.16,6.947,0.0555,-0.0006,107.68576694967705,131.09571628656337,318.21081290695963,95.44920673789905,98.41015980013998,55.151624201101896,117.27069495967903,1.7929371454992158
0.17,6.886,0.0585,-0.0004,109.2101946527744,132.95154131642101,319.0503821421225,97.78819111809906,102.6954251650692,56.26311986211478,119.89319977645708,1.8127465199191064
0.18,7.123,0.064,-0.0004,111.70731512490134,135.9915140650973,325.0354364345176,101.25469566680805,108.68537434118244,57.873531100831556,123.09964531468626,1.817032453968694
0.19,7.328,0.0609,-0.0004,111.94410976748647,136.27978580389657,330.34108708202575,102.14217893050443,107.27550842723639,58.74791606346087,124.01823803530608,1.785835019729978
0.2,7.525,0.0604,-0.0004,112.7693350160851,137.28440784566882,335.40462178481994,103.69351852151561,108.0302464413483,59.77879608580985,125.52819801157011,1.7673399929539824
0.21,7.754,0.0582,-0.0004,113.11433316233362,137.7044055889279,340.91036460560724,104.70812652873353,107.15280948955137,60.670155686190824,126.5038421084543,1.738820829332805
0.22,7.922,0.0856,-0.0008,120.55954663949039,146.76814373503177,345.298550398896,113.95335235463664,131.81615157484924,63.65592999295686,134.60638497070082,1.8358326555527054
0.23,8.02,0.0818,-0.0002,120.54802789807097,146.75412091939077,348.45619446055264,114.49391723361671,130.07742286389455,64.31877948885004,135.33985838732093,1.8148773492021089
0.24,8.082,0.0785,-0.0004,120.53008704902531,146.73227988576994,350.95773798870147,115.01169568595422,128.6567965092084,64.93419240935506,136.08237942873157,1.79810766502375
