Depth,qc,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.02,0.3298,0.0028,-0.0009,39.367772896071926,47.925984395217995,80.84087947903605,24.455465749381872,20.95482997536993,15.568485703432883,45.95004522947318,2.95466834616173
0.03,0.3762,0.0057,-0.0017,44.35831175579866,54.001423007059245,88.48014664846342,30.056983120099883,29.34184833853366,18.83889609410885,55.89761307380806,3.0109663501823563
0.04,0.4227,0.0114,-0.0011,49.32749634182894,60.05086511179175,95.19399690717418,36.24809899611981,41.202035547763835,21.98174912182369,65.84324138318419,3.0923763577322965
0.05,0.531,0.0228,-0.0083,55.98848977616796,68.15990059707404,106.08013264560651,44.10201105112845,58.33542290215065,25.600808886378083,76.36535870449492,3.126041846070166
0.06,0.6007,0.0456,-0.0104,62.08553352330692,75.5823886370693,113.20898926265083,53.03610602634824,84.90231337720138,29.037862975594667,87.59100669582784,3.2382741102307575
0.07,0.6935,0.0477,-0.0172,65.53762746792415,79.78493778703812,121.36799643553339,56.72545124999494,89.49055660038019,31.05866572761773,91.70662117337886,3.1639258230070477
0.08,0.8832,0.0506,-0.028,70.50700383691266,85.83461336667628,134.81601638171597,61.12798568794853,93.55724476849953,33.539287859777865,95.75951247584742,3.0332715391666647
0.09,0.9722,0.0564,-0.028,73.69617603705852,89.71708387120168,141.52256299735507,65.10631154927304,101.2313910277551,35.456038890458565,100.12874789743782,3.005101920916137
0.1,1.0689,0.0595,-0.0279,76.51772365780873,93.15201140950629,148.31071132945215,68.40474585809413,106.15317443283335,37.17660013500464,103.62417723606212,2.9620753454550135
0.11,1.0766,0.0617,-0.0263,77.80046545615686,94.71361012053879,150.14614489477583,70.7368322996306,110.94050164617688,38.32961774845466,106.66117863788209,2.9680742706230343
0.12,1.1192,0.0634,-0.0267,79.47193268487817,96.74843979028647,153.7132661656819,73.10875403411569,114.78197065848062,39.57731493793788,109.45261226538123,2.9521554861312445
0.13,1.1115,0.0668,-0.0238,80.53773362571971,98.0459365878327,154.55563304666964,75.37908837242415,120.60810937465205,40.60331427153646,112.44705707588925,2.971444024722214
0.14,1.1308,0.0931,-0.0208,84.06524196890538,102.34029457084134,156.75542759474183,82.06530587899312,146.6339753440377,42.7121856591695,119.64337676571644,3.059557520445366
0.15,1.1656,0.1132,-0.0214,86.8661634235083,105.7501119938362,159.6682564896144,87.17109668315813,165.849674818119,44.44506851578585,124.91176530399046,3.100913753408416
0.16,1.4288,0.1539,-0.0163,94.12236429340668,114.5837478354516,173.77621466365918,96.53369854794899,196.70000600610337,47.79911670446732,132.33963127187826,3.071404441503472
0.17,1.7267,0.2005,-0.0111,101.27961760823452,123.29692578393768,188.00607882322478,105.89176184104342,228.86808712084311,51.06429595188698,139.28155490751254,3.0398890498285067
0.18,2.7832,0.2349,-0.0083,114.26462358433555,139.10475914614764,226.95370081386648,117.40232800420347,244.19912566111435,56.30944744279854,144.75984854571317,2.79903126709778
0.19,4.4819,0.2712,-0.021,127.8096468975229,155.5943527448105,273.6848431442601,129.77149320940308,258.9220618205413,61.956220869024804,150.04892748204065,2.5562504496814356
0.2,6.3703,0.338,-0.0261,140.4834648702806,171.02334853773294,314.6336739164751,143.90247008709096,291.8877300341542,67.32917165418094,156.8304174641107,2.4179186120809923
0.21,8.7347,0.374,-0.0316,150.67319012201776,183.42823145289117,356.6857188295361,154.89207018186806,307.44167804188186,72.02492935474527,161.25744721217615,2.2621109107963058
0.22,8.7154,0.4079,-0.0593,153.3689112055639,186.70997885894735,357.94668587275584,160.0677958577748,329.44053919445537,73.46638332582963,165.0147635927423,2.294782203644902
0.23,8.5064,0.4396,-0.0574,155.26368848510748,189.01666424273955,356.2086550388637,164.46226944698753,350.7889444282998,74.58222655248619,168.48239045940514,2.3362936627275768
0.24,8.3671,0.4671,-0.0597,156.99426703226416,191.123455517539,355.45353805130287,168.49410699105596,369.7543168898612,75.670806265646,171.6340841771287,2.368167292569132
0.25,8.2858,0.5132,-0.0646,159.59740857468455,194.29249739526816,355.5471781326373,174.01036973105414,397.9184700340754,77.02631075590175,175.53814987876405,2.4082045410593693
0.26,8.2007,0.5217,-0.0647,160.45965496680765,195.34218865524412,355.5231559975252,176.4348532778992,407.06169287017383,77.86116119532613,177.65409314097533,2.4204072927177434
0.27,8.0575,0.5204,-0.0646,160.67939515584175,195.60969845058997,354.457341504565,177.87369266623313,411.355678708897,78.46677250600482,179.27697578365655,2.430131499848002
0.28,7.6822,0.5191,-0.0646,160.0440908963506,194.83628456947034,349.3029277901983,178.60020427334268,416.4407788888894,78.70521667867813,180.8114648293849,2.4579984014251033
0.29,7.5042,0.5141,-0.0635,159.8882694939989,194.64658894921607,347.3922224861446,179.47970652026825,418.70705853306555,79.14532215180115,182.1628825474338,2.46863653001492
0.3,7.3029,0.4775,-0.0622,158.2455730726838,192.64678461022376,344.95694569982095,177.58759104650053,403.89626274243847,79.09620613380201,181.93985210281363,2.4584090557342133
0.31,7.1249,0.4126,-0.0618,155.16716280502138,188.89915471915646,342.8277891564837,172.86858200867124,371.97335565216565,78.57880914111364,179.97145424131077,2.4210851640939235
0.32,6.9044,0.3837,-0.0616,153.46728952448413,186.82974376893722,339.7956741841082,170.93073328657803,359.2753887538578,78.44314045518936,179.67645309403508,2.4144145802112185
0.33,6.4361,0.3591,-0.0612,150.92720817865157,183.73747082618453,331.79522733807585,168.45654328458252,349.5335085965619,77.89135478633011,179.43435316714275,2.433769802480396
0.34,6.1885,0.3373,-0.0589,149.26561701925374,181.71466419735236,327.8272930529104,166.72234943622624,339.9604830967132,77.69312947993097,179.2766703976262,2.43570393758056
0.35,5.8866,0.3172,-0.0572,147.37068491047745,179.40779032579866,322.543106622231,164.81313124060136,331.20206417923254,77.36417255558024,179.09327626381577,2.444800869569016
