Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.01,9.0,8.99,4.8561445521504965,0.02167054623758535,0.054943313841786856,1.9268184472800316
2,9.01,11.67,2.66,0.8001290047789521,0.015392512419847269,0.3582650235792054,3.0513030358235604
3,11.68,12.67,0.9900000000000002,1.269787825317455,0.031027697660905042,0.47446811926485905,2.951818329320809
4,12.68,15.3,2.620000000000001,0.9192453318194302,0.020748298293178258,0.41487907556790826,3.148383469891123
5,15.31,16.3,0.9900000000000002,2.0166162928714866,0.027894699296506856,0.5224165378772927,2.691985317317474
6,16.31,17.31,1.0,1.4991468772190362,0.021803227070004372,0.7770100694607998,2.8628946842230363
7,17.32,18.31,0.9899999999999984,2.7857337502581743,0.032073809247978105,1.2873124929710658,2.5354975319645434
8,18.32,19.34,1.0199999999999996,3.5645409862087196,0.03458139913183415,1.4042025727853407,2.4103715824744945
9,19.35,20.34,0.9899999999999984,6.576645129078231,0.2589723426012232,0.2212867860831166,2.6280831228401076
10,20.35,21.34,0.9899999999999984,8.370980293407408,0.28960229207097277,,2.5123471268337734
11,21.35,22.92,1.5700000000000003,3.4310912547737966,0.0354232519734052,1.0650762222777637,2.5330363647455396
12,22.93,24.01,1.0800000000000018,5.255652587641412,0.053848595647748375,1.2571758273876885,2.489937359598211
