Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,1.1,1.1,2.1448330563856386,0.1307402173236642,0.006059387508912204,2.7165570046448293
2,1.11,2.34,1.2299999999999998,0.9405911800178574,0.07301646756520364,0.0010809639710421775,3.121015225851904
3,2.35,3.54,1.19,1.8321519826379478,0.02957580172126733,0.0025298014109357437,2.442659516785956
4,3.55,4.54,0.9900000000000002,1.2321432188908816,0.02487087573474103,0.047166380205376196,2.6643966243948762
5,4.55,5.73,1.1800000000000006,1.5316529451351915,0.030297832523478896,0.27197075220259653,2.567294003548077
6,5.74,7.61,1.87,0.5311550023637309,0.01845261828411178,0.014525929179109994,3.2465903096290316
7,7.62,8.61,0.9899999999999993,0.9143466892704136,0.01995094896593304,0.05951187057443118,2.92463650858193
8,8.62,10.75,2.130000000000001,0.48171283675317367,0.0058583225561412156,0.2178656997923466,3.1499857741647292
9,10.76,12.3,1.540000000000001,0.7450549527124205,0.008154751844818777,0.2887955513931362,2.9696691698006603
10,12.31,13.3,0.9900000000000002,0.8816862661868975,0.006921387995967584,0.5833646782970547,2.8045039347692446
11,13.31,14.3,0.9900000000000002,2.7234038291356075,0.058647795279923566,0.2757229478633767,2.597345693476941
12,14.31,16.85,2.540000000000001,1.462403043724062,0.014049433835400077,0.9290636805654552,2.6799937996014576
13,16.86,17.85,0.990000000000002,1.6323764599559734,0.03330896892623294,0.7807732632485165,2.8655255116722
14,17.86,18.9,1.0399999999999991,2.8366704097228754,0.0584347436275332,1.2379989014399515,2.648701968102248
15,18.91,20.54,1.629999999999999,1.346683086222852,0.010518091555249496,0.792515595585025,2.8191716864500562
16,20.55,21.61,1.0599999999999987,1.3160968242425466,0.03773904262402903,0.33729751678704745,3.191413321641951
17,21.62,22.62,1.0,1.3890471249986749,0.009759016026154217,0.7446905522322047,2.8391030580236927
18,22.63,23.62,0.990000000000002,1.764901901642359,0.026385136849451558,0.8567339855680175,2.9102615320256273
19,23.63,25.0,1.370000000000001,3.1669012456864687,0.06099069532294335,0.07284425776705197,2.751490824059548
