Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,1.01,1.01,1.2788974054580342,0.00826545209608418,0.005178853241640478,2.328521605786116
2,1.02,3.33,2.31,5.2699675216739434,0.011658552748494585,0.024251415806721466,1.6144913508382677
3,3.34,4.44,1.1000000000000005,8.371684386746054,0.021151754496424206,0.03721967774790924,1.4906843469154338
4,4.45,6.01,1.5599999999999996,0.8473182488226292,0.009756865203950055,0.08775503446573779,2.7287091859555725
5,6.02,7.25,1.2300000000000004,1.7188378048102058,0.02434163314298603,0.2528994697557171,2.454869686088885
6,7.26,8.25,0.9900000000000002,6.717600686277717,0.020110377484763894,0.06015964799818844,1.6725216594639793
7,8.26,9.25,0.9900000000000002,2.3857421331371134,0.01540733909067894,0.14502009873931662,2.2466373482143123
8,9.26,10.95,1.6899999999999995,1.53994185188145,0.035668983209876284,0.4240822060769186,2.7252017586525903
9,10.96,11.95,0.9899999999999984,0.7375750337503413,0.006430618909505917,0.41310457324440597,2.8938918544047376
10,11.96,13.61,1.6499999999999986,0.9013896343600821,0.0042656671758736515,0.58567395314903,2.718016388267607
11,13.62,14.61,0.9900000000000002,2.2359793204284517,0.011322626689734371,0.3909210044583568,2.3491920709474083
12,14.62,15.61,0.9900000000000002,2.090237298400444,0.017967798920032665,0.3610025338045337,2.5224842328640826
13,15.62,16.72,1.0999999999999996,4.324602841952075,0.03081192311989233,0.05833078383049267,2.197640225639291
14,16.73,19.3,2.5700000000000003,5.756203370990555,0.021602959214398466,0.11996983176802106,1.9872176902582817
15,19.31,20.72,1.4100000000000001,4.297668227117488,0.09335104212489787,0.6098962695199344,2.5466080605203705
16,20.73,21.72,0.9899999999999984,12.763493825364282,0.10537420416091152,0.04856438410640719,1.872807658124998
17,21.73,23.0,1.2699999999999996,11.129638665850752,0.1742084903099188,0.03990818681269619,2.142242400533558
