Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,1.52,1.52,1.4701321115748371,0.0500880041147796,0.0007331005446441702,2.6963354872253777
2,1.53,3.54,2.01,3.8305373388492328,0.031455699668880656,0.0006859184279275943,2.0121731393054576
3,3.55,5.19,1.6400000000000006,0.5555832661585385,0.00633599717063518,,2.92554393169433
4,5.2,6.19,0.9900000000000002,0.4359063187759774,0.007210819138324212,,3.1554534004825103
5,6.2,9.36,3.1599999999999993,2.8682196358666,0.02719680818568798,0.1647798470945967,2.2471572484396445
6,9.37,10.36,0.9900000000000002,4.262365521477833,0.06496106785860442,1.0857247799325842,2.2627860350950693
7,10.37,11.44,1.0700000000000003,2.561895259911194,0.03524713002440374,,2.4909867231527274
8,11.45,13.55,2.1000000000000014,2.2344695507408483,0.03735822253422911,0.07995701887982322,2.6227471957833304
9,13.56,14.55,0.9900000000000002,4.227507900446092,0.11490253946796573,0.162712187807531,2.5346827618122094
10,14.56,15.55,0.9900000000000002,8.949876113520077,0.1574979910495528,0.2571951248343666,2.1561064472702745
11,15.56,16.59,1.0299999999999994,5.166269614568103,0.08940956212982418,0.17249712062899988,2.380641096826199
12,16.6,17.59,0.9899999999999984,14.965993657620936,0.04889008753670284,0.013693472749577747,1.5667654959106576
13,17.6,19.52,1.9199999999999982,11.695586549836062,0.10367749307250712,0.11684083774638018,1.9540346463083025
