Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,1.019999,1.019999,1.1046089558688548,0.018212370877032365,0.004531504363706783,2.5919601899309295
2,1.029999,2.589998,1.559999,3.0544924136096077,0.006641784579494511,0.012737659080721138,1.8468287077551853
3,2.599998,3.589997,0.9899990000000001,1.8772621105154588,0.011162461494064082,0.036595772489412336,2.1656232457541575
4,3.599997,6.430052,2.8300549999999998,9.851319208281007,0.02418939813924609,0.032863387754969955,1.456857368307807
5,6.440053,8.000088,1.560035,12.458608206702706,0.03360484617858585,0.05330500492739274,1.4400215355219008
6,8.010088,9.110113,1.1000250000000005,16.577225915656665,0.0504212324071202,0.06448049926989577,1.3879647839779607
7,9.120113,11.27016,2.1500470000000007,11.015980196099642,0.03189887264484883,0.07630027845554263,1.558889798092048
8,11.28016,12.40019,1.1200299999999999,1.19182725220682,0.022100623341248477,0.2595635999459674,2.8757665166357564
9,12.41019,14.10023,1.6900399999999998,4.106421986226492,0.03531069489294575,0.13765485485271362,2.2043544299352202
10,14.11023,15.86027,1.7500400000000003,12.1037266687774,0.04548591349472625,0.12301216381564006,1.6423198659813238
11,15.87027,16.90029,1.0300199999999986,0.4017214819202158,0.014536754894821778,0.2157167474691199,4.156052000127632
12,16.91029,18.52033,1.6100400000000015,6.551954679495487,0.049381030327533014,0.12037672463187818,2.086008660976923
13,18.53033,19.52035,0.9900200000000012,1.5073534740682324,0.02533815666201592,0.27721826965146495,2.957253434935992
14,19.53035,20.52037,0.9900200000000012,5.5998374714103,0.052172802687285025,0.2307903634220227,2.2384467194842705
15,20.53037,21.6704,1.1400299999999994,20.05241703863106,0.15011664927208,0.141886604361118,1.7125635153668166
16,21.6804,23.79045,2.110050000000001,11.357122179437166,0.0760251039518893,0.18195082114698513,1.928854415220277
17,23.80045,26.79052,2.9900699999999993,16.12721929195874,0.13639379367889118,0.20653766218586683,1.8886957942233893
18,26.80052,28.50056,1.7000400000000013,5.665014145619381,0.07288691651614626,0.43322857074027615,2.444610522859932
