Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.010619508973984676,21342,0.020445416822953064
1.0,0.028830339746339056,21618,0.03353386977956151
1.5,0.04172120417984886,20993,0.041912647394162846
2.0,0.056648246482583875,20368,0.04727645276884601
2.5,0.06268187079360048,19737,0.050710176567332226
3.0,0.05719018184276399,19112,0.05290832849505518
3.5,0.05612239730458935,18487,0.05431550978886871
4.0,0.058011201840988326,17862,0.055216338875650695
4.5,0.05768673680296132,17204,0.05579301868738503
5.0,0.06096238357808471,16603,0.0561621892771691
5.5,0.06072432965036034,15978,0.05639851959702482
6.0,0.05036318993999273,15353,0.05654981014299106
6.5,0.04310198336141903,14725,0.05664666114929756
7.0,0.039351223982707684,14100,0.056708661833892046
7.5,0.03780027317594769,13475,0.0567483525406465
8.0,0.04257818670420025,12850,0.056773761166583
8.5,0.049945361466172684,12162,0.05679002689538382
9.0,0.05300839800000433,11597,0.05680043965576225
